razão_social,cnpj,público_alvo,mandato,segmento,tipo_de_fundo,prazo_de_duração,tipo_de_gestão,taxa_de_administração,vacância,numero_de_cotistas,cotas_emitidas,val_patrimonial_p_cota,valor_patrimonial,último_rendimento,valor_patrimonial_unidade,papel
RIZA ARCTIUM REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO,28.267.696/0001-36,Geral,Híbridos,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,1.00,0.00,34438,4235031,100.93,427.43,0.95,Milhões,RZAT11
FUNDO DE INVESTIMENTO IMOBILIÁRIO RIO NEGRO,15.006.286/0001-90,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Passiva,0.22,17.80,7140,2675989,83.36,223.06,0.29,Milhões,RNGO11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - RIO BRAVO RENDA CORPORATIVA,03.683.056/0001-86,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,0.7,0.00,24501,3690684,199.18,735.11,0.95,Milhões,RCRB11
FUNDO DE INVESTIMENTO IMOBILIÁRIO RIO BRAVO RENDA VAREJO - FII,15.576.907/0001-70,Geral,Desenvolvimento para renda,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,0.35,6.70,89934,156143039,10.76,1.68,0.09,Bilhão,RBVA11
SEQUOIA III RENDA IMOBILIÁRIA - FUNDO DE INVESTIMENTO IMOBILIÁRIO,09.517.273/0001-82,Geral,Renda,Outros,Outro,Indeterminado,Ativa,1.24,6.70,4473,1665684,94.33,157.13,0.58,Milhões,SEQR11
SANTANDER RENDA DE ALUGUÉIS FUNDO DE INVESTIMENTO IMOBILIÁRIO,32.903.702/0001-71,Geral,Renda,Híbrido,Fundo Misto,Indeterminado,Ativa,1.25,36.13,26581,92343279,5.03,464.92,0.03,Milhões,SARE11
SANTANDER PAPEIS IMOBILIÁRIOS CDI FUNDO DE INVESTIMENTO IMOBILIÁRIO,32.903.521/0001-45,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de Papel,Indeterminado,Ativa,1.00,0.00,10989,15486829,8.73,135.15,0.11,Milhões,SADI11
SANTANDER PAPÉIS IMOBILIÁRIOS,51.646.298/0001-42,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de Papel,Indeterminado,Ativa,,0.00,13023,29563310,9.98,295.18,0.21,Milhões,SAPI11
FUNDO DE INVESTIMENTO IMOBILIÁRIO SHOPPING PÁTIO HIGIENÓPOLIS,03.507.519/0001-59,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Passiva,0.20,1.60,2083,608939,1012.61,616.63,3.50,Milhões,SHPH11
SJ AU LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO,27.771.547/0001-47,Geral,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Passiva,0.23,0.00,600,7932237,1.49,11.85,11.88,Milhões,SJAU11
SOLARIUM FUNDO DE INVESTIMENTO IMOBILIÁRIO,22.169.671/0001-13,Investidor Qualificado,Híbridos,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,0.45,0.00,1,65522,919.69,60.27,4.77,Milhões,SOLR11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - SHOPPING WEST PLAZA,09.326.861/0001-39,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Passiva,0.55,9.00,1528,1186672,54.69,64.90,0.37,Milhões,WPLZ11
SP Downtown Fundo de Investimento,15.538.445/0001-05,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Passiva,0.25,0.00,17807,1797989,54.15,97.36,0.60,Milhões,SPTW11
SPECIALE REAL ESTATE FUND OF FUNDS FUNDO DE INVESTIMENTO IMOBILIÁRIO,50.135.849/0001-40,Investidor Qualificado,Desenvolvimento para venda,Híbrido,Outro,Determinado,Ativa,0.35,0.00,191,975896,90.70,88.51,0.84,Milhões,PMFO11
SPX SYN MULT,43.010.543/0001-00,Geral,Híbridos,Híbrido,Outro,Indeterminado,Ativa,0.80,0.00,19945,20189029,9.55,192.83,0.10,Milhões,SPXS11
Suno Log Fundo de Investimento Imobiliario,40.041.711/0001-29,Geral,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,1,8.74,9196,2529955,0.38,970.23,0.84,Mil,SNLG11
SUNO MULTIESTRATÉGIA,52.227.760/0001-30,Geral,Híbridos,Híbrido,Fundo Misto,Indeterminado,Ativa,,0.00,5329,7418232,9.61,71.32,0.15,Milhões,SNME11
SUNO FUNDO DE FUNDOS IMOBILIÁRIO,40.011.225/0001-68,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de Fundos,Indeterminado,Ativa,0.78,0.00,26684,4020624,86.88,349.32,0.80,Milhões,SNFF11
SUNO RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,41.076.710/0001-82,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Outro,Indeterminado,Ativa,0.70,0.00,36118,4199989,98.85,415.17,1.00,Milhões,SNCI11
FUNDO DE INVEST IMOBILIARIO SUNO ENERGIAS LIMPAS,43.741.171/0001-84,Geral,Híbridos,Outros,Outro,Indeterminado,Ativa,,0.00,59582,52680949,8.28,436.42,0.10,Milhões,SNEL11
TISHMAN SPEYER RENDA CORPORATIVA FUNDO DE INVESTIMENTO IMOBILIÁRIO,34.847.042/0001-84,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,1.00,0.00,19,1485493,97.07,144.20,1.04,Milhões,TSER11
TIVIO RENDA IMOBILIÁRIA FUNDO DE INVESTIMENTO IMOBILIÁRIO,14.410.722/0001-29,Geral,Renda,Agências bancárias,Fundo de Tijolo,Indeterminado,Ativa,0277,3.20,59311,15919679,104.24,1.66,1.05,Bilhão,TVRI11
TELLUS MULTIESTRATÉGIA - FII FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA,45.188.099/0001-35,Investidor Qualificado,Híbridos,Híbrido,Fundo Misto,Indeterminado,Ativa,0.90,0.00,159,3100489,10.17,31.52,0.26,Milhões,TELM11
TELLUS PROPERTIES FUNDO DE INVESTIMENTO IMOBILIÁRIO,26.681.370/0001-25,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,1.17,0.00,29873,49616912,9.84,488.00,0.08,Milhões,TEPP11
FDO DE INVEST IMOB TELLUS RIO BRAVO RENDA LOGISTIC,16.671.412/0001-93,Geral,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,0.84,31.00,46922,7739081,83.05,642.70,0.53,Milhões,TRBL11
TRX Hedge Fundo de Investimento Imobiliário de Responsabilidade Limitada,43.985.938/0001-10,Geral,Híbridos,Híbrido,Outro,Indeterminado,Ativa,0,0.00,916,15970278,9.32,148.80,0.13,Milhões,TRXY11
TJK RENDA IMOBILIÁRIA FUNDO DE INVESTIMENTO IMOBILIÁRIO,39.714.024/0001-48,Investidor Qualificado,Renda,Lajes Corporativas,Outro,Indeterminado,Ativa,0.45,0.00,460,1164636,287.16,334.43,2.90,Milhões,TJKB11
VOTORANTIM SECURITIES MASTER FUNDO DE INVESTIMENTO IMOBILIÁRIO,17.870.926/0001-30,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de Papel,Indeterminado,Ativa,1.00,0.00,541,827902,93.22,77.18,1.22,Milhões,VOTS11
TORDESILHAS EI FUNDO DE INVESTIMENTO IMOBILIÁRIO,30.230.870/0001-18,Geral,Híbridos,Híbrido,Outro,Indeterminado,Ativa,1.50,0.00,46669,5841922,36.39,212.58,0.01,Milhões,TORD11
TRX REAL ESTATE II FUNDO DE INVESTIMENTO IMOBILIÁRIO,36.368.925/0001-37,Geral,Títulos e valores mobiliários,Híbrido,Fundo de Desenvolvimento,Determinado,Passiva,1.0,0.00,599,3746009,101.51,380.25,4.05,Milhões,TRXB11
TRX REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO,28.548.288/0001-52,Geral,Renda,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,1.00,0.22,217193,32493273,103.01,3.35,1.00,Bilhões,TRXF11
URCA PRIME RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO,34.508.872/0001-87,Geral,Híbridos,Outros,Fundo de Papel,Indeterminado,Ativa,0.25,0.00,63406,11733884,103.26,1.21,0.35,Bilhão,URPR11
V2 EDIFÍCIOS CORPORATIVOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,15.006.267/0001-63,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,1.20,0.00,2481,9899989,15.14,149.87,0.32,Milhões,VVCO11
V2 RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,23.120.027/0001-13,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de Papel,Determinado,Ativa,0.90,0.00,2125,7508321,10.24,76.90,0.14,Milhões,VVCR11
V2 PRIME PROPERTIES FUNDO DE INVESTIMENTO  IMOBILIÁRIO – FII,30.654.849/0001-40,Geral,Renda,Outros,Fundo Misto,Indeterminado,Ativa,0.95 a.a,23.01,33414,7316160,41.59,304.29,0.07,Milhões,VPPR11
V2 RENDA IMOBILIÁRIA FDO DE INV IMOB,49.184.940/0001-77,Geral,Renda,Híbrido,Outro,Indeterminado,Ativa,,15.09,140,802672,91.85,73.73,0.35,Milhões,VVRI11
VALORA RE III FUNDO DE INVESTIMENTO IMOBILIÁRIO,29.852.732/0001-91,Geral,Renda,Títulos e Valores Mobiliários,Fundo de Papel,Indeterminado,Ativa,0.20,0.00,257051,146101276,9.82,1.43,0.13,Bilhão,VGIR11
VBI AGRO - FUNDO DE INVESTIMENTO IMOBILIÁRIO,32.754.734/0001-52,Geral,Renda,Outros,Fundo Misto,Indeterminado,Ativa,1.0,0.00,14692,5452623,61.74,336.65,0.48,Milhões,PLAG11
VALORA RENDA IMOB FUNDO DE INVES IMOB -RESP LIMIT,53.656.482/0001-07,Geral,Renda,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,0085,23.50,23152,35021725,8.34,291.93,0.12,Milhões,VGRI11
VECTIS JUROS REAL FUNDO DE INVESTIMENTO IMOBILIÁRIO,32.400.250/0001-05,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de Papel,Indeterminado,Ativa,1.60,0.00,27080,14723959,94.12,1.39,0.77,Bilhão,VCJR11
VBI OFFICE FUND II - FUNDO DE INVESTIMENTO IMOBILIÁRIO,34.895.894/0001-47,Geral,Híbridos,Lajes Corporativas,Fundo de Tijolo,Determinado,Ativa,1.25,0.00,285,994803,98.62,98.11,0.53,Milhões,BLMO11
VALORA HEDGE FUND. FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,36.771.692/0001-19,Geral,Títulos e valores mobiliários,Híbrido,Fundo de Papel,Indeterminado,Ativa,0.90,0.00,386776,164721672,8.67,1.43,0.07,Bilhão,VGHF11
VALORA CRI ÍNDICE DE PREÇO FUNDO DE INVESTIMENTO IMOBILIÁRIO,34.197.811/0001-46,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de Papel,Indeterminado,Ativa,1,0.00,84196,11787236,90.33,1.06,0.71,Bilhão,VGIP11
VBI REITS FOF - FUNDO DE INVESTIMENTO IMOBILIÁRIO,35.507.457/0001-71,Geral,Renda,Títulos e Valores Mobiliários,Fundo de Fundos,Indeterminado,Ativa,0.15,0.00,55889,10276001,73.96,760.04,0.70,Milhões,RVBI11
VERSALHES RECEBÍVEIS IMOBILIÁRIOS - FUNDO DE INVESTIMENTO IMOBILIÁRIO,36.244.015/0001-42,Geral,Híbridos,Outros,Fundo de Papel,Indeterminado,Ativa,de 1.00,0.00,63715,29864080,10.23,305.37,0.03,Milhões,VSLH11
FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING,00.332.266/0001-31,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Passiva,0.12,11.50,3721,2800138,92.62,259.36,0.50,Milhões,FVPQ11
VINCI IMÓVEIS URBANOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,36.445.587/0001-90,Geral,Renda,Outros,Fundo Misto,Indeterminado,Ativa,0.85,3.00,40858,26946209,8.08,217.78,0.09,Milhões,VIUR11
VINCI INSTRUMENTOS FINANCEIROS FUNDO DE INVESTIMENTO IMOBILIÁRIO,31.547.855/0001-60,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de Fundos,Indeterminado,Ativa,0.95,0.00,5516,8089179,7.97,64.51,0.07,Milhões,VIFI11
VINCI OFFICES FUNDO DE INVESTIMENTO IMOBILIÁRIO,12.516.185/0001-70,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,1.20,9.00,136042,82826284,9.86,816.32,0.05,Milhões,VINO11
VINCI LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO,24.853.044/0001-22,Geral,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,0.95,2.00,142561,14997385,113.28,1.70,0.74,Bilhão,VILG11
WARREN SECURITIES FUNDO DE INVESTIMENTO IMOBILIÁRIO,43.440.579/0001-16,Investidor Qualificado,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de Papel,Indeterminado,Ativa,1.00,0.00,913,2456499,1.47,3.60,0.02,Milhões,WSEC11
WHG REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO,41.256.643/0001-88,Geral,Híbridos,Híbrido,Fundo Misto,Indeterminado,Ativa,1.00,0.00,15425,30912367,9.84,304.10,0.10,Milhões,WHGR11
XP CREDITO IMOBILIÁRIO - FUNDO DE INVESTIMENTO IMOBILIÁRIO,28.516.301/0001-91,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de Papel,Indeterminado,Ativa,1.00,0.00,72810,8701540,89.26,776.69,0.88,Milhões,XPCI11
VINCI SHOPPING CENTERS FUNDO DE INVESTIMENTO IMOBILIÁRIO,17.554.274/0001-25,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Ativa,1.35,5.00,336888,28828629,117.99,3.40,0.81,Bilhões,VISC11
XP CORPORATE MACAÉ FUNDO DE INVESTIMENTO IMOBILIÁRIO,16.802.320/0001-03,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Passiva,0.80,57.00,2,2414559,28.81,69.56,0.02,Milhões,XPCM11
XP LOG FUNDO DE INVESTIMENTO IMOBILIÁRIO,26.502.794/0001-85,Geral,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,0.95,4.60,334793,40015679,105.50,4.22,0.82,Bilhões,XPLG11
XP INDUSTRIAL FUNDO DE INVESTIMENTO IMOBILIARIO,28.516.325/0001-40,Geral,Renda,Outros,Fundo de Tijolo,Indeterminado,Ativa,,5.00,40965,7150411,102.65,733.99,0.85,Milhões,XPIN11
ZION CAPITAL FUNDO DE INVESTIMENTO IMOBILIÁRIO,35.820.768/0001-96,Geral,Desenvolvimento para renda,Híbrido,Fundo de Desenvolvimento,Indeterminado,Ativa,1.00,0.00,82,47474,1759.24,83.54,3.30,Milhões,ZIFI11
XP SELECTION FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIÁRIO,30.983.020/0001-90,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de Fundos,Indeterminado,Ativa,1,0.00,55683,43302129,8.11,351.31,0.07,Milhões,XPSF11
ZAGROS MULTIESTRATÉGIA FUNDO DE INVESTIMENTO IMOBILIÁRIO,45.188.066/0001-95,Investidor Qualificado,Híbridos,Híbrido,Fundo Misto,Indeterminado,Ativa,1.5,0.00,472,8891651,9.11,80.97,0.02,Milhões,ZAGH11
XP Malls Fundo de Investimento Imobiliario - Fii,28.757.546/0001-00,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Ativa,0.55,4.20,633071,58559844,108.16,6.33,0.92,Bilhões,XPML11
FUNDO DE INVESTIMENTO IMOBILIÁRIO ZAVIT REAL ESTATE,40.575.940/0001-23,Geral,Renda,Híbrido,Fundo Misto,Indeterminado,Ativa,1.25,0.90,2405,11733209,13.57,159.18,0.11,Milhões,ZAVI11
