cotação,variação_12m,p_l,p_vp,dy,papel
4.07,23.93,0.20,1.20,0.00,aeri3
4.64,8.71,10.98,1.12,4.79,vitt3
1.02,2.00,32.80,1.79,0.00,amar3
9.37,7.92,6.02,1.28,11.36,camb3
8.19,9.11,8.03,0.63,9.33,romi3
60.98,28.55,8.86,2.82,10.06,unip6
8.12,1.05,5.66,0.85,6.50,dexp3
16.95,28.91,26.37,1.40,0.22,desk3
14.06,2.43,10.07,1.41,10.31,cmig3
16.52,40.79,10.16,1.00,5.40,sanb3
14.50,35.38,8.70,1.96,7.40,taee4
11.99,34.06,8.31,1.43,8.48,itsa3
4.64,54.15,105.09,2.83,0.00,alpk3
1.99,19.96,7.44,1.16,3.87,lpsb3
4.78,34.67,9.96,3.26,14.04,whrl4
17.20,12.11,5.98,0.74,10.29,brap3
17.67,36.51,10.83,1.06,5.56,sanb4
1.32,8.97,0.60,0.31,0.00,tcsa3
4.03,35.66,5.28,0.29,0.91,eter3
3.00,28.33,11.88,0.87,3.19,igti3
0.25,98.47,1.63,0.38,0.00,ambp3
0.91,54.04,2.02,0.27,0.00,rnew3
14.34,34.74,8.61,1.94,7.47,taee3
2.84,35.31,6.83,3.56,0.00,fict3
1.60,67.35,6.11,0.28,0.00,reag3
1.27,45.49,0.21,0.21,0.00,bobr4
2.09,15.73,0.08,0.02,0.00,rpmg3
17.47,32.32,5.50,0.58,4.19,euca4
1.24,16.22,9.71,0.81,0.00,pdtc3
5.70,14.16,16.31,0.30,0.00,dmvf3
7.60,48.82,1.27,1.71,0.00,brkm3
12.55,8.61,2.57,0.76,5.13,ealt4
16.53,13.30,10.99,0.60,3.74,ggbr3
4.88,60.49,9.12,0.69,0.00,aalr3
5.01,40.60,5.68,0.54,4.01,tasa3
26.38,7.89,12.06,0.54,0.00,ngrd3
6.93,23.75,6.50,1.02,3.42,tecn3
10.65,2.77,10.06,0.54,3.72,goau3
18.54,22.06,8.23,1.52,5.96,csud3
8.23,39.40,2.20,0.46,24.63,alld3
8.09,26.40,81.51,1.17,0.89,land3
1.41,27.79,38.39,0.49,13.76,ucas3
14.44,26.10,10.21,1.82,5.07,engi3
0.85,39.29,4.03,0.36,0.00,lupa3
4.25,19.38,0.37,0.21,0.00,fher3
5.85,19.86,0.65,0.38,0.00,show3
1.20,9.77,0.14,0.03,0.00,inep3
10.90,24.54,9.23,1.19,2.96,alup4
74.60,8.36,3.94,0.58,10.80,baza3
30.55,26.70,12.48,0.70,4.35,coce5
8.54,4.40,14.23,0.52,0.00,telb4
2.85,16.18,6.71,0.88,0.00,nutr3
7.92,5.22,8.07,1.13,6.57,bees3
4.30,32.81,3.44,0.93,0.00,trad3
2.38,78.94,0.42,0.05,0.00,oibr4
4.20,35.38,2.47,0.21,5.45,tpis3
3.62,0.04,33.62,0.36,5.25,lvtc3
24.50,20.04,23.14,0.94,7.06,scar3
3.40,24.61,1.16,1.12,0.00,bied3
30.44,27.27,6.20,0.66,10.44,cgra4
7.20,16.96,15.20,3.30,0.00,biom3
4.23,16.52,8.55,1.49,43.23,epar3
5.12,27.38,0.07,0.46,0.00,agxy3
7.31,13.08,5.67,0.92,5.82,bsli3
12.09,32.99,10.32,1.33,2.68,alup3
4.34,44.70,24.21,0.46,0.03,vste3
1.16,10.08,0.14,0.03,0.00,inep4
7.85,0.37,7.94,1.11,6.61,bees4
63.90,61.02,11.17,2.98,1.84,bmeb4
0.74,45.19,1.67,0.38,0.00,vivr3
5.82,33.79,28.74,0.33,0.00,dotz3
35.61,74.82,31.02,3.54,0.00,logn3
7.30,7.82,5.47,0.88,6.26,bsli4
39.77,7.82,8.32,3.84,12.73,ektr4
6.30,30.45,22.23,0.67,4.19,rapt3
10.46,17.96,17.18,0.63,0.00,telb3
67.50,16.34,6.28,1.50,3.24,rsul4
10.15,49.53,6.99,1.25,6.96,engi4
1.81,53.35,0.00,0.00,0.00,osxb3
11.41,38.41,8.88,1.99,3.06,bpac5
1.24,66.12,0.07,0.19,0.00,jfen3
1.20,52.76,1.97,1.24,0.00,avll3
14.80,30.67,4.78,0.55,8.20,brsr3
5.94,18.01,7.98,2.59,11.36,eqpa3
4.66,22.96,5.69,0.41,5.65,ptnt4
5.45,19.85,5.18,0.27,0.00,west3
9.92,128.71,7.19,1.81,6.47,pine3
26.50,64.29,9.77,1.89,10.72,cebr5
29.92,95.77,23.09,5.17,1.19,bpac3
26.98,57.19,10.06,1.95,10.56,cebr3
4.33,25.65,9.29,3.04,14.02,whrl3
2.10,49.52,1.08,0.23,0.00,ctsa4
41.48,26.41,4.96,1.25,14.05,ceeb3
23.05,12.06,8.80,1.78,3.19,ofsa3
124.39,65.80,6.85,1.22,8.68,clsc4
6.00,15.49,4.03,1.12,0.00,mgel4
3.34,12.11,0.10,0.11,0.00,nexp3
10.24,72.90,18.60,1.62,0.93,alpa3
54.30,16.07,7.79,2.48,10.38,unip3
3.23,46.70,3.16,0.31,0.00,rnew11
16.80,26.99,20.62,0.89,0.00,crpg5
32.75,15.56,7.38,1.03,8.60,isae3
30.86,47.57,5.11,0.78,14.72,bgip4
30.30,23.90,6.19,0.66,10.37,cgra3
38.38,5.93,4.37,0.89,0.00,emae4
3.90,21.84,8.85,0.55,0.00,mapt4
5.27,143.98,0.72,1.85,0.00,mnpr3
89.50,15.40,16.72,3.30,1.42,bauh4
29.46,72.99,11.00,2.13,10.47,cebr6
17.40,83.29,6.93,0.94,13.07,balm4
131.64,7.35,10.90,8.70,7.30,cgas5
2.05,22.93,0.57,0.54,0.00,rdni3
41.00,18.77,8.53,3.93,11.15,ektr3
34.80,32.13,13.85,1.84,14.78,gepa4
6.35,4.08,9.46,3.22,9.62,rede3
4.93,29.57,25.67,0.38,0.19,rpad3
1.60,51.22,0.12,0.03,0.00,rsid3
13.20,1.95,2.85,0.85,4.27,ealt3
8.95,36.03,0.98,0.15,0.00,ceed3
37.37,15.59,21.86,0.79,2.29,peab4
2.84,59.66,1.46,0.31,0.00,ctsa3
19.61,26.03,23.66,1.02,0.00,crpg3
8.20,3.13,5.62,0.84,6.64,dexp4
46.90,37.86,9.96,0.87,5.85,mtsa4
6.21,149.40,1.76,3.81,0.00,hoot4
1.18,7.09,13.89,0.28,0.00,haga4
9.12,3.35,11.36,0.83,2.91,ptnt3
20.35,24.34,6.38,0.67,3.29,euca3
120.13,4.86,9.85,7.86,7.34,cgas3
61.00,20.52,8.78,2.79,9.83,unip5
73.91,78.00,28.82,0.99,83.78,moar3
53.99,34.49,4.78,1.83,11.62,sond5
176.46,300.67,14.63,1.55,12.24,tkno3
30.01,7.66,6.73,1.17,3.94,mrsa5b
14.42,31.32,19.48,1.66,4.48,cple5
0.80,64.76,433.81,240.81,0.00,ppla11
1.90,18.80,22.65,0.46,0.00,haga3
18.50,6.51,7.56,1.34,0.00,mndl3
