valor_de_mercado,valor_de_firma,patrimônio_líquido,n_total_de_papeis,ativos,ativo_circulante,dívida_bruta,dívida_líquida,disponibilidade,segmento_de_listagem,free_float,tag_along,setor,segmento,papel,liquidez_média_diária
342.980.713.000,342.980.713.000,65.605.493.000,11.506.119.000,578.439.284.000,507.603.323.000,0,0,1.437.611.000,Nível 1,29.94,100.00,Financeiro,Bancos,BPAC11,344.058.000
49.822.594.000,82.692.205.000,25.136.785.000,1.124.259.000,83.076.114.000,20.052.901.000,43.938.967.000,32.869.611.000,11.069.356.000,Novo Mercado,90.45,100.00,Consumo Cíclico,Aluguel de carros,RENT3,336.402.000
119.382.225.000,130.662.231.000,68.438.152.000,3.226.546.000,123.899.419.000,24.248.764.000,18.076.567.000,11.280.006.000,6.796.561.000,Tradicional,24.64,80.00,Telecomunicações,Telecomunicações,VIVT3,156.121.000
28.351.694.000,28.025.700.000,5.077.357.000,599.401.000,9.219.852.000,3.145.240.000,1.679.735.000,-325.994.000,2.005.729.000,Novo Mercado,87.53,100.00,Tecnologia da Informação,Programas e Serviços,TOTS3,131.790.000
2.729.094.000,2.427.364.000,2.438.601.000,568.561.000,3.601.783.000,1.290.429.000,79.117.000,-301.730.000,380.847.000,Novo Mercado,71.83,100.00,Tecnologia da Informação,Programas e Serviços,LWSA3,15.302.000
205.410.287.000,205.410.287.000,175.635.225.000,10.592.012.000,2.202.774.724.000,1.788.672.711.000,0,0,225.625.971.000,Nível 1,62.16,100.00,Financeiro,Bancos,BBDC3,83.325.000
100.644.000,441.215.000,338.323.000,121.258.000,1.336.839.000,630.570.000,418.173.000,340.571.000,77.602.000,Nível 1,82.23,100.00,Telecomunicações,Telecomunicações,IFCM3,673.000
77.896.922.000,80.627.260.000,19.070.634.000,740.465.000,66.844.714.000,36.550.604.000,12.117.600.000,2.730.338.000,9.387.262.000,Novo Mercado,99.20,100.00,Bens Industriais,Material Aeronáutico e de Defesa,EMBR3,0
2.889.251.000,9.957.251.000,2.634.000.000,932.016.000,34.332.000.000,14.484.000.000,9.323.000.000,7.068.000.000,2.255.000.000,Novo Mercado,99.75,100.00,Consumo Cíclico,Eletrodomésticos,BHIA3,10.829.000
43.371.091.000,46.115.314.000,6.995.144.000,1.752.367.000,23.825.807.000,13.753.306.000,3.282.613.000,2.744.223.000,538.390.000,Novo Mercado,74.49,0.10,Saúde,Medicamentos e Outros Produtos,RADL3,195.373.000
13.542.416.000,22.290.772.000,19.368.000.000,1.324.907.000,87.319.904.000,33.463.871.000,18.643.907.000,8.748.356.000,9.895.551.000,Nível 1,70.19,100.00,Materiais Básicos,Siderurgia,GOAU4,86.627.000
147.516.000,147.427.000,-27.182.000,31.822.000,38.565.000,13.594.000,,-89.000,89.000,Tradicional,61.28,0.00,Bens Industriais,Material Rodoviário,RCSL4,45.700.000
24.388.023.000,50.488.410.000,10.239.102.000,6.241.478.000,62.163.679.000,16.586.925.000,35.826.069.000,26.100.387.000,9.725.682.000,Nível 2,63.92,100.00,Materiais Básicos,Papel e Celulose,KLBN11,85.019.000
125.465.000,125.458.000,151.852.000,339.094.000,186.882.000,200.000,,-7.000,7.000,Novo Mercado,0.00,0.00,Materiais Básicos,Petroquímicos,AZTE3,706.000
2.400.369.000,9.102.947.000,3.284.652.000,349.724.000,18.438.468.000,9.943.434.000,9.331.911.000,6.702.578.000,2.629.333.000,Nível 1,59.71,80.00,Bens Industriais,Material Rodoviário,RAPT4,23.883.000
5.618.380.000,8.188.882.000,2.273.440.000,1.360.382.000,6.901.095.000,2.339.830.000,3.704.016.000,2.570.502.000,1.133.514.000,Novo Mercado,99.93,100.00,Bens Industriais,Transporte Hidroviário,HBSA3,9.501.000
18.119.441.000,61.182.651.000,2.834.441.000,857.928.000,137.817.432.000,53.153.889.000,66.039.994.000,43.063.210.000,22.976.784.000,Novo Mercado,33.58,100.00,Consumo não Cíclico,Carnes e Derivados,MRFG3,0
7.858.859.000,18.487.284.000,5.387.222.000,622.730.000,20.155.344.000,3.129.943.000,11.760.157.000,10.628.425.000,1.131.732.000,Novo Mercado,68.34,100.00,Utilidade Pública,Energia Elétrica,SRNA3,0
