cotação,dy,pvp,liquidez_diária,liquidez_unidade,variação,papel
8.36,12.56,0.86,8.36,K,6.63,RECM11
76.42,16.45,0.84,145.03,K,4.76,RBHY11
62.14,15.56,0.72,220.50,K,-10.41,RBHG11
49.29,12.44,0.79,228.45,K,8.31,RBFF11
209.99,0.00,0.30,15.26,K,-36.88,RBOP11
50.60,8.34,0.60,72.47,K,23.08,RNGO11
40.96,5.30,0.43,22.99,K,8.22,RBRS11
81.26,17.75,0.93,1.35,M,23.29,RZAK11
85.75,14.40,0.85,545.14,K,16.18,RZAT11
126.69,7.92,0.64,423.66,K,8.43,RCRB11
9.78,11.03,0.93,1.72,M,16.01,RBVA11
8.75,14.60,0.89,186.84,K,23.59,SAPI11
50.97,13.71,0.55,55.09,K,15.60,SEQR11
8.50,14.49,0.88,125.58,K,15.49,SADI11
4.75,4.06,0.95,831.29,K,34.18,SARE11
923.23,9.10,0.90,62.35,K,20.17,SHPH11
36.41,14.01,0.62,59.73,K,16.81,SPTW11
1051.35,0.00,1.21,548.95,K,0.00,SOLR11
0.64,0.00,0.34,9.51,K,-92.16,SJAU11
48.08,10.23,0.72,4.38,K,-0.54,WPLZ11
86.71,11.60,0.99,153.34,K,10.02,PMFO11
8.41,14.45,0.89,301.81,K,8.10,SPXS11
9.60,14.53,1.01,110.27,K,18.23,SNME11
8.42,14.25,1.02,1.36,M,11.38,SNEL11
1.54,77.97,3.12,133.00,K,-20.62,SNLG11
81.10,14.81,0.83,542.98,K,7.39,SNCI11
72.66,12.97,0.86,540.78,K,2.63,SNFF11
10.00,11.66,1.02,13.14,K,12.49,TELM11
94.22,13.11,0.91,1.18,M,18.52,TVRI11
94.09,12.47,0.97,4.25,K,5.97,TSER11
63.40,11.33,0.74,544.21,K,-4.66,TRBL11
83.34,12.52,0.85,983.71,K,11.55,TEPP11
76.29,10.51,0.82,4.64,K,15.59,VOTS11
255.00,14.16,0.98,20.21,K,4.80,TJKB11
8.80,14.55,0.95,26.64,K,0.57,TRXY11
100.61,13.25,1.00,7.76,M,11.16,TRXF11
2.21,6.93,0.06,30.74,K,-59.52,TORD11
157.28,16.52,1.57,17.88,K,42.62,TRXB11
89.49,8.93,1.00,1.22,K,0.58,VVRI11
14.86,0.00,1.00,36.46,K,8.55,VVCO11
31.69,22.98,0.32,985.75,K,-40.84,URPR11
9.45,12.97,0.93,1.41,M,14.13,VVCR11
77.10,14.95,0.87,1.90,M,14.15,VGIP11
9.33,15.52,0.95,5.16,M,15.90,VGIR11
15.23,0.92,0.40,61.45,K,6.06,VPPR11
48.51,8.68,0.79,177.08,K,31.04,PLAG11
7.79,20.08,0.73,596.42,K,19.66,VGRI11
75.90,15.83,0.81,1.87,M,6.27,VCJR11
89.00,6.90,0.85,3.52,K,31.60,BLMO11
60.23,12.95,0.81,1.18,M,1.41,RVBI11
7.10,14.99,0.83,3.21,M,3.65,VGHF11
2.35,16.09,0.23,113.81,K,-18.12,VSLH11
78.97,7.33,0.50,257.95,K,75.45,FVPQ11
6.95,15.54,0.74,214.30,K,7.75,VCRI11
5.71,14.13,0.65,179.38,K,11.74,VIUR11
94.45,8.75,0.82,2.68,M,33.27,VILG11
7.39,3.79,0.93,2.18,M,7.73,VIFI11
5.06,12.62,0.50,629.99,K,12.20,VINO11
108.11,8.95,0.88,5.23,M,18.85,VISC11
1.41,75.83,0.96,10.54,K,-4800.00,WSEC11
8.68,14.21,0.90,383.90,K,11.00,WHGR11
9.98,7.87,1.11,22.57,K,-17.18,ZAGH11
103.99,9.40,0.98,3.04,M,21.36,XPLG11
106.02,10.40,0.98,12.96,M,15.82,XPML11
80.34,13.37,0.91,1.89,M,17.25,XPCI11
6.21,12.30,0.79,428.74,K,5.08,XPSF11
7.95,0.00,0.28,16.61,K,8.61,XPCM11
75.94,12.06,0.74,298.02,K,22.31,XPIN11
91.99,14.54,0.65,41.24,K,2.72,ZAVI11
635.00,0.00,0.36,11.69,K,4.10,ZIFI11
