Cotação,VARIAÇÃO_(12M),P/L,P/VP,DY,carteira_investidor_10,Papel
6.75,67.95,1.85,0.94,50.17,,SYNE3
21.05,-1.52,4.93,0.80,9.31,,ABCB4
3.43,7.56,6.98,0.46,11.69,,BMGB4
7.51,-12.57,13.28,1.28,3.19,,BPAN4
29.50,2.70,8.61,1.14,2.95,,ALUP11
22.14,78.02,6.73,1.17,5.60,,MDNE3
10.28,-27.13,13.89,1.03,2.87,,SOJA3
4.89,-51.79,8.12,0.49,4.13,,TASA4
12.15,55.78,6.75,1.37,8.21,,LAVV3
15.74,-36.17,-53.05,0.68,8.52,,TUPY3
7.45,33.75,7.04,2.01,3.38,,WIZC3
12.43,24.83,8.32,1.03,2.71,,BLAU3
3.78,15.85,7.86,1.12,2.66,,FIQE3
28.26,-5.64,7.67,4.32,9.37,,LEVE3
19.71,49.51,13.32,1.47,6.71,,BMOB3
47.80,14.99,62.56,5.14,0.00,,ORVR3
3.27,29.79,11.36,0.83,35.48,,MELK3
3.48,10.48,-6.65,0.63,0.00,,ZAMP3
8.49,73.61,18.22,0.87,1.93,,SEER3
5.07,36.36,9.62,1.19,7.53,,CSED3
3.99,-7.42,-4.93,1.78,0.00,,PTBL3
15.43,27.00,8.65,2.04,13.08,,BRBI11
4.41,-0.59,-4.67,1.14,1.75,,MATD3
0.97,-77.70,-0.03,-0.05,0.00,,SEQL3
7.52,47.41,4.67,0.94,5.49,,SAPR3
11.47,11.65,9.42,1.81,4.40,,MILS3
1.11,15.86,46.11,0.46,0.16,,ESPA3
3.67,-11.84,10.85,2.23,6.32,,KLBN3
6.81,10.91,43.83,0.72,5.87,,EVEN3
20.30,0.49,4.83,0.48,9.44,,LOGG3
5.23,-41.04,7.28,0.84,8.09,,JSLG3
6.17,-1.75,-53.73,1.31,0.00,,OPCT3
7.08,42.21,6.65,1.93,8.29,,POMO3
7.23,26.62,7.59,0.67,7.92,,PFRM3
22.13,47.53,5.91,1.03,12.37,,VLID3
15.00,49.56,31.07,2.04,0.34,,PRNR3
9.29,-5.76,14.34,1.12,3.89,,PNVL3
23.90,-9.88,14.46,1.02,2.40,,MDIA3
4.85,-15.26,10.01,1.16,6.40,,VITT3
2.61,-29.95,19.69,0.74,1.54,,BRST3
15.04,-74.51,1.07,0.05,0.00,,GFSA3
14.25,30.28,5.82,1.46,13.31,,CMIG3
7.89,-17.96,8.04,0.60,10.42,,ROMI3
11.07,-,-4.70,0.19,0.00,,AMOB3
3.43,-35.16,9.98,0.17,0.00,,HBRE3
1.05,-36.75,-3.47,0.52,0.00,,RNEW4
8.21,-12.95,5.74,0.90,6.44,,DEXP3
