Razão Social;CNPJ;PÚBLICO-ALVO;MANDATO;SEGMENTO;TIPO DE FUNDO;PRAZO DE DURAÇÃO;TIPO DE GESTÃO;TAXA DE ADMINISTRAÇÃO;VACÂNCIA;NUMERO DE COTISTAS;COTAS EMITIDAS;VAL. PATRIMONIAL P/ COTA;VALOR PATRIMONIAL;ÚLTIMO RENDIMENTO;Valor Patrimonial Unidade;Papel
BRESCO LOGÍSTICA - FUNDO DE INVESTIMENTO IMOBILIÁRIO;20.748.515/0001-81;Geral;Híbridos;Logístico / Indústria / Galpões;Fundo de Tijolo;Indeterminado;Ativa;0,0975;4,50;121.549;15.905.122;117,82;1,87;0,87;Bilhão;BRCO11
BRIO CRÉDITO ESTRUTURADO - FUNDO DE INVESTIMENTO IMOBILIÁRIO;39.332.032/0001-20;Investidor Qualificado;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de fundos;Determinado;Ativa;1,25;0,00;114;133.403;1.065,42;142,14;1,00;Milhões;BICE11
BRIO MULTIESTRATÉGIA FUNDO DE INVESTIMENTO IMOBILIÁRIO;41.081.356/0001-84;Geral;Renda;Híbrido;Outro;Indeterminado;Ativa;1,50;0,00;8.478;5.845.591;8,43;49,27;0,08;Milhões;BIME11
BRIO REAL ESTATE III FUNDO DE INVESTIMENTO IMOBILIÁRIO;34.895.752/0001-80;Geral;Híbridos;Híbrido;Fundo de desenvolvimento;Determinado;Ativa;2,0;0,00;430;215.464;640,27;137,96;11,77;Milhões;BRIP11
BRIO REAL ESTATE II - FUNDO DE INVESTIMENTO IMOBILIÁRIO;23.964.843/0001-03;Geral;Híbridos;Outros;Fundo de desenvolvimento;Determinado;Ativa;1,5;0,00;680;124.126;369,80;45,91;80,56;Milhões;BRIM11
BRPR CORPORATE OFFICES FDO DE INV IMOB;48.978.859/0001-04;Geral;Renda;Híbrido;Fundo de Tijolo;Indeterminado;Ativa;;8,80;9.996;11.610.801;108,20;1,26;0,42;Bilhão;BROF11
BS2 ALLINVESTMENTS FUNDO DE INVESTIMENTO IMOBILIÁRIO;41.218.404/0001-33;Investidor Qualificado;Desenvolvimento para venda;Híbrido;Fundo misto;Indeterminado;Ativa;2,00;0,00;73;361.129;52,04;18,79;1,70;Milhões;LLAO11
BTG PACTUAL HOTÉIS FII;18.308.516/0001-63;Geral;Híbridos;Hotéis;Fundo de Tijolo;Indeterminado;Ativa;0.95;45,50;1.415;9.218.501;68,73;633,63;0,37;Milhões;BTHI11
BTG Pactual Fundo de CRI;09.552.812/0001-14;Geral;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de papel;Indeterminado;Ativa;0,95;0,00;191.439;99.521.161;10,04;999,01;0,10;Milhões;BTCI11
BTG PACTUAL LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO;11.839.593/0001-09;Geral;Renda;Logístico / Indústria / Galpões;Fundo de Tijolo;Indeterminado;Ativa;0,9;1,00;396.295;44.473.964;103,71;4,61;0,78;Bilhões;BTLG11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - BTG PACTUAL CORPORATE OFFICE;08.924.783/0001-01;Geral;Híbridos;Híbrido;Fundo de Tijolo;Indeterminado;Ativa;0,25;12,10;123.212;26.638.191;85,00;2,26;0,41;Bilhões;BRCR11
FUNDO DE INVESTIMENTO IMOBILIÁRIO BTG PACTUAL AGRO LOGÍSTICA;36.642.244/0001-15;Geral;Renda;Outros;Fundo de Tijolo;Indeterminado;Ativa;1,10;0,00;39.259;5.982.725;112,52;673,18;0,90;Milhões;BTAL11
BTG PACTUAL REAL ESTATE HEDGE FUND FII - RESP LTDA;45.188.176/0001-57;Geral;Títulos e valores mobiliários;Híbrido;Fundo de papel;Indeterminado;Ativa;;0,00;340.382;205.846.929;9,89;2,04;0,09;Bilhões;BTHF11
FUNDO DE INVESTIMENTO IMOBILIÁRIO BTG PACTUAL SHOPPINGS;33.046.142/0001-49;Investidor Qualificado;Renda;Shoppings / Varejo;Fundo de Tijolo;Indeterminado;Ativa;1,0;7,40;5.830;7.441.734;126,21;939,19;0,92;Milhões;BPML11
FUNDO DE INVESTIMENTO IMOBILIÁRIO BTG PACTUAL TERRAS AGRÍCOLAS;41.076.607/0001-32;Geral;Renda;Fiagros;Outro;Indeterminado;Ativa;1,22;0,00;12.556;3.364.548;110,94;373,25;0,30;Milhões;BTRA11
BTSP I FUNDO DE INVESTIMENTO IMOBILIÁRIO;36.098.375/0001-83;Geral;Desenvolvimento para renda;Híbrido;Fundo de Tijolo;Indeterminado;Ativa;0,20;0,00;102;775.004;152,09;117,87;1,00;Milhões;BTSG11
BTSP II FUNDO DE INVESTIMENTO IMOBILIÁRIO;36.930.464/0001-44;Geral;Desenvolvimento para renda;Híbrido;Fundo de desenvolvimento;Indeterminado;Ativa;;0,00;194;5.775.324;116,98;675,58;0,79;Milhões;BTSI11
FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA IMÓVEIS CORPORATIVOS;38.658.984/0001-75;Geral;Renda;Lajes Corporativas;Fundo de Tijolo;Indeterminado;Ativa;0,25;0,00;12.509;3.924.489;96,09;377,11;0,66;Milhões;CXCO11
BTOWERS - FUNDO DE INVESTIMENTO IMOBILIÁRIO;20.132.453/0001-89;Investidor Qualificado;Renda;Lajes Corporativas;Fundo de desenvolvimento;Indeterminado;Passiva;0,80;6,00;135;809.258;118,44;95,85;0,60;Milhões;BTWR11
CAIXA RIO BRAVO FUNDO DE INVESTIMENTO IMOBILIÁRIO;17.098.794/0001-70;Geral;Híbridos;Híbrido;Fundo de fundos;Indeterminado;Ativa;1,20;0,00;1.797;1.575.749;80,07;126,17;0,59;Milhões;CXRI11
CAIXA RIO BRAVO FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIÁRIO II;31.887.401/0001-39;Geral;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de fundos;Indeterminado;Ativa;1,15;0,00;1.245;690.029;80,82;55,77;0,61;Milhões;CRFF11
CANUMA CAPITAL MULTIESTRATÉGIA FUNDO DE INVESTIMENTO IMOBILIÁRIO;43.010.844/0001-26;Geral;Híbridos;Outros;Fundo misto;Indeterminado;Ativa;Taxa de gestão 1,20;2,90;8.260;67.797.042;10,34;700,81;0,08;Milhões;CCME11
CAPITÂNIA LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;52.371.756/0001-40;Geral;Híbridos;Logístico / Indústria / Galpões;Fundo misto;Indeterminado;Ativa;;0,00;392;34.345.209;9,68;332,39;0,03;Milhões;CPLG11
CAPITÂNIA OFFICE FII - FDO DE INV IMOB;48.916.699/0001-60;Geral;Renda;Híbrido;Fundo misto;Indeterminado;Ativa;;3,00;121;4.772.394;108,66;518,55;0,75;Milhões;CPOF11
Classe Única do Capitânia HBC Renda Urbana;34.691.520/0001-00;Geral;Renda;Híbrido;Outro;Indeterminado;Ativa;1,00;2,10;1.388;62.371.124;9,87;615,59;0,05;Milhões;CPUR11
CAPITANIA SECURITIES II FUNDO DE INVESTIMENTO IMOBILIÁRIO;18.979.895/0001-13;Geral;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de papel;Indeterminado;Ativa;1,05;0,00;356.068;328.558.318;8,87;2,91;0,09;Bilhões;CPTS11
CASTELLO BRANCO OFFICE PARK FUNDO DE INVESTIMENTO IMOBILIÁRIO;17.144.039/0001-85;Geral;Renda;Lajes Corporativas;Fundo de Tijolo;Indeterminado;Passiva;1.05;41,60;2.228;1.414.989;67,55;95,58;0,10;Milhões;CBOP11
SHOPPINGS AAA FDO DE INV IMOB;47.896.665/0001-99;Geral;Renda;Shoppings / Varejo;Fundo de Tijolo;Indeterminado;Ativa;;4,90;22.111;79.699.807;11,71;933,38;0,10;Milhões;CPSH11
BLUEMACAW CATUAÍ TRIPLE A FUNDO DE INVESTIMENTO IMOBILIÁRIO;41.076.748/0001-55;Geral;Híbridos;Lajes Corporativas;Fundo misto;Indeterminado;Ativa;1,15;0,00;461;1.599.989;128,42;205,47;0,85;Milhões;BLCA11
CARTESIA RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO;32.065.364/0001-46;Geral;Híbridos;Híbrido;Fundo de papel;Indeterminado;Ativa;1,00;0,00;24.418;4.836.313;95,17;460,27;1,35;Milhões;CACR11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - CENESP;13.551.286/0001-45;Geral;Renda;Lajes Corporativas;Fundo de Tijolo;Indeterminado;Ativa;0,30;59,40;90.031;34.134.814;7,57;258,30;0,01;Milhões;CNES11
FUNDO DE INVESTIMENTO IMOBILIÁRIO CENTRO TÊXTIL INTERNACIONAL;00.762.723/0001-28;Geral;Desenvolvimento para renda;Lajes Corporativas;Fundo de Tijolo;Indeterminado;Passiva;0,265;100,00;2.260;4.659.595;21,38;99,61;0,02;Milhões;CTXT11
CF2 FUNDO DE INVESTIMENTO IMOBILIÁRIO;34.508.923/0001-70;fii.QUALIFIED_INVESTOR;Híbridos;Outros;Fundo de desenvolvimento;Indeterminado;Ativa;1;0,00;96;94.589;310,27;29,35;25,80;Milhões;CFHI11
CF3 FUNDO DE INVESTIMENTO IMOBILIÁRIO;41.325.993/0001-59;Investidor Qualificado;Desenvolvimento para venda;Híbrido;Fundo de desenvolvimento;Determinado;Ativa;;0,00;107;126.308;986,35;124,60;3,85;Milhões;CFII11
CLAVE ÍNDICES DE PREÇOS;49.005.348/0001-60;Geral;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de papel;Indeterminado;Ativa;;0,00;12.385;4.346.752;96,91;421,24;1,00;Milhões;CLIN11
CIDADE JARDIM CONTINENTAL TOWER FUNDO DE INVESTIMENTO IMOBILIÁRIO;10.347.985/0001-80;Investidor Qualificado;Renda;Lajes Corporativas;Fundo de Tijolo;Indeterminado;Passiva;0,70;31,80;873;3.139.989;72,94;229,04;0,20;Milhões;CJCT11
CYRELA DESENVOLVIMENTO LOGÍSTICO FII;43.010.601/0001-98;Investidor Qualificado;Desenvolvimento para venda;Logístico / Indústria / Galpões;Fundo de Tijolo;Determinado;Ativa;;0,00;107;1.241.836;120,48;149,61; 0,00;Milhões;CYLD11
DAMA FUNDO DE INVESTIMENTO IMOBILIÁRIO;53.866.872/0001-01;Geral;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de papel;Indeterminado;Ativa;;0,00;786;5.537.020;8,40;46,49;0,09;Milhões;DAMA11
ASA RETROFITS I FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;451.880/3300-01;Investidor Qualificado;Híbridos;Híbrido;Fundo de desenvolvimento;Determinado;Ativa;2,20;0,00;63;3.989;9.713,52;38,85; 0,00;Milhões;ASRF11
CYRELA CRÉDITO - FUNDO DE INVESTIMENTO IMOBILIÁRIO;36.501.233/0001-15;Geral;Títulos e valores mobiliários;Outros;Fundo de papel;Indeterminado;Ativa;1,00;0,00;18.046;36.549.434;9,35;341,69;0,11;Milhões;CYCR11
FUNDO DE INVESTIMENTO IMOBILIÁRIO DE CRI INTEGRAL BREI;40.011.251/0001-96;Geral;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de papel;Indeterminado;Ativa;1,00;0,00;3.866;958.412;89,55;85,82;0,75;Milhões;IBCR11
DAYCOVAL REAL ESTATE MULTIESTRATÉGIA FII RL;38.293.921/0001-62;Geral;Híbridos;Lajes Corporativas;Fundo de Tijolo;Indeterminado;Ativa;;9,60;770;17.100.927;9,89;169,11;0,03;Milhões;DAYM11
DEVANT RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO;37.087.810/0001-37;Geral;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de papel;Indeterminado;Ativa;0,70;0,00;87.034;14.044.897;96,51;1,36;0,34;Bilhão;DEVA11
EQI RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO;41.076.380/0001-25;Investidor Qualificado;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Outro;Indeterminado;Ativa;1,00;0,00;10.041;10.909.304;9,49;103,51;0,10;Milhões;EQIR11
EUROPA 105 - FUNDO DE INVESTIMENTO IMOBILIÁRIO;31.469.385/0001-64;Investidor Qualificado;Renda;Lajes Corporativas;Fundo de Tijolo;Indeterminado;Passiva;0,17;0,00;616;500.911;159,49;79,89;0,94;Milhões;ERPA11
EVEN II KINEA FUNDO DE INVESTIMENTO IMOBILIÁRIO;32.317.313/0001-64;Investidor Qualificado;Desenvolvimento para venda;Outros;Fundo de desenvolvimento;Determinado;Passiva;1,45;0,00;440;147.689;557,96;82,41;34,53;Milhões;KEVE11
ESTOQUE RESIDENCIAL E COMERCIAL RJ FUNDO DE INVESTIMENTO IMOBILIÁRIO;37.266.902/0001-84;fii.QUALIFIED_INVESTOR;Desenvolvimento para renda;Híbrido;Fundo de Tijolo;Indeterminado;Passive;0,10;0,00;10;2.365;17.505,82;41,59;146,50;Milhões;ERCR11
EXES FUNDO DE INVESTIMENTO IMOBILIÁRIO;41.076.851/0001-03;Investidor Qualificado;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de papel;Indeterminado;Ativa;;0,00;755;7.105.433;9,65;68,58;0,13;Milhões;EXES11
FARIA LIMA CAPITAL RECEBÍVEIS IMOBILIÁRIOS I - FUNDO DE INVESTIMENTO IMOBILIÁRIO;33.884.145/0001-51;fii.QUALIFIED_INVESTOR;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de papel;Indeterminado;Ativa;1,00;0,00;3.019;751.833;93,28;70,13;1,05;Milhões;FLCR11
FATOR VERITA FUNDO DE INVESTIMENTO IMOBILIÁRIO;11.664.201/0001-00;Geral;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de papel;Indeterminado;Ativa;1,0;0,00;111.776;15.592.413;83,41;1,30;0,85;Bilhão;VRTA11
FATOR VERITÀ MULTIESTRATÉGIA;51.870.412/0001-13;Geral;Híbridos;Híbrido;Outro;Indeterminado;Ativa;;0,00;11.689;46.971.234;9,27;435,30;0,09;Milhões;VRTM11
FUNDO DE INVESTIMENTO IMOBILIÁRIO CONTINENTAL SQUARE FARIA LIMA;04.141.645/0001-03;Geral;Renda;Híbrido;Fundo de Tijolo;Indeterminado;Ativa;2;32,05;12.093;1.380.659;220,64;304,63;1,05;Milhões;FLMA11
FII EGDB;53.866.393/0001-87;Geral;Híbridos;Híbrido;Outro;Indeterminado;Ativa;;0,00;2.222;75.721;920,34;69,70; 0,00;Milhões;EGDB11
FUNDO DE INVESTIMENTO IMOBILIÁRIO EUROPAR;05.437.916/0001-27;Geral;Híbridos;Logístico / Indústria / Galpões;Fundo de Tijolo;Indeterminado;Passiva;5,0;0,00;2.060;383.925;329,85;126,64;2,00;Milhões;EURO11
FUNDO DE INVESTIMENTO IMOBILIÁRIO MEMORIAL OFFICE;01.633.741/0001-72;Geral;Renda;Lajes Corporativas;Fundo de Tijolo;Indeterminado;Passiva;5,0;0,00;216;507.997;116,02;58,94;0,41;Milhões;FMOF11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - TORRE ALMIRANTE;07.122.725/0001-00;Geral;Renda;Lajes Corporativas;Fundo de Tijolo;Indeterminado;Passiva;0,383;46,34;1.952;111.166;2.106,20;234,16;4,23;Milhões;ALMI11
FOF JHSF CAPITAL INSTITUCIONAL FII;50.718.976/0001-72;Investidor Qualificado;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de fundos;Indeterminado;Passiva;;0,00;5;1.317.706;157,63;207,71;0,62;Milhões;JCIN11
FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIÁRIO KINEA FII;30.091.444/0001-40;Geral;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de fundos;Indeterminado;Ativa;0,92;0,00;29.063;7.014.554;87,15;611,30;0,80;Milhões;KFOF11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - VBI CRI;28.729.197/0001-13;Geral;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de papel;Indeterminado;Ativa;0,90;0,00;84.167;11.010.217;92,62;1,02;1,05;Bilhão;CVBI11
FUNDO DE INVESTIMENTO IMOBILIÁRIO DEVANT FOF IMOBILIÁRIOS;39.863.059/0001-49;Geral;Títulos e valores mobiliários;Híbrido;Fundo de fundos;Indeterminado;Ativa;0,15;0,00;1.883;11.009.489;8,34;91,87;0,07;Milhões;DVFF11
FUNDO DE INVESTIMENTO IMOBILIÁRIO – CAMPUS FARIA LIMA;11.602.654/0001-01;Geral;Renda;Educacional;Fundo de Tijolo;Indeterminado;Passiva;0,30;0,00;3.054;3.473.999;123,20;428,02;0,89;Milhões;FCFL11
FUNDO DE INVESTIMENTO IMOBILIÁRIO – FII ANHANGUERA EDUCACIONAL;11.179.118/0001-45;Geral;Renda;Outros;Fundo de Tijolo;Indeterminado;Passiva;0,3;0,00;4.163;692.366;221,95;153,67;1,66;Milhões;FAED11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - CYRELA COMMERCIAL PROPERTIES;15.799.397/0001-09;Geral;Renda;Lajes Corporativas;Fundo de Tijolo;Indeterminado;Passiva;0,20;0,00;4.030;1.815.685;72,71;132,03;0,47;Milhões;CEOC11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - EDIFÍCIO ALMIRANTE BARROSO;05.562.312/0001-02;Geral;Renda;Lajes Corporativas;Fundo de Tijolo;Indeterminado;Passiva;2,50;89,31;2.083;122.527;1.835,13;224,87;45,43;Milhões;FAMB11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - EDIFÍCIO GALERIA;15.333.306/0001-37;Geral;Renda;Lajes Corporativas;Fundo de Tijolo;Indeterminado;Passiva;0,20;23,55;3.989;3.812.044;46,71;178,07;0,08;Milhões;EDGA11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - NCH BRASIL RECEBÍVEIS IMOBILIÁRIOS;18.085.673/0001-57;Geral;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de papel;Indeterminado;Ativa;0,20;0,00;10.871;15.281.377;9,72;148,55;0,10;Milhões;FYTO11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - HOSPITAL DA CRIANÇA;04.066.582/0001-60;Geral;Renda;Hospitalar;Fundo de Tijolo;Indeterminado;Passiva;2,0;0,00;2.991;199.989;325,88;65,18;2,73;Milhões;HCRI11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - HOSPITAL NOSSA SENHORA DE LOURDES;08.014.513/0001-63;Geral;Renda;Hospitalar;Fundo de Tijolo;Indeterminado;Passiva;2,50;0,00;5.422;1.293.275;210,24;271,90;1,61;Milhões;NSLU11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - RBR DESENVOLVIMENTO III;32.441.656/0001-36;Investidor Qualificado;Renda;Híbrido;Fundo de desenvolvimento;Indeterminado;Ativa;0,20;0,00;123;139.654;779,88;108,92;13,00;Milhões;RBRI11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - MAX RETAIL;11.274.415/0001-70;Geral;Renda;Outros;Fundo de Tijolo;Indeterminado;Ativa;0,15;26,00;4.379;1.125.644;102,83;115,76;0,52;Milhões;MAXR11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - PARQUE DOM PEDRO SHOPPING CENTER;10.869.155/0001-12;Geral;Renda;Shoppings / Varejo;Fundo de Tijolo;Indeterminado;Passiva;0,23;2,10;3.300;100.550;3.327,70;334,64;14,32;Milhões;PQDP11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII REC RENDA IMOBILIÁRIA;32.274.163/0001-59;Geral;Híbridos;Híbrido;Outro;Indeterminado;Ativa;0,17;9,80;52.764;8.543.482;90,96;777,13;0,37;Milhões;RECT11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII REC RECEBÍVEIS IMOBILIÁRIOS;28.152.272/0001-26;fii.GENERAL;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de papel;Indeterminado;Ativa;0,20;0,00;171.676;26.441.639;88,20;2,33;0,95;Bilhões;RECR11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - RBR RENDIMENTO HIGH GRADE;29.467.977/0001-03;Geral;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de papel;Indeterminado;Ativa;0,15;0,00;126.279;15.057.190;91,47;1,38;0,95;Bilhão;RBRR11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - TORRE NORTE;04.722.883/0001-02;Geral;Renda;Lajes Corporativas;Fundo de Tijolo;Indeterminado;Passiva;1,50;31,90;530;3.935.551;177,36;698,00;0,07;Milhões;TRNT11
FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA AGÊNCIAS;40.189.596/0001-34;Geral;Renda;Agências bancárias;Fundo de Tijolo;Indeterminado;Passiva;0,58;0,00;11.876;2.090.610;110,46;230,92;0,70;Milhões;CXAG11
FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA CEDAE;10.991.914/0001-15;Geral;Renda;Lajes Corporativas;Fundo de Tijolo;Indeterminado;Passiva;5,0;0,00;3.082;1.712.939;63,46;108,70;0,46;Milhões;CXCE11
FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA CARTEIRA IMOBILIÁRIA;42.066.916/0001-94;Geral;Títulos e valores mobiliários;Fundo de Fundos;Fundo de fundos;Indeterminado;Ativa;;0,00;5.434;2.057.715;83,34;171,50;0,75;Milhões;CXCI11
FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA SEQ LOGÍSTICA RENDA;12.887.506/0001-43;Geral;Renda;Logístico / Indústria / Galpões;Fundo de Tijolo;Indeterminado;Passiva;0,41;0,00;628;53.586;402.503,68;21,57;0,65;Bilhões;CXTL11
FUNDO DE INVESTIMENTO IMOBILIÁRIO EDIFÍCIO OUROINVEST;06.175.262/0001-73;Geral;Renda;Lajes Corporativas;Fundo de Tijolo;Indeterminado;Passiva;0,30;28,27;479;235.989;210,53;49,69;0,70;Milhões;EDFO11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - NOVO HORIZONTE;17.025.970/0001-44;Investidor Qualificado;Desenvolvimento para renda;Hospitalar;Fundo de Tijolo;Indeterminado;Ativa;0,10;0,00;1.820;41.494.522;16,61;689,43;0,09;Milhões;NVHO11
FUNDO DE INVESTIMENTO IMOBILIÁRIO DEVELOPMENT V1;40.102.445/0001-05;Investidor Qualificado;Híbridos;Híbrido;Fundo de papel;Indeterminado;Ativa;;0,00;96;66.800;1.092,18;72,97; 0,00;Milhões;LKDV11
FUNDO DE INVESTIMENTO IMOBILIARIO GREEN TOWERS;23.740.527/0001-58;Geral;Renda;Lajes Corporativas;Fundo de Tijolo;Indeterminado;Ativa;0,25;0,00;35.634;11.999.989;99,78;1,20;0,90;Bilhão;GTWR11
HBC RENDA URBANA FUNDO DE INVESTIMENTO IMOBILIÁRIO;36.501.159/0001-37;fii.GENERAL;Desenvolvimento para renda;Lajes Corporativas;Fundo misto;Indeterminado;Ativa;0,18;0,00;31;1.599.989;124,47;199,16;0,57;Milhões;HBCR11
FUNDO DE INVESTIMENTO IMOBILIÁRIO HOSPITAL UNIMED SUL CAPIXABA;28.851.767/0001-43;Geral;Desenvolvimento para renda;Hospitalar;Fundo de Tijolo;Indeterminado;Passiva;0,35;0,00;747;850.810;149,08;126,84;0,86;Milhões;HUSC11
FUNDO DE INVESTIMENTO IMOBILIÁRIO HOUSI;34.081.631/0001-02;Geral;Híbridos;Híbrido;Fundo de Tijolo;Indeterminado;Ativa;0,30;9,60;1.152;573.439;90,37;51,82;0,63;Milhões;HOSI11
FUNDO DE INVESTIMENTO IMOBILIARIO INDUSTRIAL DO BRASIL;14.217.108/0001-45;Geral;Híbridos;Logístico / Indústria / Galpões;Fundo de Tijolo;Indeterminado;Passiva;3;1,05;15.320;684.989;475,49;325,71;3,58;Milhões;FIIB11
FUNDO DE INVESTIMENTO IMOBILIÁRIO IRIDIUM RECEBÍVEIS IMOBILIÁRIOS;28.830.325/0001-10;Geral;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de papel;Indeterminado;Ativa;0,17;0,00;272.429;36.433.816;81,21;2,96;0,78;Bilhões;IRDM11
FUNDO DE INVESTIMENTO IMOBILIÁRIO MAUÁ CAPITAL RECEBÍVEIS IMOBILIÁRIOS;23.648.935/0001-84;Geral;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de papel;Indeterminado;Ativa;0,20;0,00;108.378;16.960.013;93,12;1,58;1,00;Bilhão;MCCI11
FUNDO DE INVESTIMENTO IMOBILIÁRIO OURINVEST LOGÍSTICA;13.974.819/0001-00;Geral;Renda;Logístico / Indústria / Galpões;Fundo de Tijolo;Indeterminado;Ativa;1,00;0,00;3.450;2.481.272;61,67;153,01;0,02;Milhões;OULG11
FUNDO DE INVESTIMENTO IMOBILIÁRIO PEDRA NEGRA RENDA IMOBILIÁRIA;17.161.979/0001-82;Geral;Renda;Lajes Corporativas;Fundo de Tijolo;Indeterminado;Ativa;2;2,10;147;3.043.436;208,77;635,40;4,83;Milhões;FPNG11
FUNDO DE INV IMOB RBR CRÉD PULVERIZADO RESP LTDA;53.018.363/0001-10;Geral;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de papel;Indeterminado;Ativa;;0,00;950;12.000.229;9,85;118,19;0,10;Milhões;PULV11
FUNDO DE INVESTIMENTO IMOBILIÁRIO POLO SHOPPING INDAIATUBA;14.721.889/0001-00;Geral;Renda;Shoppings / Varejo;Fundo de Tijolo;Indeterminado;Passiva;0,15;0,00;118;8.071.886;30,72;248,01;0,24;Milhões;VPSI11
FUNDO DE INVESTIMENTO IMOBILIÁRIO REC LOGÍSTICA;37.112.770/0001-36;Geral;Híbridos;Híbrido;Fundo de Tijolo;Indeterminado;Ativa;0,175;3,00;4.187;1.334.551;84,06;112,19;0,80;Milhões;RELG11
FUNDO DE INVESTIMENTO IMOBILIÁRIO RBR PROPERTIES;21.408.063/0001-51;Geral;Renda;Outros;Fundo de Tijolo;Indeterminado;Ativa;0,12;6,63;62.736;12.179.175;76,53;932,08;0,40;Milhões;RBRP11
FUNDO DE INVESTIMENTO IMOBILIÁRIO RIZA TERRAX;36.501.128/0001-86;Geral;Renda;Híbrido;Outro;Indeterminado;Ativa;1,25;0,00;144.984;18.851.709;96,13;1,81;1,00;Bilhão;RZTR11
FUNDO DE INVESTIMENTO IMOBILIÁRIO RBR PRIVATE CRÉDITO IMOBILIÁRIO;30.166.700/0001-11;Geral;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de papel;Indeterminado;Ativa;0,20;0,00;60.354;12.769.501;97,74;1,25;1,18;Bilhão;RBRY11
FUNDO DE INVESTIMENTO IMOBILIÁRIO ROOFTOP I;38.456.598/0001-09;Investidor Qualificado;Desenvolvimento para venda;Outros;Fundo de desenvolvimento;Determinado;Ativa;0,30;0,00;76;77.484;408,71;31,67;41,72;Milhões;ROOF11
FUNDO DE INVESTIMENTO IMOBILIÁRIO SMART REAL ESTATE – FII RESPONSABILIDADE LIMITADA;53.730.029/0001-95;Investidor Qualificado;Híbridos;Outros;Outro;Indeterminado;Ativa;0,22;0,00;1.417;1.044.484;101,31;105,82;1,02;Milhões;SMRE11
FUNDO DE INVESTIMENTO IMOBILIÁRIO SC 401;12.804.013/0001-00;Geral;Renda;Lajes Corporativas;Fundo de Tijolo;Indeterminado;Ativa;3,6;7,10;215;1.699.985;113,79;193,44;0,53;Milhões;FISC11
FUNDO DE INVESTIMENTO IMOBILIÁRIO VIDA NOVA;17.854.016/0001-64;fii.GENERAL;Renda;Shoppings / Varejo;Fundo de Tijolo;Indeterminado;Passive;;56,00;3.972;9.412.619;5,89;55,40; 0,00;Milhões;FIVN11
