Razão Social;CNPJ;PÚBLICO-ALVO;MANDATO;SEGMENTO;TIPO DE FUNDO;PRAZO DE DURAÇÃO;TIPO DE GESTÃO;TAXA DE ADMINISTRAÇÃO;VACÂNCIA;NUMERO DE COTISTAS;COTAS EMITIDAS;VAL. PATRIMONIAL P/ COTA;VALOR PATRIMONIAL;ÚLTIMO RENDIMENTO;Valor Patrimonial Unidade;Papel
RBR DESENVOLVIMENTO COMERCIAL FEEDER FOF FUNDO DE INVESTIMENTO IMOBILIÁRIO;35.689.670/0001-41;Investidor Qualificado;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de fundos;Determinado;Ativa;0,20;0,00;122;323.189;98,56;31,86;3,55;Milhões;RCFF11
REAG MULTI ATIVOS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO;17.374.696/0001-19;Geral;Renda;Lajes Corporativas;Fundo de Tijolo;Indeterminado;Ativa;0,30;15,90;1.071;2.443.789;106,58;260,45;0,54;Milhões;RMAI11
REAL INVESTOR FUNDO DE INVESTIMENTO IMOBILIÁRIO;44.625.612/0001-45;Geral;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Outro;Indeterminado;Ativa;1,00;0,00;3.851;3.279.521;102,01;334,54;1,05;Milhões;RINV11
FII RBR MULT;41.088.458/0001-21;Geral;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de fundos;Indeterminado;Ativa;;0,00;10.970;29.468.648;9,65;284,42;0,09;Milhões;RBRX11
RBR Premium Recebíveis Imobiliários;42.502.842/0001-91;Geral;Títulos e valores mobiliários;Híbrido;Fundo de papel;Indeterminado;Ativa;1,60;0,00;4.173;3.471.717;98,80;343,01;0,95;Milhões;RPRI11
RIO BRAVO CRÉDITO IMOBILIÁRIO HIGH GRADE FUNDO DE INVESTIMENTO IMOBILIÁRIO;30.647.758/0001-87;Geral;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de papel;Indeterminado;Ativa;1,00;0,00;8.533;2.167.946;86,36;187,22;0,80;Milhões;RBHG11
RIO BRAVO OPORTUNIDADES IMOBILIÁRIAS FII;13.500.306/0001-59;Geral;Renda;Outros;Outro;Indeterminado;Ativa;1,1;71,74;3.101;101.653;684,72;69,61;3,50;Milhões;RBOP11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - RIO BRAVO RENDA CORPORATIVA;03.683.056/0001-86;Geral;Renda;Lajes Corporativas;Fundo de Tijolo;Indeterminado;Ativa;0,7;0,80;26.497;3.690.684;196,52;725,29;0,92;Milhões;RCRB11
REC MULTIESTRATÉGIA - FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;56.430.935/0001-62;Geral;Híbridos;Híbrido;Fundo de papel;Indeterminado;Ativa;;0,00;698;8.400.506;9,66;81,12;0,12;Milhões;RECM11
RIO BRAVO RENDA RESIDENCIAL FUNDO DE INVESTIMENTO IMOBILIÁRIO;36.517.660/0001-91;Geral;Renda;Híbrido;Fundo de Tijolo;Indeterminado;Ativa;1,0;27,80;985;1.734.288;95,98;166,46;0,07;Milhões;RBRS11
