Cotação,VARIAÇÃO_(12M),P/L,P/VP,DY,carteira_investidor_10,Papel
7.89,16.84,6.69,0.50,25.76,,ALLD3
7.40,-19.57,36.14,0.45,0.00,,TELB4
6.06,-49.50,-0.78,0.32,0.00,,SHOW3
9.30,-4.53,8.86,1.07,3.20,,ALUP4
71.19,-18.45,3.24,0.60,11.11,,BAZA3
3.08,-18.13,28.61,0.31,6.05,,LVTC3
6.83,-44.87,0.16,-0.15,0.00,,OIBR4
1.55,-24.39,-0.30,-0.05,0.00,,INEP3
7.28,75.42,-4.70,1.56,0.00,,TRAD3
2.86,-40.04,6.66,0.88,0.00,,NUTR3
19.78,-14.74,-23.13,0.75,8.79,,SCAR3
8.61,0.50,7.30,1.15,5.98,,BEES3
3.62,-13.81,-3.74,0.18,6.42,,TPIS3
26.00,4.54,4.43,0.55,12.49,,CGRA4
48.00,16.78,9.65,3.99,11.06,,EKTR4
5.93,-68.87,-0.03,-0.05,0.00,,AGXY3
1.50,-28.57,-0.29,-0.05,0.00,,INEP4
10.48,4.05,9.99,1.21,2.88,,ALUP3
8.81,-18.98,6.72,0.83,1.32,,BSLI3
7.11,-15.56,-13.39,3.79,0.00,,BIOM3
4.46,14.35,-8.07,1.62,41.76,,EPAR3
5.87,-56.51,1.269.80,0.64,0.02,,VSTE3
0.69,-73.76,-0.60,0.19,0.00,,VIVR3
4.55,-22.54,5.67,0.41,5.95,,PTNT4
6.30,-29.31,10.53,0.68,4.05,,RAPT3
9.85,3.35,8.45,1.78,3.57,,BPAC5
41.30,13.62,7.90,2.09,2.91,,BMEB4
8.75,-5.83,7.42,1.17,5.88,,BEES4
7.25,-12.97,124.75,-0.39,0.00,,DOTZ3
10.70,7.93,8.16,1.01,1.34,,BSLI4
2.51,-34.46,-0.01,0.00,0.00,,OSXB3
6.05,16.34,4.64,1.16,8.71,,PINE3
24.80,-35.58,29.67,2.54,0.00,,LOGN3
66.00,5.07,6.84,1.60,3.35,,RSUL4
10.74,-24.37,52.45,0.65,0.00,,TELB3
1.48,-69.17,-0.08,-0.19,0.00,,JFEN3
11.80,-6.33,5.20,0.45,9.05,,BRSR3
8.25,5.10,5.53,1.04,7.21,,ENGI4
5.55,-10.87,6.76,2.63,11.64,,EQPA3
4.23,14.62,6.80,2.85,16.62,,WHRL3
1.63,-60.24,-5.32,-2.37,0.00,,AVLL3
22.20,43.96,8.14,1.49,8.89,,CEBR5
4.27,-52.56,-3.38,0.22,0.00,,WEST3
102.66,44.74,6.52,1.02,9.46,,CLSC4
23.45,39.51,20.12,4.24,1.50,,BPAC3
22.55,23.13,8.27,1.51,8.98,,CEBR3
2.92,-49.66,-2.86,0.28,0.00,,RNEW11
14.45,-49.55,-62.99,0.71,0.00,,CRPG5
4.70,-58.95,4.56,1.31,0.00,,MGEL4
22.04,1.00,9.09,1.81,3.27,,OFSA3
36.91,-2.28,4.37,1.14,4.99,,CEEB3
8.50,8.97,22.34,1.40,1.13,,ALPA3
2.64,-51.11,-1.35,0.29,0.00,,CTSA4
26.24,7.25,4.47,0.56,12.37,,CGRA3
52.49,18.94,7.47,2.11,15.01,,UNIP3
28.39,27.03,3.49,0.63,10.52,,BGIP4
28.80,-29.37,15.94,0.84,5.37,,EMAE4
3.65,-12.05,0.08,-0.19,0.00,,NEXP3
86.97,11.99,16.98,3.48,1.42,,BAUH4
127.99,15.53,10.59,9.89,3.45,,CGAS5
30.28,-5.79,6.14,0.97,7.83,,ISAE3
15.99,60.01,5.51,0.86,8.49,,BALM4
3.14,-43.83,-7.12,-0.45,0.00,,MAPT4
32.10,98.76,15.72,-0.76,0.00,,MNPR3
24.03,48.76,8.81,1.61,8.86,,CEBR6
34.50,65.70,12.43,1.85,20.33,,GEPA4
2.08,-33.76,-0.65,0.47,0.00,,RDNI3
6.42,-0.85,9.67,3.10,10.33,,REDE3
8.45,-2.77,5.59,0.91,6.36,,DEXP4
37.00,-22.26,17.88,0.77,3.91,,PEAB4
2.99,-72.00,-1.53,0.33,0.00,,CTSA3
45.00,19.26,9.04,3.74,10.51,,EKTR3
4.69,-50.11,24.42,0.37,0.00,,RPAD3
17.99,-46.33,-78.42,0.89,0.00,,CRPG3
7.99,-38.54,-1.15,-0.15,0.00,,CEED3
3.68,50.82,0.83,-0.83,0.00,,HOOT4
13.70,-0.03,3.55,0.93,4.38,,EALT3
120.04,-65.23,-18.12,1.48,41.82,,MOAR3
1.15,-2.54,15.74,-0.27,0.00,,HAGA4
19.00,17.78,6.80,0.65,3.52,,EUCA3
9.10,4.99,11.34,0.83,2.92,,PTNT3
40.49,-0.16,8.30,0.76,4.94,,MTSA4
193.95,296.91,13.49,1.74,2.10,,TKNO3
124.07,11.46,10.26,9.58,3.24,,CGAS3
58.40,29.10,8.31,2.35,14.96,,UNIP5
1.99,-50.13,0.15,-0.04,0.00,,RSID3
1.98,-18.52,27.10,-0.46,0.00,,HAGA3
24.50,-15.04,5.52,1.01,4.28,,MRSA5B
12.75,-47.01,1.79,0.42,0.00,,CEDO4
54.98,17.14,5.67,1.89,11.41,,SOND5
21.00,-37.49,6.73,0.95,6.59,,WLMM4
17.50,29.63,-21.70,1.16,0.00,,MNDL3
12.63,4.40,12.38,1.47,6.46,,CPLE5
0.96,-66.43,540.85,300.23,0.00,,PPLA11
412.00,44.20,12.44,0.91,8.04,,BMKS3
31.95,-8.71,2.37,1.12,0.00,,AHEB3
11.33,-17.50,14.68,1.19,4.02,,FESA3
35.01,75.05,1.81,11.71,0.00,,CTKA4
165.01,112.99,11.48,1.48,4.27,,TKNO4
29.10,-9.29,8.23,0.40,20.27,,HBTS5
43.73,66.57,12.04,1.33,16.42,,PATI3
8.40,-16.00,-0.50,-0.06,0.00,,BDLL4
52.90,12.60,5.46,1.82,11.86,,SOND6
4.21,103.38,-1.31,-0.06,0.00,,ESTR4
21.00,-19.54,2.95,0.69,0.00,,CEDO3
5.01,-34.08,-0.38,-0.10,0.00,,PLAS3
3.93,-4.81,-1.415.65,0.43,0.29,,DOHL4
10.56,13.55,0.92,1.10,0.00,,MWET4
7.23,6.99,20.60,1.90,5.94,,AFLT3
34.66,43.17,9.55,1.05,9.39,,PATI4
229.99,36.09,141.26,4.11,0.00,,FRIO3
29.31,30.82,6.33,1.19,9.35,,EQMA3B
3.64,-73.15,2.07,0.48,6.38,,LUXM4
3.54,-37.35,-0.24,-0.02,0.00,,SNSY5
5.70,-12.98,1.15,-0.30,0.00,,NORD3
3.37,-70.70,-0.02,0.00,0.00,,GSHP3
13.58,44.01,5.01,0.41,3.10,,CBEE3
7.50,-44.44,-1.03,-1.57,0.00,,BRKM6
7.10,-3.29,8.65,3.36,9.28,,EQPA6
53.00,-33.01,11.35,2.79,8.76,,ENMT4
16.80,5.00,9.06,0.57,8.33,,BMIN4
16.00,-46.04,-69.75,0.79,0.00,,CRPG6
20.60,90.52,7.10,1.11,6.46,,BALM3
110.00,11.16,3.51,0.64,8.83,,BNBR3
2.90,-57.73,-37.36,28.32,0.00,,DTCY3
36.80,-1.64,4.36,1.14,5.01,,CEEB5
27.90,-12.56,6.28,1.15,3.41,,MRSA3B
38.79,-7.94,18.74,0.81,3.49,,PEAB3
15.98,6.86,7.04,0.60,8.57,,BRSR5
5.70,-,-94.82,124.07,0.00,,PSVM11
35.00,6.38,6.69,1.77,3.09,,BMEB3
25.00,-7.11,5.63,1.03,4.19,,MRSA6B
6.46,-14.00,7.87,3.06,10.20,,EQPA5
35.59,79.54,12.82,1.91,19.71,,GEPA3
99.10,50.26,6.29,0.99,8.41,,CLSC3
36.00,15.33,11.06,0.82,4.22,,COCE3
