Cotação,DY,P/VP,Liquidez Diária,Liquidez Unidade,VARIAÇÃO,Papel,Razão Social,CNPJ,PÚBLICO-ALVO,MANDATO,SEGMENTO,TIPO DE FUNDO,PRAZO DE DURAÇÃO,TIPO DE GESTÃO,TAXA DE ADMINISTRAÇÃO,VACÂNCIA,NUMERO DE COTISTAS,COTAS EMITIDAS,VAL. PATRIMONIAL P/ COTA,VALOR PATRIMONIAL,ÚLTIMO RENDIMENTO,Valor Patrimonial Unidade
98.00,6.48,0.76,422.22,K,4.61,BLCA11,BLUEMACAW CATUAÍ TRIPLE A FUNDO DE INVESTIMENTO IMOBILIÁRIO,41076748/0001-55,Geral,Híbridos,Lajes Corporativas,Fundo misto,Indeterminado,Ativa,1.15,0.00,461,1599989,128.42,205.47,0.85,Milhões
5.28,0.38,0.25,1.09,K,-34.73,CTXT11,FUNDO DE INVESTIMENTO IMOBILIÁRIO CENTRO TÊXTIL INTERNACIONAL,00762723/0001-28,Geral,Desenvolvimento para renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Passiva,0.265,100.00,2260,4659595,21.38,99.61,0.02,Milhões
81.59,19.77,0.86,3.47,M,-9.45,CACR11,CARTESIA RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,32065364/0001-46,Geral,Híbridos,Híbrido,Fundo de papel,Indeterminado,Ativa,1.00,0.00,24418,4836313,95.17,460.27,1.35,Milhões
23.00,4.35,0.34,5.30,K,-14.24,CBOP11,CASTELLO BRANCO OFFICE PARK FUNDO DE INVESTIMENTO IMOBILIÁRIO,17144039/0001-85,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Passiva,105,41.60,2228,1414989,67.55,95.58,0.10,Milhões
1.24,6.60,0.16,136.69,K,-11.43,CNES11,FUNDO DE INVESTIMENTO IMOBILIÁRIO - CENESP,13551286/0001-45,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,0.30,59.40,90031,34134814,7.57,258.30,0.01,Milhões
650.00,23.65,0.66,225.20,K,20.55,CFII11,CF3 FUNDO DE INVESTIMENTO IMOBILIÁRIO,41325993/0001-59,Investidor Qualificado,Desenvolvimento para venda,Híbrido,Fundo de desenvolvimento,Determinado,Ativa,,0.00,107,126308,986.35,124.60,3.85,Milhões
320.00,16.69,1.03,300.74,K,31.95,CFHI11,CF2 FUNDO DE INVESTIMENTO IMOBILIÁRIO,34508923/0001-70,Investidor Qualificado,Híbridos,Outros,Fundo de desenvolvimento,Indeterminado,Ativa,1,0.00,96,94589,310.27,29.35,25.80,Milhões
61.22,3.17,0.84,2.21,M,1.31,CJCT11,CIDADE JARDIM CONTINENTAL TOWER FUNDO DE INVESTIMENTO IMOBILIÁRIO,10347985/0001-80,Investidor Qualificado,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Passiva,0.70,31.80,873,3139989,72.94,229.04,0.20,Milhões
88.06,14.04,0.91,620.39,K,6.82,CLIN11,CLAVE ÍNDICES DE PREÇOS,49005348/0001-60,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,,0.00,12385,4346752,96.91,421.24,1.00,Milhões
4.55,0.66,0.46,6.23,K,8.33,DAYM11,DAYCOVAL REAL ESTATE MULTIESTRATÉGIA FII RL,38293921/0001-62,fiiGENERAL,Híbridos,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,,9.60,1,17100927,9.89,169.09,0.03,Milhões
