Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Preço do m2,Aluguel por m2,Cap Rate,Vacância Média
FISC11,Lajes Corporativas,64.0,8.16,9.07,0.56,108800000,4615,4,8634.31,90019.0,10.43,0.0
FISD11,Títulos e Val. Mob.,203.32,-21.06,0.0,3.41,218079000,0,1,000,0.0,0.0,0.0
FIXX11,Títulos e Val. Mob.,100.42,6.44,0.0,1.66,376496000,34219,0,000,0.0,0.0,0.0
FLCR11,Títulos e Val. Mob.,95.73,15.15,14.74,1.03,71974000,63253,0,000,0.0,0.0,0.0
FLFL11,Híbrido,100.0,4.46,0.0,0.72,345426000,0,1,31030.10,2532.49,8.16,10.0
FLMA11,Híbrido,130.5,10.03,9.79,0.59,180177000,119252,2,15563.80,1930.98,12.41,0.0
FLRP11,Shoppings,20.75,8.18,8.46,1.02,153550000,19100,1,2976.34,26649.0,8.95,1.21
FMOF11,Lajes Corporativas,71.0,2.96,4.49,0.61,36068600,3643,2,2136.98,17271.0,8.08,0.0
FPAB11,Lajes Corporativas,199.01,6.82,7.35,0.56,149258000,618237,2,4077.40,38654.0,9.48,19.0
FPNG11,Lajes Corporativas,343.0,1.36,1.39,1.62,919744000,990,8,100056.00,1604.83,1.6,1.92
FRBR11,Títulos e Val. Mob.,103.71,9.23,0.0,1.08,1324330000,0,0,000,0.0,0.0,0.0
FTCA11,Títulos e Val. Mob.,8.33,19.04,15.52,0.78,37151400,74089,0,000,0.0,0.0,0.0
FTCE11,Híbrido,2841.75,-0.3,2.88,1.0,3606230000,25834,79,2053.40,4775.0,2.33,0.01
FVBI11,Lajes Corporativas,159.71,0.0,0.0,0.0,0,0,1,000,63695.0,0.0,0.0
FVPQ11,Shoppings,71.43,8.83,8.09,0.41,200015000,116782,1,3483.58,78757.0,22.61,12.4
FYTO11,Títulos e Val. Mob.,8.28,14.3,4.97,0.85,126530000,171559,0,000,0.0,0.0,0.0
FZDA11,Outros,118.31,0.74,3.35,0.65,183380000,1292,6,210,3.0,1.62,0.0
FZDB11,Outros,131.14,2.98,3.11,0.73,472104000,9,20,337,12.0,3.67,0.0
GALG11,Híbrido,9.08,7.99,0.0,0.98,1338920000,0,4,32763,2764.0,8.44,0.0
GAME11,,8.52,26.95,12.88,0.91,184864000,99366,0,000,0.0,0.0,0.0
GARE11,Híbrido,8.9,7.97,11.53,0.99,1312380000,5885260,4,19824,2224.0,11.22,0.0
GCFF11,Títulos e Val. Mob.,69.3,12.04,0.0,0.89,24981100,0,0,000,0.0,0.0,0.0
GCOI11,Híbrido,98.9,-3.35,0.0,1.02,11175700,2072,5,6045.18,0.0,0.0,0.0
GCRA11,Títulos e Val. Mob.,50.55,14.37,14.99,0.59,88506200,103100,0,000,0.0,0.0,0.0
GCRI11,Títulos e Val. Mob.,66.99,13.91,15.3,0.74,97394000,149687,1,1167.85,0.0,0.0,0.0
GESE11B,Outros,1520.0,11.39,0.0,1.36,79040000,0,1,000,72537.0,0.0,0.0
GFDL11,Logística,104.61,0.0,0.15,1.11,15848400,6512,0,000,0.0,0.0,0.0
GGRC11,Logística,9.86,8.32,11.82,0.88,1503210000,4104950,26,2015.03,18569.0,9.22,0.0
GLCR11,Híbrido,99.61,0.0,2.35,0.98,35870600,8033,0,000,0.0,0.0,0.0
GLOG11,Logística,64.9,14.14,8.34,0.6,48675000,40165,1,67757,12612.0,18.61,0.0
GLPF11,Logística,104.76,1.44,4.11,0.99,157664000,77112,0,000,0.0,0.0,0.0
