Cotação;DY;P/VP;Liquidez Diária;Liquidez Unidade;VARIAÇÃO;Papel
29,00;0,00;0,51;449,84;K;-2,98;HOFC11
97,51;12,17;1,09;326,18;K;8,37;SEED11
89,71;7,39;0,97;2,76;K;8,10;HPDP11
8,45;12,20;0,97;218,12;K;11,04;HREC11
5,89;11,51;0,81;1,32;M;-4,07;HFOF11
136,90;15,35;0,95;414,62;K;-18,70;HTMX11
69,49;16,25;0,63;5,42;K;-17,09;HGIC11
78,29;14,31;0,89;340,01;K;8,60;HSAF11
78,72;10,40;0,71;786,40;K;2,30;HSLG11
81,63;10,32;0,78;2,62;M;-4,70;HSML11
96,05;11,35;1,08;37,39;K;7,26;HSRE11
7,86;15,14;0,82;363,66;K;-3,91;GRUL11
71,80;12,90;0,72;142,48;K;-2,83;INLG11
148,01;1,34;0,90;8,56;K;-4,52;VJFD11
67,43;9,38;0,63;40,05;K;5,54;JFLL11
7,29;14,88;0,82;1,46;M;-13,01;JSAF11
78,77;16,62;0,81;115,30;K;12,56;JPPA11
61,88;9,29;0,61;1,65;M;7,08;JSRE11
8,33;14,32;0,90;354,25;K;-2,57;KCRE11
100,15;14,31;1,02;4,20;M;9,97;KNHY11
86,51;12,60;0,95;7,91;M;2,25;KNIP11
144,75;8,30;0,89;5,43;M;3,57;KNRI11
8,63;12,93;0,99;4,78;M;6,15;KNSC11
560,00;3,34;1,23;1,24;M;21,41;LPLP11
105,00;12,73;1,03;11,12;M;13,61;KNCR11
80,54;0,00;1,00;3,13;K;5,28;LRDI11
92,40;14,51;0,68;396,86;K;0,76;LASC11
8,38;17,98;0,84;819,84;K;-4,56;LIFE11
2,10;0,00;0,04;79,01;K;-11,76;LFTT11
8,68;14,80;0,94;1,07;M;10,15;MANA11
10,49;5,36;0,76;1,06;M;5,01;MCLO11
8,67;14,65;0,90;5,20;M;8,38;MCRE11
65,74;3,21;1,89;155,64;K;-37,08;MCEM11
9,52;12,08;1,01;9,76;M;7,69;MXRF11
16,75;0,00;0,61;34,28;K;-25,22;MGHT11
69,19;13,78;0,81;41,00;K;-12,07;NAVT11
8,41;12,96;0,86;12,36;K;-0,12;APTO11
95,97;1,20;1,15;1,27;M;23,07;NEWU11
102,39;11,07;0,80;292,09;K;0,56;NEWL11
94,50;8,30;1,09;18,97;K;3,43;OCRE11
10,19;6,09;0,85;10,41;K;1,70;ONDV11
1.040,00;0,33;0,98;997,65;K;-11,03;PNDL11
77,11;15,79;0,77;450,88;K;13,51;OUJP11
39,10;3,93;0,94;36,40;K;12,39;PATC11
55,30;10,11;1,00;2,55;K;3,67;PQAG11
58,70;11,81;0,61;363,06;K;10,99;PATL11
137,00;97,74;0,97;129,44;K;-0,53;HGPO11
63,65;10,05;0,50;249,10;K;1,58;VCRR11
91,86;13,28;0,95;2,64;M;1,40;HGCR11
123,52;10,12;0,97;2,94;M;8,63;HGRU11
39,00;19,60;0,64;1,35;K;71,73;PEMA11
7,81;13,95;0,81;1,12;M;1,43;PORD11
78,20;13,04;0,86;612,26;K;12,63;PLCR11
31,03;0,00;0,22;1,69;K;-49,26;PRSV11
11,18;14,53;0,76;1,89;K;19,32;PLRI11
135,08;10,17;0,83;21,19;K;-13,03;RZZR11
1.009,99;11,75;0,96;67,18;K;17,03;RSPD11
63,81;12,48;0,92;223,46;K;4,01;RFOF11
0,20;247,07;0,07;1,04;K;0,00;PRSN11
151,28;11,13;0,76;187,91;K;1,80;FIIP11
44,86;13,73;0,69;2,16;K;-25,12;RBLG11
81,59;12,59;0,90;103,11;K;22,21;RRCI11
333,60;0,00;0,88;4,91;K;-52,68;RBTS11
6,61;12,68;0,76;2,28;M;0,30;RBRF11
98,00;28,42;0,99;14,41;K;46,44;RCFF11
70,00;8,71;0,66;29,67;K;1,42;RMAI11
101,43;12,57;0,99;280,00;K;5,41;RINV11
7,80;12,87;0,81;601,27;K;-2,26;RBRX11
82,35;15,05;0,83;448,09;K;3,85;RPRI11
64,93;15,12;0,75;243,98;K;-9,47;RBHG11
210,00;4,69;0,31;23,74;K;-42,79;RBOP11
125,59;8,85;0,64;1,01;M;4,03;RCRB11
8,85;7,99;0,89;2,93;K;8,19;RECM11
54,48;2,73;0,57;27,73;K;25,62;RBRS11
47,71;12,85;0,80;267,32;K;-10,27;RBFF11
8,95;12,32;0,84;1,56;M;-3,87;RBVA11
50,11;8,78;0,60;62,56;K;18,91;RNGO11
76,00;16,35;0,84;351,73;K;-1,48;RBHY11
90,09;13,93;0,89;570,37;K;4,38;RZAT11
8,58;14,42;0,87;169,89;K;8,33;SAPI11
81,00;17,39;0,95;1,14;M;16,77;RZAK11
8,62;13,63;0,89;171,91;K;10,51;SADI11
4,65;5,02;0,60;407,53;K;26,70;SARE11
48,61;14,35;0,52;135,68;K;8,46;SEQR11
2,83;0,00;0,27;2,48;K;7,20;SCPF11
970,00;8,39;0,97;82,07;K;19,01;SHPH11
9,10;0,00;6,34;1,37;K;14,75;SJAU11
50,00;9,66;0,75;4,40;K;-8,17;WPLZ11
85,12;9,83;0,99;121,55;K;-2,13;PMFO11
33,09;15,33;0,56;55,47;K;-5,29;SPTW11
8,54;13,98;0,91;445,14;K;4,79;SPXS11
1.051,35;0,00;1,13;548,95;K;0,00;SOLR11
8,57;14,00;0,99;1,29;M;7,39;SNEL11
69,76;12,86;0,85;378,40;K;-13,27;SNFF11
2,02;114,64;5,59;122,87;K;-7,76;SNLG11
9,51;13,50;1,02;44,64;K;12,54;SNME11
82,78;14,52;0,85;513,00;K;-1,53;SNCI11
9,85;8,48;1,01;74,17;K;7,18;TELM11
78,75;13,30;0,81;842,67;K;0,86;TEPP11
59,50;12,53;0,69;660,16;K;-30,90;TRBL11
90,71;13,43;0,87;967,14;K;1,51;TVRI11
73,82;10,85;0,80;3,05;K;2,90;VOTS11
3,15;3,89;0,09;16,99;K;-53,61;TORD11
179,00;13,44;1,79;1,65;K;48,29;TRXB11
97,07;13,71;0,96;8,59;M;5,08;TRXF11
13,00;2,19;0,33;61,16;K;-27,01;VPPR11
86,49;10,08;0,92;76,03;K;-4,22;VVRI11
9,96;12,25;0,96;154,07;K;13,31;VVCR11
79,70;14,70;0,90;1,48;M;4,88;VGIP11
9,62;14,25;0,99;4,53;M;10,07;VGIR11
48,96;6,69;0,80;801,48;K;29,70;PLAG11
77,43;15,26;0,82;1,89;M;-2,31;VCJR11
63,50;13,67;0,85;723,84;K;-1,20;RVBI11
7,63;14,17;0,90;2,59;M;-0,39;VGHF11
8,60;18,82;0,81;400,31;K;18,95;VGRI11
66,90;8,89;0,43;50,10;K;5,32;FVPQ11
2,65;15,45;0,26;122,07;K;-16,40;VSLH11
87,99;6,80;0,84;103,11;K;18,78;BLMO11
7,05;15,21;0,76;321,67;K;-2,08;VCRI11
5,42;14,81;0,62;229,15;K;-2,69;VIUR11
7,39;5,68;0,93;2,18;M;7,73;VIFI11
83,31;9,52;0,74;1,44;M;6,60;VILG11
4,94;12,85;0,48;558,82;K;-5,54;VINO11
103,92;9,27;0,84;3,31;M;2,68;VISC11
5,50;21,80;0,93;36,89;K;64,67;WSEC11
8,57;14,50;0,89;183,10;K;2,39;WHGR11
8,03;0,00;0,28;30,00;K;4,97;XPCM11
10,10;8,07;1,08;47,52;K;-9,01;ZAGH11
69,32;12,52;0,69;245,98;K;-0,66;XPIN11
86,73;15,92;0,63;47,17;K;-6,40;ZAVI11
104,00;10,63;0,90;9,25;M;3,38;XPML11
5,93;13,15;0,77;433,54;K;-10,15;XPSF11
97,29;9,95;0,91;2,92;M;5,24;XPLG11
62,91;13,83;0,92;87,55;K;-4,30;ITIP11
1.241,00;8,33;0,99;8,00;K;12,57;HUSI11
70,01;10,37;0,60;41,44;K;6,79;INRD11
507,00;0,00;0,29;27,99;K;-32,31;ZIFI11
67,79;10,89;0,91;131,03;K;0,03;ITIT11
65,85;15,32;0,77;52,12;K;3,36;IRIM11
79,20;15,00;0,86;398,90;K;-1,75;TMPS11
100,00;7,65;0,89;22,79;K;-0,81;JASC11
90,08;15,25;0,90;736,51;K;7,85;ICRI11
75,08;12,79;0,82;723,05;K;-6,84;ITRI11
148,00;70,49;1,19;12,23;K;1.262,80;JPPC11
7,98;14,18;0,86;358,37;K;-4,66;JSCR11
6,72;12,32;0,85;530,14;K;-6,01;KISU11
60,43;18,46;0,71;417,33;K;-10,07;KIVO11
158,00;2,93;0,84;4,06;M;7,72;JCCJ11
89,96;12,50;0,91;3,59;M;6,01;KNHF11
0,33;1,42;0,48;1,89;K;200,00;KNRE11
66,50;22,59;0,63;2,83;M;-22,82;KORE11
103,95;14,26;1,02;3,96;M;13,62;KNUQ11
8,34;14,90;0,84;2,01;K;9,31;NCRI11
79,42;16,94;0,77;794,77;K;-9,88;MFII11
14,88;1,06;1,93;62,38;K;-34,36;JBFO11
7,56;15,16;0,82;280,98;K;-5,97;PMIS11
6,66;16,22;0,79;149,79;K;-14,94;ARRI11
