P/L,P/RECEITA_(PSR),P/VP,Dividend_Yield,PAYOUT,MARGEM_LÍQUIDA,MARGEM_BRUTA,MARGEM_EBIT,MARGEM_EBITDA,EV/EBIT,P/EBIT,P/ATIVO,P/CAP.GIRO,P/ATIVO_CIRC_LIQ,VPA,LPA,GIRO_ATIVOS,ROE,ROIC,ROA,PATRIMÔNIO_/_ATIVOS,PASSIVOS_/_ATIVOS,LIQUIDEZ_CORRENTE,CAGR_RECEITAS_5_ANOS,CAGR_LUCROS_5_ANOS,Papel,EV/EBITDA,P/EBITDA,DÍVIDA_LÍQUIDA_/_PATRIMÔNIO,DÍVIDA_LÍQUIDA_/_EBITDA,DÍVIDA_LÍQUIDA_/_EBIT,DÍVIDA_BRUTA_/_PATRIMÔNIO
3.34,2.43,1.42,0.0,0.0,72.61,43.99,40.3,62.21,8.87,6.02,0.69,6.64,-0.81,29.68,12.64,0.28,42.58,0.78,20.68,0.49,0.51,3.19,52.3,90.39,PRIO3,5.74,3.9,0.67,1.84,2.85,0.83
11.99,1.53,1.34,6.98,79.47,12.73,22.1,19.07,25.37,10.66,8.0,0.59,6.7,-0.8,8.81,0.99,0.38,11.2,8.38,4.86,0.44,0.56,1.48,4.22,-5.6,CPLE6,8.02,6.01,0.48,2.17,2.89,0.72
12.1,3.36,2.47,1.17,26.93,27.8,20.14,30.51,0.0,14.07,11.02,0.3,-20.92,-2.21,15.59,3.19,0.09,20.45,22.18,2.45,0.12,0.88,0.98,27.22,30.1,BPAC11,,,,,,
-0.89,0.09,0.61,0.0,0.0,-10.1,27.63,-1.47,4.68,-14.68,-6.1,0.09,-12.75,-0.12,5.64,-3.91,0.98,-69.32,-6.37,-9.87,0.14,0.86,0.98,-18.03,,PCAR3,4.6,1.91,0.86,2.69,-8.58,1.65
19.9,0.99,1.45,5.0,93.37,4.97,23.5,15.54,31.82,12.11,6.36,0.47,7.26,-0.6,24.42,1.78,0.48,7.28,8.59,2.37,0.33,0.67,1.43,30.31,12.9,RENT3,5.92,3.11,1.31,2.81,5.75,1.62
60.72,0.98,0.84,0.0,0.0,1.61,27.19,27.69,43.27,8.54,3.52,0.22,4.52,-0.26,24.02,0.33,0.22,1.38,9.09,0.35,0.26,2.96,1.4,115.95,,BRAV3,5.46,2.25,1.19,3.21,5.01,1.59
20.04,0.59,3.63,2.93,51.07,2.95,29.58,5.59,9.74,11.8,10.59,1.04,7.01,-2.47,3.78,0.68,1.76,18.13,21.43,5.23,0.29,0.71,1.34,14.69,18.93,RADL3,6.77,6.08,0.42,0.7,1.21,0.49
32.88,4.72,5.38,1.72,56.47,14.36,69.33,17.21,23.39,27.11,27.44,2.97,14.65,-4.48,8.01,1.31,0.63,16.37,13.54,9.29,0.55,0.41,2.52,16.08,22.29,TOTS3,19.94,20.19,-0.07,-0.25,-0.33,0.34
-5.26,1.94,2.92,0.0,0.0,-36.82,11.6,-12.92,13.83,-34.58,-14.98,0.44,20.07,-0.59,1.25,-0.69,0.23,-55.55,-5.65,-8.42,0.15,0.85,1.09,-0.4,,HBSA3,32.31,14.0,3.82,18.31,-19.59,4.24
17.11,1.73,1.47,3.27,126.35,10.12,44.08,15.54,41.26,12.35,11.14,0.79,-213.87,-1.0,21.1,1.81,0.46,8.57,9.75,4.61,0.54,0.46,0.98,5.98,4.08,VIVT3,4.65,4.2,0.16,0.46,1.21,0.3
65.06,1.51,0.77,1.92,123.97,2.33,47.56,8.74,18.27,14.09,17.33,0.53,10.91,-0.79,4.86,0.06,0.35,1.19,3.51,0.81,0.68,0.32,1.17,23.42,10.51,LWSA3,6.74,8.29,-0.14,-1.55,-3.24,0.03
8.44,0.14,0.48,3.66,30.25,1.64,12.8,8.95,13.76,2.79,1.54,0.11,0.47,-0.18,19.58,1.12,0.8,5.74,15.14,3.87,0.23,0.34,2.64,9.25,6.79,GOAU4,1.82,1.01,0.39,0.81,1.25,0.75
7.6,0.65,0.84,8.55,44.26,8.49,32.69,8.46,0.0,8.26,7.63,0.07,0.46,-0.41,16.1,1.77,0.11,10.99,10.74,0.93,0.08,0.92,1.22,22.53,2.82,BBDC3,,,,,,
-0.25,0.01,0.14,0.0,0.0,-4.28,30.82,2.92,6.74,10.87,0.36,0.01,-0.06,-0.02,21.97,-12.54,0.85,-57.06,1.65,-3.63,0.06,0.94,0.74,-0.74,,BHIA3,4.7,0.16,4.09,4.55,10.5,4.66
-0.02,0.04,-0.27,0.0,0.0,-165.92,29.7,-149.16,-140.4,0.54,-0.03,0.03,-0.15,-0.05,-0.19,-2.14,0.71,-1.157.09,163.97,-117.3,-0.1,1.1,0.73,,,IFCM3,0.57,-0.03,5.89,0.6,0.57,5.4
-1.81,3.15,-1.77,0.0,0.0,-174.27,5.26,-141.3,-129.81,-2.78,-2.23,0.74,-4.75,-1.1,-0.61,-0.6,0.23,-98.07,79.51,-43.63,-0.42,1.42,0.68,-17.49,,RCSL4,-3.02,-2.43,0.0,0.0,0.0,0.0
23.05,1.36,2.78,0.38,2.35,5.91,17.79,10.93,14.64,13.23,12.46,0.76,5.83,-1.63,24.73,2.98,0.56,12.07,12.03,3.33,0.27,0.7,1.32,13.74,,EMBR3,9.88,9.31,0.17,0.57,0.77,0.6
12.72,1.15,2.66,6.32,80.18,9.0,36.72,22.03,32.54,11.91,5.2,0.4,3.61,-0.52,6.98,1.46,0.35,20.94,9.02,3.54,0.15,0.8,1.96,10.93,,KLBN11,8.06,3.52,3.44,4.55,6.72,4.19
-2.72,91.05,0.74,0.0,0.0,-3.349.72,23.52,-4.962.33,-5.145.59,-1.83,-1.83,0.6,-13.19,-0.6,0.77,-0.21,0.01,-27.29,-53.74,-22.17,0.81,0.19,0.02,,,AZTE3,-1.77,-1.77,0.0,0.0,0.0,0.0
7.05,0.18,0.72,3.71,42.37,2.54,26.63,9.86,12.85,7.32,1.82,0.12,0.44,-0.27,9.43,0.97,0.69,10.27,8.31,3.2,0.17,0.76,2.06,18.57,-7.02,RAPT4,5.62,1.39,2.2,4.22,5.51,2.93
7.16,0.13,7.17,12.27,86.19,1.8,13.08,4.04,8.7,10.03,3.19,0.15,2.24,-0.24,3.28,3.29,1.16,100.15,5.54,3.06,0.02,0.85,1.22,18.35,-1.8,MRFG3,4.66,1.48,15.39,3.18,6.84,22.57
7.74,,5.74,10.84,85.86,0.0,0.0,0.0,0.0,6.24,6.91,3.61,14.33,-6.24,5.83,4.32,0.0,74.13,68.13,46.67,0.63,0.37,2.5,-100.0,17.56,BBSE3,,,-0.55,,-0.67,0.0
9.52,0.92,1.16,15.55,153.59,9.7,49.67,27.45,35.26,5.63,3.36,0.4,-9.35,-0.45,30.71,3.73,0.43,12.16,14.47,4.23,0.34,0.65,0.72,12.77,50.67,PETR3,4.39,2.62,0.82,1.86,2.4,0.94
1.264.90,1.61,1.35,0.0,0.0,0.13,37.27,25.59,42.9,15.41,6.27,0.36,15.59,-0.43,8.74,0.01,0.22,0.11,5.74,0.03,0.26,0.73,1.16,33.18,-34.81,SRNA3,9.19,3.74,1.97,5.45,9.13,2.2
