Cotação,VARIAÇÃO_(12M),P/L,P/VP,DY,Papel,P/RECEITA_(PSR),PAYOUT,MARGEM_LÍQUIDA,MARGEM_BRUTA,MARGEM_EBIT,MARGEM_EBITDA,EV/EBITDA,EV/EBIT,P/EBITDA,P/EBIT,P/ATIVO,P/CAP.GIRO,P/ATIVO_CIRC_LIQ,VPA,LPA,GIRO_ATIVOS,ROE,ROIC,ROA,DÍVIDA_LÍQUIDA_/_PATRIMÔNIO,DÍVIDA_LÍQUIDA_/_EBITDA,DÍVIDA_LÍQUIDA_/_EBIT,DÍVIDA_BRUTA_/_PATRIMÔNIO,PATRIMÔNIO_/_ATIVOS,PASSIVOS_/_ATIVOS,LIQUIDEZ_CORRENTE,CAGR_RECEITAS_5_ANOS,CAGR_LUCROS_5_ANOS,Valor_de_mercado,Valor_de_firma,Patrimônio_Líquido,Nº_total_de_papeis,Ativos,Ativo_Circulante,Dívida_Bruta,Dívida_Líquida,Disponibilidade,Tag_Along,Segmento_de_Listagem,Free_Float,Setor,Segmento,Ticker_Img
"16,26","-2,63","10,09","0,60","3,99",GGBR4,"0,48","39,71","4,73","12,41","8,66","13,69","4,32","6,83","3,49","5,51","0,38","1,51","-0,62","27,08","1,61","0,80","5,95","6,70","3,80","0,17","0,96","1,52","0,33","0,63","0,37","2,89","9,54","6,69",31.785.995.000,40.902.504.000,54.922.968.000,2.028.194.000,86.854.070.000,33.306.852.000,18.090.359.000,9.116.509.000,8.973.850.000,"100,00",Nível_1,"58,69",Materiais_Básicos,Siderurgia,https://investidor10.com.br/storage/companies/66cc914eb1231.jpg
"10,24","12,99","4,18","1,05","18,51",CMIG4,"0,72","76,79","17,25","19,80","23,79","27,26","3,96","4,54","2,65","3,03","0,46","33,75","-0,61","9,75","2,45","0,64","25,09","17,60","10,96","0,38","0,95","1,09","0,55","0,44","0,56","1,06","9,99","19,58",33.264.978.000,43.807.092.000,27.914.455.000,2.861.781.000,63.901.931.000,15.471.501.000,15.242.574.000,10.542.114.000,4.700.460.000,"0,00",Nível_1,"81,34",Utilidade_Pública,Energia_Elétrica,https://investidor10.com.br/storage/companies/66cc977d99912.jpg
"2,33","25,95","-16,03","2,36","0,00",CVCB3,"0,85","0,00","-5,29","94,00","7,12","22,69","4,24","13,50","3,74","11,91","0,33","-4,05","-0,78","0,99","-0,15","0,39","-14,72","7,37","-2,05","0,31","0,50","1,59","1,09","0,14","0,86","0,88","18,23",,1.224.627.000,1.388.100.000,519.227.000,525.591.000,3.732.855.000,2.157.358.000,567.327.000,163.473.000,403.854.000,"100,00",Novo_Mercado,"100,00",Consumo_Cíclico,Viagens_e_Turismo,https://investidor10.com.br/storage/companies/66db003d7bd3c.jpg
"9,75","-16,75","1.760,86","0,77","0,59",AURE3,"1,07","1.030,02","0,06","20,53","18,55","27,59","11,40","16,96","3,86","5,74","0,20","2,97","-0,25","12,62","0,01","0,18","0,04","3,70","0,14","1,51","7,54","11,21","1,97","0,25","0,72","1,45",,,10.241.185.000,30.240.473.000,13.251.475.000,1.050.377.000,52.266.696.000,11.093.981.000,26.161.764.000,19.999.288.000,6.162.476.000,"100,00",Novo_Mercado,"29,18",Utilidade_Pública,Energia_Elétrica,https://investidor10.com.br/storage/companies/66d8d54b7b419.jpg
"6,14","-3,48","8,51","0,85","2,90",MOVI3,"0,16","24,62","1,86","30,15","19,78","35,50","3,85","6,91","0,45","0,80","0,08","-1,98","-0,10","7,20","0,72","0,48","10,02","11,90","0,89","6,50","3,40","6,11","7,66","0,09","0,91","0,87","27,98","19,11",2.224.534.000,19.166.094.000,2.607.676.000,362.302.000,29.211.368.000,7.253.058.000,19.978.755.000,16.941.560.000,3.037.195.000,"100,00",Novo_Mercado,"33,63",Consumo_Cíclico,Aluguel_de_carros,https://investidor10.com.br/storage/companies/676570d95f42e.png
"4,91","-24,11","-2,48","-4,58","0,00",BEEF3,"0,08","0,00","-3,16","20,09","7,02","9,01","5,41","6,95","0,87","1,12","0,07","0,40","-0,17","-1,07","-1,98","0,95","-184,64","9,78","-2,97","-23,95","4,54","5,83","-42,20","-0,02","1,00","1,48","14,43",,2.981.761.000,18.567.098.000,-650.682.000,607.283.000,40.181.432.000,22.847.586.000,27.459.390.000,15.585.337.000,11.874.053.000,"100,00",Novo_Mercado,"42,98",Consumo_não_Cíclico,Carnes_e_Derivados,https://investidor10.com.br/storage/companies/68235f684bf4e.png
"3,87","-4,15","6,07","1,68","6,89",VAMO3,"0,97","42,09","16,00","68,12","59,59","78,52","4,76","6,27","1,24","1,63","0,19","1,53","-0,25","2,30","0,64","0,19","27,69","12,55","1,36","4,78","3,52","4,64","6,58","0,11","0,89","1,86","23,26","11,28",4.183.595.000,16.080.699.000,2.488.245.000,1.081.032.000,22.404.556.000,5.914.815.000,16.379.021.000,11.897.104.000,4.481.917.000,"100,00",Nível_1,"37,63",Bens_Industriais,Material_de_Transporte,https://investidor10.com.br/storage/companies/66db245411a34.jpg
"14,90","-46,61","21,77","3,95","2,97",RADL3,"0,64","51,07","2,95","29,58","5,59","9,74","7,30","12,71","6,60","11,50","1,13","7,62","-2,69","3,78","0,68","1,76","18,13","21,43","5,23","0,42","0,70","1,21","0,49","0,29","0,71","1,34","14,69","18,93",25.598.307.000,28.300.131.000,6.485.912.000,1.718.007.000,22.633.253.000,13.107.724.000,3.172.000.000,2.701.824.000,470.176.000,"100,00",Novo_Mercado,"74,49",Saúde,Medicamentos_e_Outros_Produtos,https://investidor10.com.br/storage/companies/66d8add078b0d.jpg
"16,41","-26,87","-21,31","2,08","4,96",RAIL3,"2,21","-105,26","-10,38","46,27","15,38","34,01","9,31","20,58","6,51","14,38","0,59","5,98","-0,75","7,87","-0,77","0,27","-9,78","4,83","-2,75","0,90","2,80","6,20","1,44","0,28","0,71","1,90","14,58",,30.438.399.000,43.554.855.000,14.598.934.000,1.854.868.000,51.422.656.000,10.724.155.000,20.969.942.000,13.116.456.000,7.853.486.000,"100,00",Novo_Mercado,"100,00",Bens_Industriais,Transporte_Ferroviário,https://investidor10.com.br/storage/companies/66d8ad9dc1a77.jpg
"12,76","2,99","12,38","1,75","2,48",MOTV3,"1,22","30,07","9,89","38,35","29,61","37,07","7,44","9,31","3,30","4,13","0,40","5,33","-0,48","7,28","1,03","0,33","14,16","11,10","3,29","2,20","4,14","5,18","2,65","0,23","0,77","1,88","16,32","89,82",25.775.200.000,58.061.869.000,14.702.536.000,2.020.000.000,64.511.989.000,10.346.826.000,38.965.561.000,32.286.669.000,6.678.892.000,"100,00",Novo_Mercado,"49,27",Bens_Industriais,Exploração_de_Rodovias,https://investidor10.com.br/storage/companies/66d9ae2305446.jpg
