Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Preço do m2,Aluguel por m2,Cap Rate,Vacância Média
BTSI11,Híbrido,111.6,4.81,8.21,0.95,633335000,711,6,1253.01,8105.0,6.47,0.0
BTWR11,Lajes Corporativas,103.22,7.07,6.98,0.9,83532800,0,1,4170.86,44413.0,10.65,8.0
BTYU11,Híbrido,9.75,13.93,16.03,0.95,292500000,5898,1,000,0.0,0.0,0.0
BVAR11,Outros,1392.8,3.48,5.06,1.75,871252000,32,46,8682.48,33877.0,3.9,22.21
CACR11,Híbrido,101.0,14.42,15.69,1.05,488469000,1165050,0,000,0.0,0.0,0.0
CARE11,Híbrido,1.23,-9.13,0.0,0.18,43997000,40134,1,000,0.0,0.0,0.0
CBOP11,Lajes Corporativas,22.29,3.15,4.65,0.33,31540400,36712,1,1934.19,31370.0,16.22,41.6
CCME11,,8.69,10.67,11.08,0.83,589156000,214332,2,4878.67,46245.0,9.48,36.74
CCRF11,Títulos e Val. Mob.,92.5,7.16,0.0,0.95,145401000,0,0,000,0.0,0.0,0.0
CCVA11,Híbrido,100.07,6.23,5.07,1.02,61793200,0,1,2099570.00,163719.17,7.8,2.6
CEOC11,Lajes Corporativas,40.63,13.13,13.2,0.56,73771700,29851,1,4683.89,73592.0,15.71,0.0
CFHI11,Outros,331.7,4.81,6.67,0.66,31378800,31,8,2846.63,0.0,0.0,0.0
CFII11,Híbrido,863.66,4.74,21.34,0.73,109097000,20,8,13392.90,61438.0,4.59,0.0
CJCT11,Lajes Corporativas,62.5,2.26,2.76,0.86,196250000,95707,1,10193.10,57580.0,5.65,36.4
CLIN11,Títulos e Val. Mob.,90.67,12.27,13.33,0.93,394121000,1175150,0,000,0.0,0.0,0.0
CNES11,Lajes Corporativas,1.11,7.97,7.33,0.15,37889700,51167,1,11747,3593.0,30.58,59.4
COPP11,Híbrido,103.0,4.99,0.0,0.94,290462000,0,3,542,25.0,4.63,18.0
CORM11,Híbrido,81.0,4.57,0.0,0.85,87581800,0,3,7193.96,75512.0,10.5,0.0
CPFF11,Títulos e Val. Mob.,69.9,18.07,6.91,1.12,75470800,0,0,000,0.0,0.0,0.0
CPLG11,Logística,11.75,0.31,6.49,1.21,403556000,7584630,1,53984,289.0,0.54,0.0
CPOF11,Híbrido,108.49,3.65,8.05,0.99,481595000,2345500,7,397,28.0,6.94,99.97
CPSH11,Shoppings,9.69,5.83,12.4,0.82,772291000,2418050,7,1030.29,7649.0,7.42,0.0
CPTR11,Títulos e Val. Mob.,7.28,36.8,11.62,0.74,144324000,542167,0,000,0.0,0.0,0.0
CPTS11,Títulos e Val. Mob.,7.34,8.21,12.55,0.83,2411620000,7735900,0,000,0.0,0.0,0.0
CPUR11,Híbrido,10.7,6.85,10.49,1.09,667371000,11189400,11,8584.74,41336.0,4.82,0.51
CRAA11,Títulos e Val. Mob.,94.9,8.51,13.42,0.93,224897000,721941,0,000,0.0,0.0,0.0
CRFF11,Títulos e Val. Mob.,71.87,10.36,10.14,0.88,49593200,8373,0,000,0.0,0.0,0.0
CTXT11,Lajes Corporativas,5.68,-23.0,0.0,0.22,22273700,2201,1,46768,171.0,0.37,100.0
CVBI11,Títulos e Val. Mob.,83.63,13.75,13.69,0.91,920785000,2064240,0,000,0.0,0.0,0.0
CXAG11,Outros,72.99,12.11,12.32,0.63,152594000,120375,32,2607.58,35657.0,13.67,0.0
CXCE11,Lajes Corporativas,38.92,13.93,13.2,0.61,66668000,14587,1,3140.04,48251.0,15.37,0.0
CXCI11,Títulos e Val. Mob.,67.62,13.79,13.19,0.79,139143000,104511,0,000,0.0,0.0,0.0
CXCO11,Lajes Corporativas,58.2,14.19,13.25,0.61,228406000,109474,10,2449.76,40826.0,16.67,0.0
CXRI11,Títulos e Val. Mob.,61.17,11.65,11.47,0.75,96389200,10842,0,000,0.0,0.0,0.0
CXTL11,Logística,213.3,11.89,11.37,0.51,11432200,2145,1,1605.06,34964.0,21.78,0.0
DAMA11,Títulos e Val. Mob.,6.96,11.43,14.11,0.82,38537700,98745,0,000,0.0,0.0,0.0
DAMT11,Shoppings,13.1,0.82,0.0,0.94,232915000,171,2,2174650.00,241259.85,11.09,9.48
DCRA11,Títulos e Val. Mob.,7.4,19.15,15.99,0.77,49867900,74031,0,000,0.0,0.0,0.0
DEVA11,Títulos e Val. Mob.,33.34,15.98,15.58,0.34,468257000,603531,0,000,0.0,0.0,0.0
DMAC11,Residencial,13.0,-758.5,0.0,2.61,2029400,0,0,000,0.0,0.0,0.0
DOMC11,Híbrido,439.0,0.78,0.0,4.13,1072830000,0,2,25593.60,36483.0,1.43,13.3
DOVL11,Lajes Corporativas,650.35,13.17,13.42,0.99,43187100,15,2,2453.32,57492.0,23.43,36.0
DPRO11,Híbrido,6.12,11.12,10.8,0.67,30619700,1019,1,1860.07,25045.0,13.46,0.0
DRIT11,Lajes Corporativas,8.68,69.7,11.02,0.6,4021240,719,5,40014,47483.0,118.67,0.0
DVFF11,Títulos e Val. Mob.,6.2,10.19,13.08,0.74,68258900,10571,0,000,0.0,0.0,0.0
EDFO11,Lajes Corporativas,116.0,15.98,14.17,0.55,27376000,9468,1,76620.60,14616.69,19.08,100.05
EDGA11,Lajes Corporativas,16.54,2.67,5.47,0.35,63051400,7805,1,2510.42,27558.0,10.98,23.55
EGAF11,Títulos e Val. Mob.,93.97,13.47,15.4,0.95,294306000,796032,0,000,0.0,0.0,0.0
ELDO11B,Shoppings,1104.31,10.62,4.12,0.66,869375000,0,1,11451.90,1428.75,12.48,0.36
EQIN11,Títulos e Val. Mob.,7.29,14.82,10.96,0.82,122098000,0,0,000,0.0,0.0,0.0
EQIR11,Títulos e Val. Mob.,7.86,12.67,14.63,0.82,85747200,160551,0,000,0.0,0.0,0.0
ERCR11,Híbrido,76000.0,0.01,0.0,4.16,180576000,0,0,000,0.0,0.0,0.0
ERPA11,Lajes Corporativas,128.0,5.72,8.02,0.8,64118000,93600,1,18961.50,1255.52,6.62,0.0
EURO11,Logística,240.0,9.9,9.44,0.73,92144600,32388,7,77692,8504.0,10.95,0.0
EVBI11,Híbrido,9.5,4.93,5.59,0.97,546231000,0,11,6565.94,34308.0,5.23,0.49
EXES11,Títulos e Val. Mob.,9.4,12.65,14.98,0.97,66791200,8870,0,000,0.0,0.0,0.0
FAED11,Outros,145.35,13.17,13.14,0.65,100637000,56105,4,2182.07,30578.0,14.01,0.0
FAMB11,Lajes Corporativas,755.26,166.93,50.79,0.41,92548000,44254,1,1536.19,5962.0,3.88,98.02
FATN11,Híbrido,75.95,9.8,11.74,0.77,339750000,1198880,56,22202.40,2055.68,9.26,4.54
FCFL11,Outros,127.96,8.13,8.04,1.04,444534000,387935,1,14256.70,1206.77,8.46,0.0
FEXC11,Títulos e Val. Mob.,83.5,1.31,0.0,8.44,8310020000,0,0,000,0.0,0.0,0.0
FFCI11,Lajes Corporativas,182.03,3.63,0.0,0.9,671817000,0,9,17089.90,1216.83,7.12,6.49
FGAA11,Híbrido,8.57,14.38,18.43,0.91,386348000,1073610,0,000,0.0,0.0,0.0
FIGS11,Shoppings,45.31,11.76,11.45,0.59,129134000,128071,2,1993.07,24736.0,12.41,7.01
FIIB11,Híbrido,505.52,8.78,9.59,1.06,346281000,156759,11,62582,6151.0,9.83,0.0
FIIP11,Híbrido,168.0,10.54,10.0,0.84,155763000,310886,7,2229.04,26612.0,11.94,0.0
FISC11,Lajes Corporativas,61.24,8.53,9.37,0.54,104108000,1693,4,8261.96,90019.0,10.9,0.0
FISD11,Títulos e Val. Mob.,203.32,-21.06,0.0,3.41,218079000,0,1,000,0.0,0.0,0.0
FIXX11,Títulos e Val. Mob.,98.4,6.57,0.0,1.62,368923000,20528,0,000,0.0,0.0,0.0
FLCR11,Títulos e Val. Mob.,96.4,15.05,14.39,1.03,72477800,49234,0,000,0.0,0.0,0.0
FLFL11,Híbrido,100.0,4.46,0.0,0.72,345426000,0,1,31083.00,2532.49,8.15,10.0
FLMA11,Híbrido,132.5,9.88,9.6,0.6,182939000,91761,2,15803.90,1930.98,12.22,0.0
FLRP11,Shoppings,20.7,8.37,7.77,1.01,150075000,17315,1,2944.69,26649.0,9.05,1.21
FMOF11,Lajes Corporativas,75.83,2.77,4.19,0.65,38522200,2271,2,2284.01,17271.0,7.56,0.0
FPAB11,Lajes Corporativas,214.5,6.33,6.55,0.61,160875000,633563,2,4398.17,38654.0,8.79,19.0
FPNG11,Lajes Corporativas,322.34,1.48,1.48,1.85,841939000,115,8,59050.20,1604.83,2.72,1.92
FRBR11,Títulos e Val. Mob.,103.71,9.23,0.0,1.08,1324330000,0,0,000,0.0,0.0,0.0
FTCA11,Títulos e Val. Mob.,8.01,19.8,15.9,0.75,35724200,75321,0,000,0.0,0.0,0.0
FTCE11,Híbrido,2841.75,-0.3,2.88,0.99,3606230000,461090,79,2012.00,4775.0,2.37,0.01
FVBI11,Lajes Corporativas,159.71,0.0,0.0,0.0,0,0,1,000,63695.0,0.0,0.0
FVPQ11,Shoppings,70.88,8.9,8.13,0.41,198475000,112244,1,3462.53,78757.0,22.75,12.4
FYTO11,Títulos e Val. Mob.,8.39,14.11,3.61,0.86,128211000,132861,0,000,0.0,0.0,0.0
FZDA11,Outros,118.31,0.74,3.35,0.68,183380000,1303,6,208,3.0,1.63,0.0
FZDB11,Outros,131.14,2.98,3.11,0.78,472104000,12,20,336,12.0,3.67,0.0
