Cotação,VARIAÇÃO_(12M),P/L,P/VP,DY,carteira_investidor_10,Papel
"12,28","50,99","6,82","1,39","8,13",,LAVV3
"5,20","-42,17","7,24","0,83","8,20",,JSLG3
"9,34","-5,43","14,42","1,13","3,98",,PNVL3
"6,10","-5,72","-53,12","1,29","0,00",,OPCT3
"3,31","25,83","11,50","0,84","35,48",,MELK3
"1,05","5,21","43,62","0,44","0,16",,ESPA3
"7,45","44,93","4,63","0,94","5,42",,SAPR3
"3,39","-36,64","9,86","0,17","0,00",,HBRE3
"3,71","-11,78","12,69","2,66","6,25",,KLBN3
"2,66","-31,51","20,07","0,76","1,57",,BRST3
"6,82","10,18","43,90","0,72","5,76",,EVEN3
"0,21","-99,07","-0,01","0,00","0,00",,PDGR3
"7,26","27,59","7,62","0,67","7,78",,PFRM3
"7,87","-19,26","8,02","0,60","10,41",,ROMI3
"15,37","23,75","8,61","2,03","12,87",,BRBI11
"20,70","0,69","4,92","0,49","9,57",,LOGG3
"4,77","-19,47","9,85","1,14","6,42",,VITT3
"21,88","42,03","5,84","1,02","12,29",,VLID3
"8,98","-26,19","3,64","0,46","0,24",,VTRU3
"14,67","30,03","110,29","28,68","1,63",,TFCO4
"20,37","-15,32","6,76","0,96","7,60",,AGRO3
"24,16","-9,47","14,61","1,03","2,40",,MDIA3
"14,38","30,95","5,88","1,47","13,01",,CMIG3
"6,26","36,87","6,41","0,78","4,70",,TRIS3
"6,94","43,34","6,52","1,89","8,20",,POMO3
"4,39","-16,86","-0,28","2,46","0,00",,AERI3
"1,13","-35,06","-3,73","0,55","0,00",,RNEW4
"10,92",-,"-4,64","0,18","0,00",,AMOB3
"8,17","-15,22","5,71","0,89","6,36",,DEXP3
"55,31","14,36","9,62","2,36","9,14",,UNIP6
"1,80","-32,08","-3,01","-2,96","0,00",,RCSL3
"1,58","-31,90","-0,07","-0,02","0,00",,PMAM3
"1,24","-12,68","-3,86","2,22","0,00",,AMAR3
"8,14","-52,32","10,27","0,69","0,45",,DESK3
"4,03","-32,25","8,96","0,31","3,16",,ETER3
"10,41","20,16","7,52","1,33","8,56",,ITSA3
"12,50","-1,47","7,60","0,77","6,74",,SANB3
"2,43","-3,57","9,69","0,71","3,95",,IGTI3
"1,38","-19,57","9,84","0,91","5,13",,LPSB3
"9,14","-13,34","5,16","1,30","9,06",,CAMB3
"144,90","116,59","-107,66","18,40","0,00",,AMBP3
"11,04","2,18","6,77","1,56","8,20",,TAEE4
"13,79","-0,66","8,38","0,85","6,69",,SANB4
"1,66","-19,81","-0,90","0,32","0,00",,TCSA3
"11,03","3,28","6,77","1,56","8,21",,TAEE3
"4,48","18,23","7,52","2,46","17,95",,WHRL4
"2,95","-19,18","-40,99","1,85","0,00",,ALPK3
"14,55","-6,95","4,90","0,66","12,73",,BRAP3
"12,98","8,59","3,08","0,87","4,86",,EALT4
"1,36","-31,66","4,86","375,31","0,00",,BOBR4
"17,04","20,11","6,56","0,59","4,23",,EUCA4
"3,30","61,76","8,16","4,25","0,00",,FICT3
"4,56","-36,75","11,87","0,26","0,00",,DMVF3
"2,96","5,71","-0,15","-0,03","0,00",,RPMG3
"1,15","-35,39","-3,80","0,56","0,00",,RNEW3
"9,00","-46,97","-0,77","-1,69","0,00",,BRKM3
"14,60","-2,66","9,06","0,54","4,45",,GGBR3
"3,86","-21,22","14,75","0,67","0,00",,REAG3
"5,05","-50,05","-8,51","0,56","0,00",,AALR3
"1,09","-42,93","-6,49","0,70","0,00",,PDTC3
"1,15","-32,75","-1,41","0,41","0,00",,LUPA3
"6,03","-40,10","10,01","0,60","3,13",,TASA3
"6,04","14,61","6,10","0,95","3,97",,TECN3
"7,93","12,03","6,75","0,47","16,29",,ALLD3
"1,37","-34,22","21,44","0,49","12,97",,UCAS3
"7,67","-22,60","129,51","0,49","0,00",,TELB4
"25,17","-12,45","-7,38","0,51","0,00",,NGRD3
"6,60","85,39","-3,08","1,41","0,00",,TRAD3
"6,32","-58,69","-0,55","0,33","0,00",,SHOW3
"11,12","-15,86","6,95","1,42","5,12",,ENGI3
"17,79","-4,82","8,14","1,50","6,23",,CSUD3
"3,67","14,00","7,40","0,36","5,51",,LVTC3
"1,68","-11,58","-0,32","-0,05","0,00",,INEP3
"4,08","-11,30","-0,23","-0,20","0,00",,FHER3
"28,33","-4,81","8,70","0,64","4,69",,COCE5
"71,59","-17,73","3,26","0,60","11,05",,BAZA3
"9,03","-10,18","7,97","0,46","3,74",,GOAU3
"9,50","1,24","8,31","1,10","3,07",,ALUP4
"11,10","-23,20","100,61","1,46","0,66",,LAND3
"7,11","-23,55","-12,56","3,59","0,00",,BIOM3
"3,14","-40,08","7,40","0,97","0,00",,NUTR3
"4,02","8,36","8,76","0,20","5,73",,TPIS3
"7,43","-39,54","0,17","-0,17","0,00",,OIBR4
"6,15","-70,29","-0,04","-0,05","0,00",,AGXY3
"1,40","-24,73","-0,27","-0,04","0,00",,INEP4
"8,41","-1,40","5,62","1,16","6,15",,BEES3
"18,12","-24,75","-36,32","0,68","9,69",,SCAR3
"4,61","-25,77","5,74","0,42","5,87",,PTNT4
"4,33","9,13","-8,69","1,18","43,65",,EPAR3
"6,82","-21,75","7,04","0,72","3,67",,RAPT3
"47,24","21,77","9,50","3,92","11,02",,EKTR4
"0,82","-67,20","-0,71","0,22","0,00",,VIVR3
"8,28","-17,24","6,31","0,78","1,49",,BSLI3
"5,71","-58,49","-69,44","0,63","0,02",,VSTE3
"4,14","7,39","6,95","2,27","17,10",,WHRL3
"26,74","12,16","5,19","0,57","11,85",,CGRA4
"6,03","-8,36","-11,01","-0,32","0,00",,DOTZ3
"10,59","6,07","8,08","1,00","1,49",,BSLI4
"69,10","17,32","7,16","1,67","3,22",,RSUL4
"1,53","-77,50","-0,08","-0,48","0,00",,JFEN3
"21,08","33,55","19,84","4,06","0,71",,BPAC3
"12,85","-3,38","216,98","0,82","0,00",,TELB3
"2,59","-39,06","-0,01","0,00","0,00",,OSXB3
