Razão Social,CNPJ,PÚBLICO-ALVO,MANDATO,SEGMENTO,TIPO DE FUNDO,PRAZO DE DURAÇÃO,TIPO DE GESTÃO,TAXA DE ADMINISTRAÇÃO,VACÂNCIA,NUMERO DE COTISTAS,COTAS EMITIDAS,VAL. PATRIMONIAL P/ COTA,VALOR PATRIMONIAL,ÚLTIMO RENDIMENTO,Papel
LATERES FUNDO DE INVESTIMENTO IMOBILIÁRIO,17.209.378/0001-00,Investidor Qualificado,Desenvolvimento para venda,Outros,Fundo de Tijolo,Determinado,Ativa,"1,40% a.a. sobre patrimônio líquido","0,00%",161,124.093,"R$ 10,59","R$ 1,31 Milhão","R$ 10,00",LATR11B
LOFT II FUNDO DE INVESTIMENTO IMOBILIÁRIO,24.796.967/0001-90,Investidor Qualificado,Híbridos,Outros,Fundo de papel,Indeterminado,Ativa,"0,20% a.a","0,00%",8,664.989,"R$ 57,32","R$ 38,12 Milhões","R$ 3,67",LFTT11
LOGCP INTER FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,34.598.181/0001-11,Geral,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,"0,31% a.a","0,00%",20.446,4.512.092,"R$ 99,85","R$ 450,51 Milhões","R$ 0,74",LGCP11
Life Capital Partners Fund de Investimento Imob,39.753.295/0001-02,Geral,Híbridos,Outros,Outro,Indeterminado,Ativa,,"0,00%",16.316,37.901.296,"R$ 10,00","R$ 378,91 Milhões","R$ 0,12",LIFE11
BS2 ALLINVESTMENTS FUNDO DE INVESTIMENTO IMOBILIÁRIO,41.218.404/0001-33,Investidor Qualificado,Desenvolvimento para venda,Híbrido,Fundo misto,Indeterminado,Ativa,"2,00% a.a. sobre patrimônio líquido","0,00%",72,361.129,"R$ 52,36","R$ 18,91 Milhões","R$ 1,70",LLAO11
LOFT I FUNDO DE INVESTIMENTO IMOBILIÁRIO,19.722.048/0001-31,Investidor Qualificado,Híbridos,Outros,Fundo de desenvolvimento,Indeterminado,Ativa,"0,20% a.a","0,00%",8,1.962.489,"R$ 1,04","R$ 2,04 Milhões","R$ 0,20",LOFT11B
LAGO DA PEDRA - FUNDO DE INVESTIMENTO IMOBILIÁRIO,37.262.752/0001-30,Investidor Qualificado,Desenvolvimento para venda,Outros,Outro,Indeterminado,Ativa,"0,10% a.a. sobre patrimônio líquido","0,00%",13,580.499,"R$ 389,00","R$ 225,82 Milhões","R$ 5,89",LPLP11
FUNDO DE INVESTIMENTO IMOBILIÁRIO LEBLON REALTY DESENVOLVIMENTO I,41.088.534/0001-07,Investidor Qualificado,Híbridos,Híbrido,Fundo de desenvolvimento,Indeterminado,Ativa,,"0,00%",96,370.233,"R$ 83,30","R$ 30,84 Milhões","R$  0,00",LRDI11
LESTE FUNDO INVEST CAD PROD AGROIND,42.592.476/0001-09,Geral,Títulos e valores mobiliários,Fiagros,Outro,Indeterminado,Ativa,,"0,00%",2.850,1.009.323,"R$ 98,25","R$ 99,16 Milhões","R$ 1,10",LSAG11
LESTE RIVA EQUITY PREFERENCIAL I FUNDO DE INVESTIMENTO IMOBILIÁRIO,31.847.293/0001-70,Investidor Qualificado,Renda,Outros,Fundo de papel,Indeterminado,Ativa,,"0,00%",722,404.489,"R$ 20,95","R$ 8,47 Milhões","R$ 0,06",LSPA11
,,,,,,,,,,,,,,,LTMT11
