Razão Social,CNPJ,PÚBLICO-ALVO,MANDATO,SEGMENTO,TIPO DE FUNDO,PRAZO DE DURAÇÃO,TIPO DE GESTÃO,TAXA DE ADMINISTRAÇÃO,VACÂNCIA,NUMERO DE COTISTAS,COTAS EMITIDAS,VAL. PATRIMONIAL P/ COTA,VALOR PATRIMONIAL,ÚLTIMO RENDIMENTO,Papel
FUNDO DE INVESTIMENTO IMOBILIÁRIO RB CAPITAL I FUNDO DE FUNDOS,34.027.774/0001-28,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de fundos,Indeterminado,Ativa,"0,80% a.a","0,00%",4.187,1.078.153,"R$ 70,68","R$ 76,20 Milhões","R$ 0,65",RFOF11
REAL INVESTOR FUNDO DE INVESTIMENTO IMOBILIÁRIO,44.625.612/0001-45,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Outro,Indeterminado,Ativa,"1,00% a.a.","0,00%",3.824,3.279.521,"R$ 104,07","R$ 341,31 Milhões","R$ 1,05",RINV11
REAG MULTI ATIVOS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,17.374.696/0001-19,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,"0,30% a.a. sobre patrimônio líquido","17,00%",1.071,2.443.789,"R$ 106,56","R$ 260,41 Milhões","R$ 0,54",RMAI11
BB RENDA DE PAPÉIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,15.394.563/0001-89,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"0,55% a.a","0,00%",0,0,"R$ 0,00","R$ 4,33 Milhões","R$ 0,69",RNDP11
FUNDO DE INVESTIMENTO IMOBILIÁRIO RIO NEGRO,15.006.286/0001-90,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Passiva,"0,22% a.a sobre patrimônio liquido","19,60%",7.929,2.675.989,"R$ 83,90","R$ 224,50 Milhões","R$ 0,39",RNGO11
FUNDO DE INVESTIMENTO IMOBILIÁRIO ROOFTOP I,38.456.598/0001-09,Investidor Qualificado,Desenvolvimento para venda,Outros,Fundo de desenvolvimento,Determinado,Ativa,"0,30% a.a","0,00%",75,77.484,"R$ 414,10","R$ 32,09 Milhões","R$ 41,72",ROOF11
RBR Premium Recebíveis Imobiliários,42.502.842/0001-91,Geral,Títulos e valores mobiliários,Híbrido,Fundo de papel,Indeterminado,Ativa,"1,60%","0,00%",4.179,3.471.717,"R$ 99,83","R$ 346,58 Milhões","R$ 1,20",RPRI11
RB CAPITAL RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,35.689.733/0001-60,Geral,Renda,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"1,0% a.a sobre o patrimônio líquido (mínimo R$ 15.000,00 mensais)","0,00%",1.788,481.746,"R$ 90,35","R$ 43,53 Milhões","R$ 0,85",RRCI11
RB CAPITAL DESENVOLVIMENTO RESIDENCIAL III FUNDO DE INVESTIMENTO IMOBILIÁRIO,19.249.989/0001-08,Investidor Qualificado,Desenvolvimento para venda,Outros,Fundo de desenvolvimento,Determinado,Ativa,"2,00% a.a. sobre patrimônio líquido","0,00%",132,149.000,"R$ 965,83","R$ 143,92 Milhões","R$ 20,13",RSPD11
ITAÚ ASSET RURAL FIAGRO,42.479.593/0001-60,Geral,Títulos e valores mobiliários,Fiagros,Outro,Indeterminado,Ativa,,"0,00%",87.438,160.099.498,"R$ 10,24","R$ 1,64 Bilhão","R$ 0,10",RURA11
VBI REITS FOF - FUNDO DE INVESTIMENTO IMOBILIÁRIO,35.507.457/0001-71,Geral,Renda,Títulos e Valores Mobiliários,Fundo de fundos,Indeterminado,Ativa,"0,15% a.a sobre patrimônio líquido (mínimo de R$20.000,00 mensais)","0,00%",54.063,10.276.001,"R$ 75,73","R$ 778,22 Milhões","R$ 0,70",RVBI11
FDO INV CADEIAS PROD AGRO RIZA AGRO,40.413.979/0001-44,fii.GENERAL,Títulos e valores mobiliários,Fiagros,Outro,Indeterminado,Ativa,,"0,00%",80.818,68.040.414,"R$ 9,63","R$ 655,00 Milhões","R$ 0,13",RZAG11
RIZA AKIN FUNDO DE INVESTIMENTO IMOBILIÁRIO,36.642.219/0001-31,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"1,20% a.a sobre patrimônio liquido (mínimo R$25.000,00 mensais)","0,00%",45.006,8.807.874,"R$ 87,31","R$ 768,98 Milhões","R$ 1,15",RZAK11
RIZA ARCTIUM REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO,28.267.696/0001-36,Geral,Híbridos,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,"1,00% a.a","0,00%",35.430,4.235.031,"R$ 101,78","R$ 431,04 Milhões","R$ 1,15",RZAT11
,,,,,,,,,,,,,,,RZDM11
RIZA EOS FDO DE INV NAS CAD PROD - FIAGRO,45.718.511/0001-81,Geral,,Fiagros,Outro,Indeterminado,Ativa,,"0,00%",148,3.152.913,"R$ 202,88","R$ 639,68 Milhões","R$ 4,76",RZEO11
,,,,,,,,,,,,,,,RZLC11
FUNDO DE INVESTIMENTO IMOBILIÁRIO RIZA TERRAX,36.501.128/0001-86,Geral,Renda,Híbrido,Outro,Indeterminado,Ativa,"1,25% a.a sobre patrimônio liquido","0,00%",141.552,18.851.709,"R$ 96,29","R$ 1,82 Bilhão","R$ 1,05",RZTR11
Raizz Renda Logística,35.652.278/0001-28,Investidor Qualificado,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Passiva,"0,20% a.a sobre patrimônio liquido (minimo R$25.000,00 mensais)","0,00%",432,4.813.161,"R$ 166,30","R$ 800,42 Milhões","R$ 1,19",RZZR11
,,,,,,,,,,,,,,,RZZV11
SANTANDER PAPEIS IMOBILIÁRIOS CDI FUNDO DE INVESTIMENTO IMOBILIÁRIO,32.903.521/0001-45,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"1,00% a.a","0,00%",10.948,15.486.829,"R$ 9,67","R$ 149,68 Milhões","R$ 0,10",SADI11
,,,,,,,,,,,,,,,SAIC11
SANTANDER PAPÉIS IMOBILIÁRIOS,51.646.298/0001-42,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,,"0,00%",2.983,15.436.829,"R$ 9,97","R$ 153,96 Milhões","R$ 0,11",SAPI11
SANTANDER RENDA DE ALUGUÉIS FUNDO DE INVESTIMENTO IMOBILIÁRIO,32.903.702/0001-71,Geral,Renda,Híbrido,Fundo misto,Indeterminado,Ativa,"1,25% a.a","29,92%",29.865,92.343.279,"R$ 7,73","R$ 713,84 Milhões","R$ 0,03",SARE11
FUNDO DE INVESTIMENTO IMOBILIÁRIO SCP,01.657.856/0001-05,fii.GENERAL,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Ativa,"4,0% a.a","30,00%",4.574,4.199.989,"R$ 10,61","R$ 44,57 Milhões","R$ 0,05",SCPF11
FUNDO DE INVESTIMENTO IMOBILIARIO SDI RIO BRAVO RENDA LOGÍSTICA,16.671.412/0001-93,Geral,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,"0,84% a.a","0,60%",64.836,6.395.039,"R$ 96,93","R$ 619,90 Milhões","R$ 0,83",SDIL11
TELLUS PROPERTIES FUNDO DE INVESTIMENTO IMOBILIÁRIO,26.681.370/0001-25,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,"1,17% a.a sobre patrimônio liquido","0,00%",29.093,4.221.956,"R$ 96,65","R$ 408,03 Milhões","R$ 0,95",SDIP11
HEDGE SEED FUNDO DE INVESTIMENTO IMOBILIÁRIO,35.689.497/0001-81,Investidor Qualificado,Híbridos,Híbrido,Outro,Determinado,Ativa,,"0,00%",124,1.639.989,"R$ 88,09","R$ 144,47 Milhões","R$ 1,00",SEED11
SEQUOIA III RENDA IMOBILIÁRIA - FUNDO DE INVESTIMENTO IMOBILIÁRIO,09.517.273/0001-82,Geral,Renda,Outros,Outro,Indeterminado,Ativa,"1,24% a.a sobre patrimônio liquido (mínimo R$15.000,00 mensais)","9,60%",4.776,1.665.684,"R$ 92,91","R$ 154,76 Milhões","R$ 0,58",SEQR11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - SHOPPING PARQUE DOM PEDRO,07.224.019/0001-60,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Passiva,"0,30% a.a sobre patrimônio liquido","2,60%",2,1.189.714,"R$ 1.396,78","R$ 1,66 Bilhão","R$ 13,35",SHDP11B
MULTI SHOPPINGS FUNDO DE INVESTIMENTO IMOBILIÁRIO,22.459.737/0001-00,Geral,Renda,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,"0,20% a.a. sobre patrimônio líquido (mínimo R$30.000,00 mensais)","18,69%",74,2.252.236,"R$ 36,12","R$ 81,35 Milhões","R$  0,00",SHOP11
FUNDO DE INVESTIMENTO IMOBILIÁRIO SHOPPING PÁTIO HIGIENÓPOLIS,03.507.519/0001-59,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Passiva,"0,20% a.a sobre valor de mercado","2,60%",2.128,608.939,"R$ 1.017,73","R$ 619,75 Milhões","R$ 27,97",SHPH11
SIG CAPITAL RECEBÍVEIS PULVERIZADOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,40.011.324/0001-40,Investidor Qualificado,Títulos e valores mobiliários,Outros,Fundo de papel,Indeterminado,Ativa,,"0,00%",130,389.398,"R$ 101,03","R$ 39,34 Milhões","R$ 1,14",SIGR11
SJ AU LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO,27.771.547/0001-47,Geral,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Passiva,"0,23% a.a. sobre patrimônio líquido","0,00%",302,7.932.237,"R$ 20,08","R$ 159,30 Milhões","R$ 11,88",SJAU11
FUNDO DE INVESTIMENTO IMOBILIÁRIO SMART REAL ESTATE – FII RESPONSABILIDADE LIMITADA,53.730.029/0001-95,Investidor Qualificado,Híbridos,Outros,Outro,Indeterminado,Ativa,"0,22%","0,00%",1.714,945.067,"R$ 101,54","R$ 95,96 Milhões","R$ 1,01",SMRE11
SUNO AGRO,28.152.777/0001-90,fii.GENERAL,Híbridos,Fiagros,Outro,Indeterminado,Ativa,,"0,00%",113.327,60.740.342,"R$ 10,23","R$ 621,47 Milhões","R$ 0,11",SNAG11
SUNO RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,41.076.710/0001-82,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Outro,Indeterminado,Ativa,"0,70% a.a sobre patrimônio líquido","0,00%",37.991,4.199.989,"R$ 97,80","R$ 410,75 Milhões","R$ 1,00",SNCI11
,,,,,,,,,,,,,,,SNCR11
FUNDO DE INVEST IMOBILIARIO SUNO ENERGIAS LIMPAS,43.741.171/0001-84,Geral,Híbridos,Outros,Outro,Indeterminado,Ativa,,"0,00%",31.777,38.334.191,"R$ 8,08","R$ 309,76 Milhões","R$ 0,10",SNEL11
SUNO FUNDO DE FUNDOS IMOBILIÁRIO,40.011.225/0001-68,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de fundos,Indeterminado,Ativa,"0,78% a.a","0,00%",28.508,4.020.624,"R$ 84,14","R$ 338,28 Milhões","R$ 0,72",SNFF11
SUNO FAZENDAS FIAGRO – IMOBILIÁRIO,53.313.475/0001-02,Geral,Híbridos,Fiagros,Outro,Indeterminado,Ativa,,"0,00%",3.805,6.199.989,"R$ 9,82","R$ 60,91 Milhões","R$ 0,07",SNFZ11
Suno Log Fundo de Investimento Imobiliario,40.041.711/0001-29,Geral,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,1%,"0,00%",5.200,2.529.955,"R$ -0,11","R$ -285,62 Mil","R$ 0,84",SNLG11
SUNO MULTIESTRATÉGIA,52.227.760/0001-30,Geral,Híbridos,Híbrido,Fundo misto,Indeterminado,Ativa,,"0,00%",3.825,7.418.232,"R$ 9,69","R$ 71,88 Milhões","R$ 0,11",SNME11
,,,,,,,,,,,,,,,SOFF11
SOLARIUM FUNDO DE INVESTIMENTO IMOBILIÁRIO,22.169.671/0001-13,Investidor Qualificado,Híbridos,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,"0,45% a.a.","0,00%",48,65.523,"R$ 935,57","R$ 61,31 Milhões","R$ 4,77",SOLR11
,,,,,,,,,,,,,,,SPDE11
,,,,,,,,,,,,,,,SPMO11
SP Downtown Fundo de Investimento,15.538.445/0001-05,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Passiva,"0,25% a.a","0,00%",19.457,1.797.989,"R$ 58,02","R$ 104,31 Milhões","R$ 0,42",SPTW11
SPX SYN MULT,43.010.543/0001-00,Geral,Híbridos,Híbrido,Outro,Indeterminado,Ativa,"0,80%","0,00%",20.135,20.189.029,"R$ 9,40","R$ 189,83 Milhões","R$ 0,10",SPXS11
SERRA VERDE FUNDO DE INVESTIMENTO IMOBILIÁRIO,38.082.796/0001-41,fii.QUALIFIED_INVESTOR,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"1,05% a.a. sobre patrimônio líquido","0,00%",101,96.286.009,"R$ 0,54","R$ 52,37 Milhões","R$ 0,20",SRVD11
STARX FUNDO DE INVESTIMENTO IMOBILIÁRIO,11.044.355/0001-07,Geral,Híbridos,Híbrido,Fundo de desenvolvimento,Indeterminado,Ativa,"0,18% a.a. sobre patrimônio líquido","0,00%",104,1.613.548,"R$ 141,93","R$ 229,01 Milhões","R$ 0,90",STRX11
TB OFFICE - FUNDO DE INVESTIMENTO IMOBILIÁRIO,17.365.105/0001-47,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Passiva,"0,15% a.a. sobre o patrimônio líquido","0,00%",9.174,10.049.989,"R$ 0,21","R$ 2,16 Milhões","R$ 0,82",TBOF11
TELLUS MULTIESTRATÉGIA - FII FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA,45.188.099/0001-35,Investidor Qualificado,Híbridos,Híbrido,Fundo misto,Indeterminado,Ativa,"0,90% a.a.","0,00%",107,2.147.351,"R$ 9,83","R$ 21,10 Milhões","R$ 0,10",TELM11
TELLUS PROPERTIES FUNDO DE INVESTIMENTO IMOBILIÁRIO,26.681.370/0001-25,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,"1,17% a.a sobre patrimônio liquido","0,00%",29.093,4.221.956,"R$ 96,65","R$ 408,03 Milhões","R$ 0,95",TEPP11
FUNDO DE INVESTIMENTO IMOBILIARIO TG ATIVO REAL,25.032.881/0001-53,Geral,Híbridos,Híbrido,Fundo de desenvolvimento,Indeterminado,Ativa,"1,50% a.a","0,00%",156.390,23.567.957,"R$ 112,10","R$ 2,64 Bilhões","R$ 1,00",TGAR11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - CYRELA THERA CORPORATE,13.966.653/0001-71,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Passiva,"0,20% a.a","0,00%",2.079,1.472.717,"R$ 9,54","R$ 14,05 Milhões","R$ 0,13",THRA11
TJK RENDA IMOBILIÁRIA FUNDO DE INVESTIMENTO IMOBILIÁRIO,39.714.024/0001-48,Investidor Qualificado,Renda,Lajes Corporativas,Outro,Indeterminado,Ativa,"0,45% a.a. sobre patrimônio líquido","0,00%",297,1.164.636,"R$ 264,20","R$ 307,70 Milhões","R$ 2,90",TJKB11
ITAÚ TEMPUS FUNDO DE INVESTIMENTO IMOBILIÁRIO,42.737.077/0001-99,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Outro,Determinado,Ativa,"0,90% a.a.","0,00%",2.011,978.957,"R$ 93,85","R$ 91,88 Milhões","R$ 0,82",TMPS11
RBR TOP OFFICES FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA,56.805.391/0001-76,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,"0,80% a.a.","8,60%",4.836,4.528.229,"R$ 98,36","R$ 445,38 Milhões","R$ 0,84",TOPP11
TORDESILHAS EI FUNDO DE INVESTIMENTO IMOBILIÁRIO,30.230.870/0001-18,Geral,Híbridos,Híbrido,Outro,Indeterminado,Ativa,"1,50% a.a","0,00%",68.464,35.051.344,"R$ 5,96","R$ 209,00 Milhões","R$ 0,04",TORD11
FUNDO DE INVESTIMENTO IMOBILIÁRIO TOURMALET II,30.578.316/0001-26,Geral,Desenvolvimento para renda,Outros,Fundo de desenvolvimento,Determinado,Ativa,"0,1875% a.a","0,00%",670,0,"R$ 0,00",R$ -,"R$ 0,24",TOUR11
FDO DE INVEST IMOB TELLUS RIO BRAVO RENDA LOGISTIC,16.671.412/0001-93,Geral,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,"0,84%","2,50%",50.854,7.739.081,"R$ 87,08","R$ 673,91 Milhões","R$ 0,58",TRBL11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - TORRE NORTE,04.722.883/0001-02,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Passiva,"1,50% sobre rendimento mensal (mínimo R$10.000,00 mensais)","34,40%",541,3.935.551,"R$ 176,37","R$ 694,12 Milhões","R$ 0,07",TRNT11
TRX REAL ESTATE II FUNDO DE INVESTIMENTO IMOBILIÁRIO,36.368.925/0001-37,Geral,Títulos e valores mobiliários,Híbrido,Fundo de desenvolvimento,Determinado,Passiva,"1,0% a.a sobre patrimônio líquido","0,00%",445,3.413.838,"R$ 105,58","R$ 360,42 Milhões","R$ 1,00",TRXB11
TRX REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO,28.548.288/0001-52,Geral,Renda,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,"1,00% a.a sobre patrimônio liquido","0,22%",183.597,20.035.552,"R$ 102,61","R$ 2,06 Bilhões","R$ 0,93",TRXF11
,,,,,,,,,,,,,,,TRXL11
TRX Hedge Fundo de Investimento Imobiliário de Responsabilidade Limitada,43.985.938/0001-10,Geral,Híbridos,Híbrido,Outro,Indeterminado,Ativa,0,"0,00%",615,3.609.709,"R$ 9,31","R$ 33,61 Milhões","R$ 0,11",TRXY11
TISHMAN SPEYER RENDA CORPORATIVA FUNDO DE INVESTIMENTO IMOBILIÁRIO,34.847.042/0001-84,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,"1,00% a.a. sobre patrimônio líquido (R$25.000,00 mensais)","0,00%",20,1.384.749,"R$ 98,17","R$ 135,94 Milhões","R$ 0,95",TSER11
TRANSINC FUNDO DE INVESTIMENTO IMOBILIÁRIO,17.007.443/0001-07,Geral,Híbridos,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,"0,55% a.a.","10,50%",96,1.086.769,"R$ 80,87","R$ 87,89 Milhões","R$ 7,36",TSNC11
TIVIO RENDA IMOBILIÁRIA FUNDO DE INVESTIMENTO IMOBILIÁRIO,14.410.722/0001-29,Geral,Renda,Agências bancárias,Fundo de Tijolo,Indeterminado,Ativa,0.277%,"3,10%",62.554,15.919.679,"R$ 101,51","R$ 1,62 Bilhão","R$ 1,03",TVRI11
FUNDO DE INVESTIMENTO IMOBILIARIO REC RECEBIVEIS IMOBILIARIOS,28.152.272/0001-26,Geral,Renda,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"0,20% a.a","0,00%",47.560,9.916.344,"R$ 94,98","R$ 941,88 Milhões","R$ 1,31",UBSR11
URCA HEDGE FUND ESTRATÉGIA IMOBILIÁRIA FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA,52.649.350/0001-87,Investidor Qualificado,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo misto,Indeterminado,Ativa,"0,08% - 0,12% a.a.","0,00%",173,110.406,"R$ 96,19","R$ 10,62 Milhões","R$ 1,30",URHF11
URCA PRIME RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO,34.508.872/0001-87,Geral,Híbridos,Outros,Fundo de papel,Indeterminado,Ativa,"0,25% a.a","0,00%",72.305,11.733.884,"R$ 100,50","R$ 1,18 Bilhão","R$ 0,45",URPR11
VECTIS JUROS REAL FUNDO DE INVESTIMENTO IMOBILIÁRIO,32.400.250/0001-05,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"1,60% a.a sobre patrimônio liquido","0,00%",32.268,14.723.959,"R$ 94,09","R$ 1,39 Bilhão","R$ 1,05",VCJR11
VECTIS DATAGRO CR AGR,42.502.827/0001-43,Geral,Títulos e valores mobiliários,Fiagros,Outro,Indeterminado,Ativa,,"0,00%",10.890,4.593.908,"R$ 101,99","R$ 468,51 Milhões","R$ 0,48",VCRA11
VINCI CREDIT SECURITIES FUNDO DE INVESTIMENTO,41.081.374/0001-66,,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,,"0,00%",14.392,20.543.652,"R$ 9,43","R$ 193,66 Milhões","R$ 0,10",VCRI11
VECTIS RENDA RESIDENCIAL FUNDO DE INVESTIMENTO IMOBILIÁRIO,40.041.723/0001-53,Geral,Renda,Outros,Fundo de Tijolo,Indeterminado,Ativa,"0,80% a.a sobre patrimônio liquido (minimo R$35.000,00 mensais)","18,37%",3.667,1.999.989,"R$ 127,12","R$ 254,24 Milhões","R$ 0,50",VCRR11
FUNDO DE INVESTIMENTO IMOBILIÁRIO VEREDA,08.693.497/0001-82,Geral,Renda,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,"0,50% a.a.","0,00%",107,637.833,"R$ 508,96","R$ 324,64 Milhões","R$ 3,29",VERE11
VALORA HEDGE FUND. FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,36.771.692/0001-19,Geral,Títulos e valores mobiliários,Híbrido,Fundo de papel,Indeterminado,Ativa,"0,90% a.a sobre patrimônio liquido (minimo R$10.000,00 mensais)","0,00%",395.212,164.721.672,"R$ 8,55","R$ 1,41 Bilhão","R$ 0,09",VGHF11
VALORA CRA FDO INV NAS CAD PROD AGRO,41.081.088/0001-09,Geral,Títulos e valores mobiliários,Fiagros,Outro,Indeterminado,Ativa,,"0,00%",169.472,86.455.106,"R$ 9,65","R$ 834,11 Milhões","R$ 0,13",VGIA11
,,,,,,,,,,,,,,,VGII11
VALORA CRI ÍNDICE DE PREÇO FUNDO DE INVESTIMENTO IMOBILIÁRIO,34.197.811/0001-46,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"1% a.a sobre patrimônio liquido (minimo R$25.000,00 mensais)","0,00%",84.403,11.787.236,"R$ 90,18","R$ 1,06 Bilhão","R$ 1,98",VGIP11
VALORA RE III FUNDO DE INVESTIMENTO IMOBILIÁRIO,29.852.732/0001-91,Geral,Renda,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"0,20% a.a sobre patrimônio liquido (minimo R$20.000,00 mensais)","0,00%",254.902,146.101.276,"R$ 9,76","R$ 1,43 Bilhão","R$ 0,12",VGIR11
VALORA RENDA IMOB FUNDO DE INVES IMOB -RESP LIMIT,53.656.482/0001-07,Geral,Renda,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,0.085%,"19,60%",15.485,35.021.725,"R$ 10,58","R$ 370,36 Milhões","R$ 0,12",VGRI11
,,,,,,,,,,,,,,,VHFA11
VINCI INSTRUMENTOS FINANCEIROS FUNDO DE INVESTIMENTO IMOBILIÁRIO,31.547.855/0001-60,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de fundos,Indeterminado,Ativa,"0,95% a.a sobre patrimônio liquido","0,00%",5.516,8.089.179,"R$ 7,97","R$ 64,51 Milhões","R$ 0,07",VIFI11
VINCI LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO,24.853.044/0001-22,Geral,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,"0,95% a.a","2,54%",146.443,14.997.385,"R$ 112,44","R$ 1,69 Bilhão","R$ 0,69",VILG11
VINCI OFFICES FUNDO DE INVESTIMENTO IMOBILIÁRIO,12.516.185/0001-70,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,"1,20% a.a","8,00%",147.317,82.826.284,"R$ 10,27","R$ 850,75 Milhões","R$ 0,05",VINO11
VINCI SHOPPING CENTERS FUNDO DE INVESTIMENTO IMOBILIÁRIO,17.554.274/0001-25,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Ativa,"1,35% a.a sobre patrimônio liquido","5,70%",345.173,28.828.629,"R$ 124,15","R$ 3,58 Bilhões","R$ 0,80",VISC11
VINCI IMÓVEIS URBANOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,36.445.587/0001-90,Geral,Renda,Outros,Fundo misto,Indeterminado,Ativa,"0,85% a.a sobre patrimônio liquido","3,00%",46.307,26.946.209,"R$ 8,76","R$ 235,95 Milhões","R$ 0,07",VIUR11
JFDCAM FUNDO DE INVESTIMENTO IMOBILIÁRIO,15.489.509/0001-17,Investidor Qualificado,Renda,Híbrido,Fundo misto,Indeterminado,Ativa,,"0,00%",91,4.876.118,"R$ 163,86","R$ 799,01 Milhões","R$ 0,75",VJFD11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - VILA OLÍMPIA CORPORATE,15.296.696/0001-12,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Passiva,"0,25% a.a","0,00%",3.139,1.784.817,"R$ 105,11","R$ 187,60 Milhões","R$ 1,86",VLOL11
VOTORANTIM SECURITIES MASTER FUNDO DE INVESTIMENTO IMOBILIÁRIO,17.870.926/0001-30,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"1,00% a.a","0,00%",608,827.902,"R$ 91,56","R$ 75,80 Milhões","R$ 0,63",VOTS11
FUNDO DE INVESTIMENTO IMOBILIÁRIO POLO SHOPPING INDAIATUBA,14.721.889/0001-00,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Passiva,"0,15% a.a. sobre o patrimônio líquido","0,00%",118,8.071.886,"R$ 30,78","R$ 248,46 Milhões","R$ 0,04",VPSI11
FATOR VERITA FUNDO DE INVESTIMENTO IMOBILIÁRIO,11.664.201/0001-00,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"1,0% a.a","0,00%",113.912,15.592.413,"R$ 84,97","R$ 1,32 Bilhão","R$ 0,85",VRTA11
FATOR VERITÀ MULTIESTRATÉGIA,51.870.412/0001-13,Geral,Híbridos,Híbrido,Outro,Indeterminado,Ativa,,"0,00%",11.800,46.971.234,"R$ 9,30","R$ 436,78 Milhões","R$ 0,09",VRTM11
FUNDO DE INVESTIMENTO IMOBILIÁRIO VOTORANTIM SECURITIES,10.347.505/0001-80,Investidor Qualificado,Títulos e valores mobiliários,Outros,Fundo de papel,Determinado,Ativa,"0,70% a.a","0,00%",59,62.724,"R$ 3,00","R$ 188,47 Mil","R$ 0,08",VSEC11
