Papel;Setor;Preço Atual (R$);Liquidez Diária (R$);Último Dividendo;Dividend Yield;DY (3M) Acumulado;DY (6M) Acumulado;DY (12M) Acumulado;DY (3M) média;DY (6M) média;DY (12M) média;DY Ano;Variação Preço;Rentab. Período;Rentab. Acumulada;Patrimônio Líquido;VPA;P/VPA;DY Patrimonial;Variação Patrimonial;Rentab. Patr. Período;Rentab. Patr. Acumulada;Quant. Ativos;Volatilidade;Num. Cotistas
HGFF11;Fundo de Fundos;62,38;1.552.502,00;1,98;0,00 ;0,00 ;3,06 ;10,38 ;0,00 ;0,51 ;0,87 ;9,29 ;0,00 ;0,00 ;;231.523.973,64;80,85;0,77;0,84 ;-6,90 ;-6,11 ;-1,10 ;14;17,72;14.789
HGIC11;Papéis;68,91;5.284,41;0,80;1,15 ;3,49 ;6,84 ;14,07 ;1,16 ;1,14 ;1,17 ;10,39 ;1,62 ;2,79 ;-6,50 ;51.127.611,33;110,50;0,62;0,72 ;-3,68 ;-2,98 ;15,35 ;2;57,05;614
HGLG11;Imóveis Industriais e Logísticos;160,35;4.701.999,73;1,10;0,68 ;2,11 ;4,21 ;8,76 ;0,70 ;0,70 ;0,73 ;7,23 ;4,54 ;5,25 ;21,90 ;5.481.068.156,41;162,22;0,99;0,68 ;5,32 ;6,03 ;22,92 ;28;12,38;511.893
HGPO11;Lajes Corporativas;137,79;132.947,91;57,05;48,22 ;0,00 ;0,00 ;48,22 ;0,00 ;0,00 ;4,02 ;62,51 ;5,05 ;55,71 ;101,25 ;251.380.456,77;155,61;0,89;36,66 ;-48,02 ;-28,96 ;-15,36 ;2;11,67;10.008
HGRE11;Lajes Corporativas;119,89;1.077.866,50;0,85;0,69 ;2,21 ;5,92 ;10,97 ;0,74 ;0,99 ;0,91 ;9,33 ;8,95 ;9,70 ;43,92 ;1.840.413.893,02;155,73;0,77;0,55 ;-0,74 ;-0,20 ;0,11 ;13;21,15;141.119
HGRS11;Imóveis Residenciais;;;29,32;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;;118.155.565,38;92,86;;0,00 ;0,00 ;0,00 ;0,00 ;14;;8.102
HGRU11;Misto;126,54;3.181.121,68;0,95;0,75 ;2,28 ;5,07 ;10,94 ;0,76 ;0,85 ;0,91 ;9,28 ;1,54 ;2,31 ;30,84 ;2.970.316.021,61;127,82;0,99;0,74 ;4,01 ;4,78 ;19,12 ;103;13,07;221.186
HILG11;Indefinido;184,96;186,67;1,46;0,00 ;0,00 ;1,46 ;5,83 ;0,00 ;0,24 ;0,49 ;3,51 ;0,00 ;0,00 ;;107.325.507,64;;;;;;;1;17,41;104
HLOG11;Imóveis Industriais e Logísticos;8,96;137.146,95;0,07;0,78 ;2,49 ;4,91 ;9,09 ;0,83 ;0,82 ;0,76 ;8,05 ;8,97 ;9,82 ;25,68 ;468.833.824,98;11,03;0,81;0,63 ;-90,53 ;-90,47 ;-89,43 ;3;12,89;3.830
HOFC11;Lajes Corporativas;28,87;413.495,09;0,21;0,65 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;2,01 ;75,72 ;76,86 ;67,59 ;218.534.150,84;;;;;;;3;48,27;4.986
HOSI11;Imóveis Residenciais;85,15;2.766,37;0,61;0,72 ;2,26 ;5,08 ;9,73 ;0,75 ;0,85 ;0,81 ;7,49 ;2,65 ;3,39 ;8,03 ;62.213.731,30;108,49;0,78;0,60 ;17,85 ;18,55 ;25,42 ;14;39,03;1.143
HPDP11;Shoppings;89,93;9.780.881,19;0,56;0,62 ;0,62 ;2,54 ;6,45 ;0,62 ;0,42 ;0,54 ;5,19 ;0,00 ;0,00 ;;303.942.272,29;92,44;0,97;0,61 ;3,56 ;4,19 ;3,95 ;1;35,20;355
HRDF11;Fundo de Desenvolvimento;6,79;1.325,25;6,80;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;;10.384.402,31;;;;;;;14;90,91;897
HREC11;Papéis;8,35;114.800,27;0,09;1,01 ;3,06 ;6,40 ;13,33 ;1,02 ;1,07 ;1,11 ;11,15 ;2,19 ;3,22 ;28,56 ;448.972.990,73;8,69;0,96;0,98 ;-90,22 ;-90,13 ;-89,13 ;14;19,97;2.557
HRES11;Imóveis Residenciais;145,45;2.140.733,00;2,19;0,00 ;0,00 ;2,52 ;6,65 ;0,00 ;0,42 ;0,74 ;5,58 ;0,00 ;0,00 ;;59.741.289,21;;;;;;;14;2,39;137
HSAF11;Papéis;79,78;447.380,77;0,95;1,18 ;3,62 ;7,28 ;15,50 ;1,21 ;1,21 ;1,29 ;13,18 ;2,71 ;3,92 ;34,98 ;222.186.165,58;87,95;0,91;1,08 ;-3,71 ;-2,67 ;6,18 ;14;23,38;8.689
HSLG11;Imóveis Industriais e Logísticos;87,41;794.958,77;0,68;0,77 ;2,45 ;4,83 ;10,51 ;0,82 ;0,81 ;0,88 ;8,55 ;11,60 ;12,46 ;28,31 ;1.395.252.497,09;110,21;0,79;0,60 ;5,02 ;5,65 ;7,12 ;6;17,63;40.736
HSML11;Shoppings;83,45;3.432.039,00;0,68;0,79 ;2,44 ;4,76 ;10,61 ;0,81 ;0,79 ;0,88 ;8,57 ;4,55 ;5,38 ;22,76 ;2.220.513.169,05;103,40;0,81;0,64 ;5,96 ;6,64 ;12,22 ;13;17,34;186.907
HSRE11;Misto;99,98;519.090,90;0,90;0,92 ;2,64 ;5,74 ;11,39 ;0,88 ;0,96 ;0,95 ;9,00 ;1,03 ;1,96 ;17,62 ;796.625.759,91;89,52;1,12;0,95 ;-6,79 ;-5,90 ;0,08 ;22;28,81;373
HTMX11;Hotéis;138,02;389.230,50;1,56;1,12 ;2,72 ;5,48 ;14,24 ;0,91 ;0,91 ;1,19 ;10,25 ;0,45 ;1,58 ;10,35 ;419.340.272,34;145,20;0,95;0,84 ;3,46 ;4,32 ;20,72 ;21;15,32;36.615
HUCG11;Hospitalar;98,90;1.356,57;0,75;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;;116.240.718,19;;;;;;;2;71,30;233
HUSC11;Hospitalar;95,24;1.470,47;1,13;1,17 ;2,10 ;4,89 ;10,74 ;0,70 ;0,82 ;0,90 ;8,92 ;3,78 ;4,99 ;6,34 ;127.383.260,02;149,72;0,64;0,57 ;2,02 ;2,61 ;11,01 ;2;54,83;151
HUSI11;Hospitalar;1.249,00;1.249,00;8,42;0,00 ;0,00 ;1,38 ;5,68 ;0,00 ;0,23 ;0,47 ;0,71 ;0,00 ;0,00 ;;145.256.015,59;1.248,31;1,00;0,67 ;25,69 ;26,53 ;33,09 ;14;37,15;100
IAAG11;Indefinido;7,89;105.947,27;0,12;1,53 ;4,53 ;8,90 ;16,89 ;1,51 ;1,48 ;1,41 ;14,50 ;0,77 ;2,31 ;15,78 ;102.683.263,75;9,82;0,80;1,12 ;0,00 ;0,00 ;0,00 ;0;25,97;12.998
IAGR11;Indefinido;3,93;13.290,91;0,01;0,15 ;0,00 ;0,30 ;1,45 ;0,00 ;0,30 ;0,12 ;1,03 ;-3,18 ;-3,03 ;45,49 ;17.346.686,43;6,26;0,63;0,10 ;0,00 ;0,00 ;0,00 ;0;31,25;3.554
