valor_de_mercado,valor_de_firma,patrimônio_líquido,n_total_de_papeis,ativos,ativo_circulante,dívida_bruta,dívida_líquida,disponibilidade,tag_along,segmento_de_listagem,free_float,setor,segmento,papel
32692619000,28326036000,10097436000,5485338000,36313111000,16750738000,9235604000,4366583000,13602187000,100.00,nível 1,20.25,materiais básicos,minerais metálicos,cmin3
67500000000,60244443000,12869841000,2000000000,20441629000,8665648000,,7255557000,7255557000,100.00,novo mercado,31.87,financeiro,seguradoras,bbse3
156294254000,198874484000,109289887000,2588720000,266502447000,52374181000,70835953000,42580230000,28255723000,80.00,nível 1,97.21,utilidade pública,energia elétrica,elet3
1748338000,1668666000,1716262000,462523000,3944594000,1533165000,434727000,79672000,514399000,100.00,novo mercado,66.53,consumo não cíclico,produtos diversos,petz3
5533239000,41798239000,3805000000,797207000,91303000000,30743000000,46569000000,36265000000,10304000000,100.00,nível 1,34.97,materiais básicos,petroquímicos,brkm5
513169000,441843000,528901000,112784000,655324000,150681000,143000,71326000,71469000,100.00,novo mercado,75.33,tecnologia da informação,programas e serviços,cash3
3931608000,8423071000,3041058000,289088000,9549663000,2244908000,5284351000,4491463000,792888000,100.00,novo mercado,93.61,consumo cíclico,serviços educacionais,yduq3
14884423000,19312187000,6019582000,519163000,12802394000,2208919000,5489680000,4427764000,1061916000,100.00,nível 2,52.93,financeiro,exploração de imóveis,mult3
48113302000,93817102000,27995081000,1248075000,116701444000,25128826000,55111977000,45703800000,9408177000,100.00,novo mercado,100.00,utilidade pública,energia elétrica,eqtl3
29950784000,45266179000,19495012000,1584697000,53385056000,8955822000,19171192000,15315395000,3855797000,100.00,novo mercado,99.68,utilidade pública,energia elétrica,enev3
60544317000,56870673000,25213227000,2420804000,57371375000,14085946000,2854983000,3673644000,6528627000,100.00,novo mercado,33.40,telecomunicações,telecomunicações,tims3
7296939000,7002878000,8768448000,393096000,8818001000,294544000,,294061000,294061000,80.00,nível 1,71.57,financeiro,holdings diversificadas,brap4
8103899000,11383499000,5379103000,547191000,13072446000,4368087000,5364212000,3279600000,2084612000,100.00,novo mercado,84.87,saúde,serviços médicos. hospitalares. análises e diagnósticos,flry3
7252116000,9020937000,4177323000,1214491000,7791679000,1940835000,3367008000,1768821000,1598187000,100.00,tradicional,55.81,financeiro,exploração de imóveis,igti11
100225229000,97664437000,25362533000,2289292000,105709758000,54856940000,37985678000,2560792000,40546470000,100.00,nível 1,50.01,saúde,serviços médicos. hospitalares. análises e diagnósticos,rdor3
15883135000,19416164000,48574076000,502630000,74351385000,12259864000,13074815000,3533029000,9541786000,100.00,novo mercado,58.28,saúde,serviços médicos. hospitalares. análises e diagnósticos,hapv3
14089212000,11122977000,13446790000,542936000,26434116000,3817026000,,2966235000,2966235000,100.00,novo mercado,92.76,financeiro,exploração de imóveis,alos3
4680687000,8048715000,5988659000,681322000,15473499000,5572007000,5586439000,3368028000,2218411000,100.00,novo mercado,43.12,consumo cíclico,incorporações,jhsf3
1405463000,5428310000,2379050000,403868000,10000011000,2358349000,5467127000,4022847000,1444280000,100.00,novo mercado,63.64,consumo cíclico,serviços educacionais,anim3
61765000,833223000,779741000,187167000,2193027000,478724000,786405000,771458000,14947000,0.00,tradicional,59.66,bens industriais,construção pesada,azev3
61815351000,133071068000,43137811000,1264117000,159422893000,39909114000,91627156000,71255717000,20371439000,100.00,novo mercado,50.69,materiais básicos,papel e celulose,suzb3
4488497000,9588109000,6744052000,820566000,18023149000,5341161000,6606268000,5099612000,1506656000,100.00,novo mercado,36.77,materiais básicos,madeira,dxco3
5344969000,5413531000,3536831000,308245000,8917834000,4251549000,1249021000,68562000,1180459000,100.00,novo mercado,32.93,consumo cíclico,tecidos. vestuário e calçados,ceab3
61765000,833223000,779741000,187167000,2193027000,478724000,786405000,771458000,14947000,0.00,tradicional,59.66,bens industriais,construção pesada,azev4
4443776000,50579828000,3359095000,873040000,84130593000,28882919000,58517153000,46136052000,12381101000,100.00,novo mercado,26.00,financeiro,holdings diversificadas,simh3
30200394000,35851928000,16846413000,1682473000,64292562000,32863984000,20745520000,5651534000,15093986000,novo mercado,48.41,0.10,consumo não cíclico,carnes e derivados,brfs3
93135054000,116493013000,40444121000,683509000,88719931000,13234427000,31283547000,23357959000,7925588000,100.00,novo mercado,49.74,utilidade pública,água e saneamento,sbsp3
36680952000,83682952000,36192000000,1213797000,113489000000,21511000000,53313000000,47002000000,6311000000,100.00,novo mercado,16.07,utilidade pública,energia elétrica,neoe3
14548482000,20542889000,8612454000,380253000,16780052000,2283900000,6627486000,5994407000,633079000,0.10,novo mercado,49.56,utilidade pública,água e saneamento,csmg3
