p_l,p_receita_psr,p_vp,dy,payout,margem_líquida,margem_bruta,margem_ebit,margem_ebitda,ev_ebitda,ev_ebit,p_ebitda,p_ebit,p_ativo,p_capgiro,p_ativo_circ_liq,vpa,lpa,giro_ativos,roe,roic,roa,dívida_líquida___patrimônio,dívida_líquida___ebitda,dívida_líquida___ebit,dívida_bruta___patrimônio,patrimônio___ativos,passivos___ativos,liquidez_corrente,cagr_receitas_5_anos,papel,cagr_lucros_5_anos
15.02,1.73,3.61,4.57,205.13,11.52,54.65,23.44,29.81,4.91,6.25,5.80,7.38,0.93,4.47,1.75,1.68,0.40,0.54,24.04,21.08,6.17,0.55,0.89,1.13,1.00,0.26,0.74,1.78,6.94,cmin3,11.25
107.41,1.47,1.44,0.00,0.00,1.37,34.40,24.27,39.51,8.77,14.29,3.72,6.05,0.39,48.14,0.46,8.64,0.12,0.26,1.35,6.88,0.37,1.96,5.06,8.23,2.15,0.27,0.73,1.06,37.02,srna3,6.36
7.53,,5.26,12.73,94.72,0.00,0.00,0.00,0.00,,6.11,,6.84,3.31,13.60,5.75,6.43,4.50,0.00,69.93,62.41,44.03,0.56,,0.73,0.00,0.63,0.37,2.35,100.00,bbse3,18.51
22.16,3.36,1.24,6.24,144.52,15.17,45.23,42.34,52.11,8.54,10.51,6.45,7.94,0.53,6.34,0.65,45.86,2.56,0.16,5.58,9.73,2.41,0.34,1.78,2.19,0.59,0.43,0.57,1.86,8.48,elet3,0.75
6.40,0.11,6.39,26.72,171.07,1.78,12.80,3.71,8.36,4.60,10.35,1.36,3.07,0.13,1.87,0.21,3.30,3.30,1.16,99.86,4.81,2.78,15.19,3.23,7.29,23.30,0.02,0.86,1.22,18.74,mrfg3,3.29
5.28,0.83,1.02,16.33,93.28,15.69,49.10,27.00,35.79,4.07,5.40,2.31,3.07,0.35,9.43,0.39,30.97,6.00,0.42,19.38,12.74,6.62,0.80,1.81,2.40,0.93,0.34,0.66,0.76,12.63,petr3,65.59
10.02,1.24,0.92,0.00,0.00,12.40,15.24,15.24,19.04,5.57,6.96,6.52,8.15,0.75,7.94,0.97,4.69,0.43,0.60,9.22,4.61,7.31,0.13,0.95,1.19,0.00,0.81,0.18,1.69,25.68,cash3,19.55
10.35,,3.37,9.91,81.38,0.00,0.00,0.00,0.00,,9.22,,9.46,3.11,70.41,3.53,4.44,1.44,0.00,32.52,31.19,30.05,0.08,,0.23,0.00,0.92,0.08,1.59,100.00,cxse3,19.67
12.90,0.95,1.68,2.11,26.96,7.38,27.54,20.36,26.04,7.21,9.22,3.66,4.68,0.40,9.60,0.51,22.43,2.93,0.42,13.05,11.90,3.85,1.63,3.55,4.54,1.97,0.24,0.72,1.24,22.57,eqtl3,5.42
0.90,0.07,1.38,0.00,0.00,7.47,6.52,1.65,4.60,11.68,32.54,1.46,4.08,0.06,0.99,0.09,4.77,7.29,0.85,152.67,9.65,7.13,9.53,10.14,28.24,12.24,0.04,1.04,1.21,5.83,brkm5,
108.12,0.51,1.04,7.57,824.59,0.47,46.97,2.85,8.28,6.31,18.31,6.12,17.76,0.46,3.02,0.72,3.64,0.03,0.91,0.96,4.16,0.42,0.03,0.19,0.55,0.25,0.44,0.56,1.72,19.18,petz3,
138.12,1.93,1.52,0.00,0.00,1.40,30.95,17.72,32.11,9.12,16.52,6.01,10.90,0.56,11.18,0.67,12.30,0.14,0.29,1.10,6.96,0.47,0.79,3.10,5.62,0.98,0.37,0.61,1.42,36.52,enev3,24.27
11.70,5.20,2.39,4.91,34.25,44.42,80.36,65.72,70.77,9.60,10.34,7.34,7.91,1.13,18.49,1.36,11.59,2.37,0.22,20.47,14.73,9.62,0.74,2.26,2.43,0.91,0.47,0.53,1.55,20.72,mult3,5.03
