p_l,p_receita_psr,p_vp,dy,payout,margem_líquida,margem_bruta,margem_ebit,margem_ebitda,ev_ebit,p_ebit,p_ativo,p_capgiro,p_ativo_circ_liq,vpa,lpa,giro_ativos,roe,roic,roa,patrimônio___ativos,passivos___ativos,liquidez_corrente,cagr_receitas_5_anos,cagr_lucros_5_anos,papel,ev_ebitda,p_ebitda,dívida_líquida___patrimônio,dívida_líquida___ebitda,dívida_líquida___ebit,dívida_bruta___patrimônio
6.47,0.84,1.01,12.18,85.52,13.02,62.09,20.86,23.21,2.93,4.04,0.64,1.24,2.37,18.52,2.90,0.76,15.66,17.58,10.23,0.63,0.37,3.46,6.03,12.34,balm4,2.63,3.63,0.34,1.21,1.34,0.12
0.09,0.16,0.17,0.00,0.00,186.02,41.20,202.49,205.05,0.04,0.08,0.31,0.36,0.65,20.51,40.23,1.93,196.12,207.93,359.66,1.83,2.82,0.39,10.78,,nexp3,0.04,0.08,0.08,0.04,0.04,0.01
21.97,2.34,1.16,0.00,0.00,10.67,37.65,1.62,3.28,280.28,144.66,0.67,2.67,0.94,34.18,1.81,0.28,5.28,0.49,3.04,0.58,0.42,6.96,6.95,19.58,emae4,138.32,71.39,0.20,12.04,24.40,0.00
8.36,1.18,2.37,13.36,120.43,14.07,29.43,18.38,24.21,8.05,6.40,0.88,3.27,1.49,24.83,7.03,0.75,28.31,13.19,10.53,0.37,0.62,2.96,7.89,16.47,unip3,6.11,4.86,0.38,0.77,1.02,1.00
10.01,1.14,9.35,7.66,77.65,11.35,24.14,20.59,25.41,8.11,5.52,1.11,15.11,1.53,12.94,12.09,0.98,93.41,20.95,11.13,0.12,0.88,1.37,11.16,6.85,cgas3,6.57,4.47,4.23,2.02,2.50,5.01
5.09,0.62,2.07,11.62,0.00,12.22,31.29,17.62,20.24,2.53,3.53,1.13,4.50,2.70,26.13,10.61,1.82,40.60,37.24,22.41,0.55,0.45,1.76,27.11,4.47,sond5,2.21,3.07,0.54,0.81,0.93,0.00
9.83,1.38,2.78,12.65,120.43,14.07,29.43,18.38,24.21,8.05,7.52,1.04,3.84,1.75,24.83,7.03,0.75,28.31,13.19,10.53,0.37,0.62,2.96,7.89,16.47,unip5,6.11,5.71,0.38,0.77,1.02,1.00
22.38,0.18,1.19,0.00,0.00,0.81,36.85,12.73,14.33,5.35,1.42,0.12,1.39,0.22,15.15,0.81,0.69,5.32,18.47,0.56,0.10,0.90,0.82,14.06,,mndl3,4.75,1.26,3.30,3.49,3.93,3.33
1.61,0.12,0.38,0.00,0.00,7.15,27.57,12.87,15.45,4.08,0.90,0.12,2.54,0.20,30.25,7.11,1.03,23.49,13.58,7.38,0.31,0.68,1.13,9.94,,cedo4,3.40,0.75,1.31,2.58,3.09,1.35
5.85,0.22,0.83,9.62,53.53,3.83,12.90,6.68,6.93,5.46,3.35,0.45,1.61,1.06,22.11,3.12,1.99,14.11,11.43,7.61,0.54,0.46,1.91,24.53,15.85,wlmm4,5.27,3.23,0.44,1.73,1.80,0.56
13.72,1.75,1.63,4.62,76.86,12.75,21.84,19.62,25.74,12.42,8.92,0.69,29.11,0.86,8.58,1.02,0.39,11.89,8.79,4.99,0.42,0.58,1.13,4.89,4.97,cple5,9.47,6.80,0.66,2.76,3.63,0.78
5.29,1.12,0.97,4.46,18.99,21.15,43.15,35.63,50.71,5.40,3.14,0.40,34.92,0.48,24.21,4.44,0.36,18.34,13.13,7.55,0.41,0.59,0.94,14.64,28.54,mrsa5b,3.79,2.21,0.59,1.35,1.91,0.87
5.38,0.66,2.19,10.98,0.00,12.22,31.29,17.62,20.24,2.53,3.73,1.20,4.76,2.86,26.13,10.61,1.82,40.60,37.24,22.41,0.55,0.45,1.76,27.11,4.47,sond6,2.21,3.25,0.54,0.81,0.93,0.00
0.57,0.20,0.05,0.00,0.00,35.52,18.85,40.94,38.06,8.13,0.50,0.02,0.04,0.04,153.41,12.22,0.11,7.96,47.25,5.51,0.47,1.47,0.44,21.99,,bdll4,8.74,0.53,0.69,8.12,7.55,0.73
10.68,0.40,1.11,7.56,80.70,3.74,12.02,5.81,6.88,6.95,6.87,0.57,1.43,2.03,32.34,3.37,1.42,10.42,7.65,5.32,0.51,0.49,2.22,8.49,15.06,pati3,5.87,5.80,0.01,0.06,0.07,0.52
14.91,1.70,1.21,8.71,62.74,11.38,17.41,4.02,14.25,24.83,42.21,0.95,3.18,1.64,9.54,0.77,0.56,8.09,2.21,6.38,0.79,0.21,3.46,8.10,31.26,fesa3,7.00,11.90,0.20,1.98,7.01,0.09
6.34,1.34,1.16,3.09,18.99,21.15,43.15,35.63,50.71,5.40,3.76,0.48,41.83,0.58,24.21,4.44,0.36,18.34,13.13,7.55,0.41,0.59,0.94,14.64,28.54,mrsa3b,3.79,2.64,0.59,1.35,1.91,0.87
91.54,0.83,1.04,0.00,0.00,0.91,3.76,3.53,0.66,17.50,23.58,0.67,1.72,1.80,20.22,0.23,0.81,1.13,4.93,0.73,0.65,0.35,2.66,0.02,,crpg6,92.99,125.29,0.16,19.71,3.71,0.01
