cotação,dy,pvp,liquidez_diária,liquidez_unidade,variação,papel
119.50,0.00,1.49,3.09,K,53.64,LRDI11
8.81,14.76,0.95,1.08,M,21.18,MANA11
10.29,7.21,0.75,681.98,K,4.89,MCLO11
99.95,1.46,1.19,28.82,K,29.99,NEWU11
8.32,13.05,0.85,19.15,K,3.10,APTO11
104.99,10.86,0.81,301.77,K,14.64,NEWL11
8.63,13.24,0.87,3.88,K,10.50,NCRI11
75.00,16.96,0.75,410.07,K,13.86,OUJP11
7.77,14.39,0.83,253.65,K,0.00,PMIS11
54.49,10.31,0.98,4.52,K,4.27,PQAG11
60.00,11.62,0.62,511.42,K,38.15,PATL11
100.31,10.06,0.82,4.83,M,11.39,PMLL11
158.10,8.35,0.97,7.25,M,11.64,HGLG11
142.41,0.00,0.98,1.32,M,19.62,HGPO11
68.01,9.12,0.54,461.76,K,16.46,VCRR11
126.30,10.02,0.99,3.26,M,19.95,HGRU11
38.72,22.31,0.64,1.76,K,65.61,PEMA11
78.20,11.13,0.94,612.26,K,12.63,PLCR11
9.99,13.64,0.68,1.08,K,30.08,PLRI11
33.02,0.00,0.24,1.46,K,-45.20,PRSV11
7.97,13.86,0.83,532.90,K,15.17,PORD11
134.98,10.47,0.81,21.19,K,5.68,RZZR11
1071.81,13.15,1.18,67.18,K,36.78,RSPD11
85.92,10.50,0.82,569.88,K,32.65,RBRL11
98.00,28.42,0.95,14.41,K,46.42,RCFF11
6.53,13.81,0.76,2.63,M,10.30,RBRF11
7.83,13.11,0.81,850.83,K,6.39,RBRX11
83.98,14.77,0.85,328.27,K,13.32,RPRI11
98.84,3.29,0.99,111.49,K,0.86,RCRI11
57.00,10.63,0.53,6.54,K,-17.36,RMAI11
103.00,12.28,1.00,268.80,K,11.73,RINV11
48.97,12.52,0.79,445.55,K,8.68,RBFF11
8.63,12.17,0.89,24.49,K,10.08,RECM11
211.99,0.00,0.31,23.05,K,-39.57,RBOP11
41.83,5.19,0.44,379.69,K,3.72,RBRS11
