valor_de_mercado,valor_de_firma,patrimônio_líquido,n_total_de_papeis,ativos,ativo_circulante,dívida_bruta,dívida_líquida,disponibilidade,tag_along,segmento_de_listagem,free_float,setor,segmento,papel
1859344000,1779672000,1716262000,462523000,3944594000,1533165000,434727000,79672000,514399000,100.00,novo mercado,66.53,consumo não cíclico,produtos diversos,petz3
5469857000,41734857000,3805000000,797207000,91303000000,30743000000,46569000000,36265000000,10304000000,100.00,nível 1,34.97,materiais básicos,petroquímicos,brkm5
160025157000,202605387000,109289887000,2588720000,266502447000,52374181000,70835953000,42580230000,28255723000,80.00,nível 1,97.21,utilidade pública,energia elétrica,elet3
433838963000,747920963000,422934000000,12888732000,1212038000000,149361000000,376083000000,314082000000,62001000000,100.00,nível 2,60.70,petróleo. gás e biocombustíveis,exploração. refino e distribuição,petr3
30772750000,26406167000,10097436000,5485338000,36313111000,16750738000,9235604000,4366583000,13602187000,100.00,nível 1,20.25,materiais básicos,minerais metálicos,cmin3
14910381000,19338145000,6019582000,519163000,12802394000,2208919000,5489680000,4427764000,1061916000,100.00,nível 2,52.93,financeiro,exploração de imóveis,mult3
47651514000,93355314000,27995081000,1248075000,116701444000,25128826000,55111977000,45703800000,9408177000,100.00,novo mercado,100.00,utilidade pública,energia elétrica,eqtl3
30774826000,46090221000,19495012000,1584697000,53385056000,8955822000,19171192000,15315395000,3855797000,100.00,novo mercado,99.68,utilidade pública,energia elétrica,enev3
506402000,439200000,544430000,112784000,667687000,164064000,99000,67202000,67301000,100.00,novo mercado,75.33,tecnologia da informação,programas e serviços,cash3
59575996000,55902352000,25213227000,2420804000,57371375000,14085946000,2854983000,3673644000,6528627000,100.00,novo mercado,33.40,telecomunicações,telecomunicações,tims3
7250521000,6956460000,8768448000,393096000,8818001000,294544000,,294061000,294061000,80.00,nível 1,71.57,financeiro,holdings diversificadas,brap4
7239146000,9007967000,4177323000,1214491000,7791679000,1940835000,3367008000,1768821000,1598187000,100.00,tradicional,55.81,financeiro,exploração de imóveis,igti11
110458367000,110149467000,26332327000,2289292000,110033257000,58054564000,42879071000,308900000,43187971000,100.00,nível 1,50.01,saúde,serviços médicos. hospitalares. análises e diagnósticos,rdor3
1457966000,5292994000,2354428000,403868000,10090277000,2547889000,5511491000,3835028000,1676463000,100.00,novo mercado,63.64,consumo cíclico,serviços educacionais,anim3
15651925000,19184954000,48574076000,502630000,74351385000,12259864000,13074815000,3533029000,9541786000,100.00,novo mercado,58.28,saúde,serviços médicos. hospitalares. análises e diagnósticos,hapv3
7827723000,18402929000,5382919000,622730000,20046325000,3074956000,11584036000,10575206000,1008830000,100.00,novo mercado,68.34,utilidade pública,energia elétrica,srna3
3859336000,8350799000,3041058000,289088000,9549663000,2244908000,5284351000,4491463000,792888000,100.00,novo mercado,93.61,consumo cíclico,serviços educacionais,yduq3
8678449000,11671670000,5395011000,547191000,13584226000,4864095000,5505859000,2993221000,2512638000,100.00,novo mercado,84.87,saúde,serviços médicos. hospitalares. análises e diagnósticos,flry3
