cotação,variação_12m,p_l,p_vp,dy,carteira_investidor_10,papel
0.99,47.62,4.43,0.67,0.00,,pdtc3
5.18,43.74,5.54,0.51,3.91,,tasa3
6.52,19.41,6.69,1.00,3.68,,tecn3
26.00,17.46,7.75,0.54,0.00,,ngrd3
0.97,32.17,1.69,0.40,0.00,,lupa3
29.35,17.08,9.02,0.67,4.63,,coce5
12.14,4.05,8.14,1.52,4.78,,engi3
17.58,10.01,7.94,1.49,6.54,,csud3
5.17,65.42,7.07,0.58,0.00,,aalr3
1.23,37.90,67.57,0.44,14.65,,ucas3
5.59,41.16,0.72,0.29,0.00,,show3
73.02,15.31,3.50,0.58,10.96,,baza3
8.46,35.88,7.19,0.53,24.05,,alld3
4.71,26.64,3.04,1.01,0.00,,trad3
9.75,8.95,9.29,1.13,3.08,,alup4
1.30,27.37,0.26,0.04,0.00,,inep3
5.00,54.87,0.90,0.11,0.00,,oibr4
4.17,9.74,0.35,0.20,0.00,,fher3
8.40,36.93,49.54,1.10,0.86,,land3
8.39,11.03,40.97,0.51,0.00,,telb4
3.62,0.04,33.62,0.36,5.25,,lvtc3
30.56,26.21,5.34,0.66,10.42,,cgra4
2.82,37.61,6.57,0.86,0.00,,nutr3
20.90,4.78,24.44,0.79,8.35,,scar3
3.94,34.88,4.07,0.20,5.84,,tpis3
8.05,5.22,7.51,1.18,6.42,,bees3
5.70,28.30,0.03,0.05,0.00,,agxy3
44.99,10.50,9.04,3.74,11.68,,ektr4
9.00,1.45,5.07,0.82,4.59,,bsli3
4.66,25.77,5.81,0.42,5.76,,ptnt4
8.10,1.62,7.56,1.19,6.38,,bees4
11.50,23.95,10.96,1.33,2.61,,alup3
1.29,24.12,0.25,0.04,0.00,,inep4
4.35,16.57,7.87,1.58,42.24,,epar3
10.00,12.36,18.83,5.33,0.00,,biom3
10.30,24.79,8.84,1.86,3.40,,bpac5
0.80,55.80,1.33,0.37,0.00,,vivr3
50.39,30.89,9.64,2.55,2.36,,bmeb4
9.16,2.95,5.16,0.83,4.96,,bsli4
5.19,39.36,8.67,0.56,4.93,,rapt3
4.79,52.56,1036.17,0.52,0.03,,vste3
7.86,38.38,135.25,0.43,0.00,,dotz3
62.65,4.48,6.32,1.50,3.58,,rsul4
10.21,31.25,49.86,0.62,0.00,,telb3
24.50,18.69,29.31,2.51,0.00,,logn3
8.30,76.25,6.45,1.62,4.45,,pine3
1.57,69.81,0.08,0.20,0.00,,jfen3
4.95,37.34,3.92,0.25,0.00,,west3
8.94,24.41,5.99,1.12,6.49,,engi4
13.98,12.16,6.16,0.53,8.88,,brsr3
5.61,3.35,6.84,2.66,11.74,,eqpa3
23.11,33.69,8.47,1.55,15.75,,cebr3
100.05,34.06,6.35,1.00,10.47,,clsc4
26.12,71.69,22.41,4.72,1.35,,bpac3
2.34,50.63,0.01,0.00,0.00,,osxb3
4.46,21.43,7.17,3.01,13.45,,whrl3
1.54,50.16,5.02,2.24,0.00,,avll3
6.30,42.73,6.11,1.75,0.00,,mgel4
22.93,54.60,8.41,1.54,15.87,,cebr5
36.00,2.43,4.26,1.12,5.70,,ceeb3
22.58,10.08,9.31,1.85,3.22,,ofsa3
2.20,52.99,1.13,0.24,0.00,,ctsa4
3.23,46.70,3.16,0.31,0.00,,rnew11
12.10,52.55,52.75,0.60,0.00,,crpg5
30.80,27.74,5.38,0.67,10.34,,cgra3
126.82,3.16,10.49,9.80,3.49,,cgas5
35.20,11.71,19.49,1.03,0.00,,emae4
9.35,40.61,24.58,1.55,1.04,,alpa3
26.98,27.66,4.21,0.60,11.07,,bgip4
31.55,6.40,6.40,1.01,7.48,,isae3
64.00,52.17,9.11,2.58,12.41,,unip3
6.40,0.73,9.64,3.09,10.36,,rede3
18.58,99.53,6.40,1.00,12.31,,balm4
86.95,11.84,16.10,3.34,1.42,,bauh4
3.38,15.50,0.08,0.16,0.00,,nexp3
4.05,7.95,9.19,0.58,0.00,,mapt4
40.30,114.59,0.55,1.49,0.00,,mnpr3
2.03,36.16,0.64,0.46,0.00,,rdni3
24.90,53.45,9.13,1.67,16.08,,cebr6
34.94,41.22,12.59,1.88,14.80,,gepa4
9.00,35.67,1.24,0.16,0.00,,ceed3
48.88,38.76,9.82,4.06,9.77,,ektr3
7.80,5.25,5.16,0.84,6.89,,dexp4
12.74,8.89,3.30,0.86,4.50,,ealt3
4.04,80.36,0.68,2.15,0.00,,hoot4
43.84,28.83,8.99,0.82,6.06,,mtsa4
2.30,73.86,1.18,0.25,0.00,,ctsa3
4.92,48.59,25.62,0.38,0.19,,rpad3
15.00,43.42,65.39,0.74,0.00,,crpg3
1.60,46.13,0.12,0.03,0.00,,rsid3
8.90,4.81,11.09,0.81,3.04,,ptnt3
36.00,28.07,17.40,0.75,4.02,,peab4
1.04,11.11,14.23,0.24,0.00,,haga4
75.00,78.37,43.20,1.03,66.93,,moar3
21.35,36.77,7.64,0.72,3.13,,euca3
75.20,72.76,10.70,3.03,11.62,,unip5
195.81,300.69,13.62,1.76,1.15,,tkno3
124.00,6.01,10.26,9.58,3.24,,cgas3
44.30,10.35,4.18,1.70,14.16,,sond5
24.50,8.97,5.52,1.01,4.28,,mrsa5b
20.15,34.90,6.46,0.91,8.65,,wlmm4
34.99,88.02,1.83,6.12,0.00,,ctka4
434.99,52.49,2.57,0.76,7.85,,bmks3
12.80,4.82,12.54,1.49,4.79,,cple5
0.81,69.20,456.34,253.32,0.00,,ppla11
29.50,22.37,2.43,1.00,0.00,,aheb3
1.81,27.89,24.77,0.42,0.00,,haga3
18.08,7.62,22.42,1.19,0.00,,mndl3
11.84,48.61,1.67,0.39,0.00,,cedo4
39.57,73.59,11.74,1.22,5.48,,pati3
196.89,151.18,13.69,1.77,2.91,,tkno4
11.58,5.78,15.01,1.21,3.92,,fesa3
57.11,42.26,5.38,2.19,10.98,,sond6
7.40,20.43,0.61,0.05,0.00,,bdll4
32.00,27.38,9.05,0.44,18.43,,hbts5
15.01,34.74,2.11,0.50,0.00,,cedo3
7.77,17.11,22.14,2.04,5.52,,aflt3
5.30,35.90,1.65,0.07,0.00,,estr4
38.87,47.01,11.53,1.20,8.37,,pati4
3.09,39.88,0.21,0.02,0.00,,snsy5
4.41,26.50,0.33,0.09,0.00,,plas3
3.48,74.62,1.94,0.45,6.68,,luxm4
3.95,3.63,1422.85,0.43,0.28,,dohl4
10.01,9.40,4.42,1.80,0.00,,mwet4
9.76,27.94,3.60,0.29,4.29,,cbee3
4.55,44.58,0.91,0.24,0.00,,nord3
31.99,49.66,6.91,1.30,8.56,,eqma3b
209.99,131.91,128.97,3.76,0.00,,frio3
7.10,3.29,8.65,3.36,9.28,,eqpa6
7.63,41.31,1.05,1.60,0.00,,brkm6
