"Ticker","Nome","Negócios","Última (R$)","Variação"
"SOJA3","Boa Safra Sementes","497.600","10,53","+0,00%"
"MILS3","Mills","495.600","10,93","-0,55%"
"BMOB3","Bemobi","477.500","21,12","-1,03%"
"PDGR3","PDG Realty","470.400","0,22","+0,00%"
"ELET6","Eletrobras","468.700","42,44","+0,54%"
"MDNE3","Moura Dubeux","465.700","21,35","+2,40%"
"FESA4","Ferbasa","454.900","6,79","+1,04%"
"ORVR3","Orizon","453.900","48,24","+0,75%"
"GFSA3","Gafisa","441.100","16,88","-4,20%"
"ITUB3","Itaú Unibanco","434.300","31,77","+1,63%"
"MATD3","Mater Dei","426.400","4,35","-1,14%"
"EVEN3","Even","403.800","7,08","+2,02%"
"TUPY3","Tupy","395.300","17,18","+2,57%"
"SEER3","Ser Educacional","393.200","8,24","+0,00%"
"WIZC3","Wiz Soluções","383.000","7,19","-0,14%"
"FIQE3","Unifique","367.300","3,64","+0,55%"
"LAVV3","Lavvi Incorporadora","352.500","11,92","+1,02%"
"CSED3","Cruzeiro do Sul Educacional","350.700","4,92","+2,07%"
"HBRE3","HBR Realty","344.600","3,05","+3,74%"
"PRNR3","Priner","327.300","15,00","-0,46%"
"BLAU3","Blau Farmacêutica","295.700","12,41","+1,14%"
"PTBL3","Portobello","295.400","3,94","+4,23%"
"JSLG3","JSL","288.900","5,38","+1,13%"
"PINE4","Banco Pine","287.500","5,87","+0,00%"
"OPCT3","OceanPact","281.200","6,37","+0,16%"
"BRST3","Brisanet","279.500","2,64","+0,00%"
"LEVE3","Mahle Metal Leve","267.200","28,61","+1,53%"
"ZAMP3","Zamp","258.500","3,48","+0,00%"
"PFRM3","Profarma","246.200","8,08","+2,28%"
"MELK3","Melnick","242.400","3,40","+1,19%"
"PNVL3","Dimed","239.400","9,28","+0,76%"
"BRBI11","BR Partners","214.300","16,00","+0,44%"
"KLBN3","Klabin","211.900","3,82","+0,53%"
"VLID3","Valid","203.700","22,33","+1,00%"
"TRIS3","Trisul","193.100","6,29","-2,93%"
"POMO3","Marcopolo","185.100","6,65","+1,68%"
"ESPA3","Espaçolaser","179.700","1,09","+0,00%"
"SEQL3","Sequoia Logística","172.100","1,00","-0,99%"
"LOGG3","LOG CP","153.300","19,78","-0,40%"
"RCSL3","Recrusul","145.400","1,99","-1,49%"
"RNEW4","Renova Energia","145.000","1,30","+0,00%"
"MDIA3","M. Dias Branco","143.500","25,16","+1,00%"
"SAPR3","Sanepar","137.900","7,69","+0,39%"
"AGRO3","BrasilAgro","135.900","20,43","+0,29%"
"PMAM3","Paranapanema","133.200","1,65","-1,79%"
"VTRU3","VITRUBREPCOM","129.800","8,77","+0,69%"
"TFCO4","Track & Field","124.500","14,20","+2,23%"
"VITT3","Vittia","123.100","4,83","-2,23%"
"AERI3","Aeris Energy","112.200","4,34","+1,17%"
"AMOB3","Automob","106.300","11,29","+7,63%"
"ROMI3","Indústrias ROMI","104.200","8,43","-1,40%"
"DEXP3","Dexxos","100.600","8,83","-0,45%"
"AMAR3","Lojas Marisa","100.600","1,27","-2,31%"
"UNIP6","Unipar","88.900","55,39","+0,49%"
"CAMB3","Cambuci","80.600","9,50","-0,42%"
"DESK3","Desktop","75.000","8,26","+1,98%"
"TAEE4","Taesa","73.700","11,25","+0,09%"
"ITSA3","Itaúsa","72.200","10,53","+1,64%"
"CMIG3","Cemig","67.600","14,98","+1,42%"
"ETER3","Eternit","67.000","3,70","+1,37%"
"TCSA3","Tecnisa","57.300","1,75","+0,57%"
"IGTI3","Jereissati Participações","53.800","2,46","+1,23%"
"IGTI3","Iguatemi","53.800","2,46","+1,23%"
"SANB3","Banco Santander","48.900","12,63","+1,04%"
"SANB4","Banco Santander","46.600","13,87","-0,14%"
"LPSB3","Lopes","46.200","1,46","+2,82%"
"BRAP3","Bradespar","42.100","15,41","+1,38%"
"ALPK3","Estapar","41.500","2,98","+3,47%"
"WHRL4","Whirlpool","38.900","4,15","+0,00%"
"FICT3","Fictor Alimentos","38.900","3,20","-3,03%"
"TAEE3","Taesa","36.400","11,23","+1,17%"
"REAG3","REAG3","36.100","4,05","+1,76%"
"EUCA4","Eucatex","33.300","17,11","+2,39%"
"AMBP3","Ambipar","32.800","142,85","-2,68%"
"RNEW3","Renova Energia","31.500","1,30","+1,56%"
"RPMG3","Refinaria de Manguinhos","31.100","2,98","+2,76%"
"DMVF3","D1000 Varejo Farma","27.200","4,71","-0,21%"
"BRKM3","Braskem","27.000","9,14","-0,11%"
"BOBR4","Bombril","26.200","1,40","-4,76%"
"PDTC3","Padtec","26.100","1,02","+0,99%"
"GGBR3","Gerdau","25.000","15,30","+1,46%"
"EALT4","Electro Aço Altona","25.000","13,88","-1,84%"
"GOAU3","Metalúrgica Gerdau","23.600","9,67","+2,33%"
"CSUD3","CSU Cardsystem","21.300","17,40","-0,06%"
"TECN3","Technos","20.700","6,31","+2,10%"
"NGRD3","Neogrid","20.600","25,70","+0,63%"
"LUPA3","Lupatech","20.500","1,17","+0,00%"
"AALR3","Alliança","20.200","4,99","+1,63%"
"TASA3","Taurus","19.300","6,39","-1,84%"
"COCE5","Coelce","16.700","27,65","-1,21%"
