p_l,p_receita_psr,p_vp,dy,payout,margem_líquida,margem_bruta,margem_ebit,margem_ebitda,ev_ebit,p_ebit,p_ativo,p_capgiro,p_ativo_circ_liq,vpa,lpa,giro_ativos,roe,roic,roa,patrimônio___ativos,passivos___ativos,liquidez_corrente,cagr_receitas_5_anos,cagr_lucros_5_anos,papel,ev_ebitda,p_ebitda,dívida_líquida___patrimônio,dívida_líquida___ebitda,dívida_líquida___ebit,dívida_bruta___patrimônio
121.02,1.69,1.33,0.00,0.00,1.40,30.95,17.72,32.11,15.17,9.55,0.49,9.80,0.59,12.30,0.14,0.29,1.10,6.96,0.47,0.37,0.61,1.42,36.52,24.27,enev3,8.37,5.27,0.79,3.10,5.62,0.98
11.18,0.61,1.10,4.97,55.24,5.49,61.02,16.26,31.24,8.86,3.78,0.35,6.71,0.46,10.52,1.03,0.57,9.82,9.90,3.11,0.32,0.68,1.28,7.13,24.43,yduq3,4.61,1.97,1.48,2.64,5.08,1.74
6.21,,0.77,11.88,71.35,0.00,0.00,0.00,0.00,6.15,6.64,0.76,26.97,0.79,22.31,2.75,0.00,12.34,11.54,12.27,0.99,0.01,6.50,100.00,5.91,brap4,6.15,6.64,0.03,0.29,0.29,0.00
30.61,8.06,2.23,2.93,66.23,26.33,63.86,53.76,68.83,13.82,14.99,1.20,8.95,1.59,10.32,0.75,0.15,7.29,7.55,3.96,0.54,0.46,2.16,11.33,11.90,igti11,10.79,11.71,0.42,2.22,2.84,0.81
22.15,1.73,3.59,2.05,45.31,7.79,19.84,15.96,19.30,10.51,10.81,0.86,2.54,1.79,11.08,1.80,0.50,16.22,11.73,3.99,0.24,0.74,2.89,30.36,55.80,rdor3,8.69,8.94,0.10,0.25,0.30,1.50
0.59,0.38,0.09,0.00,0.00,65.71,0.65,27.51,9.60,16.17,1.40,0.03,0.43,0.04,4.17,0.67,0.09,16.00,8.30,5.69,0.36,0.64,0.74,53.88,,azev4,46.35,4.01,0.99,42.34,14.77,1.01
35.40,0.72,0.35,0.00,0.00,2.02,17.31,5.80,11.89,14.93,12.35,0.23,2.70,0.27,96.64,0.95,0.32,0.99,1.71,0.64,0.65,0.35,2.05,22.54,,hapv3,7.29,6.03,0.07,1.26,2.58,0.27
8.70,0.32,0.51,1.75,15.37,3.62,61.00,23.44,33.82,5.77,1.35,0.12,0.94,0.16,5.89,0.35,0.39,5.91,11.37,2.80,0.24,0.70,2.22,22.23,,anim3,4.00,0.93,1.69,3.07,4.42,2.30
3.55,2.23,0.68,6.29,22.24,62.89,58.86,92.95,96.72,4.39,2.40,0.26,1.22,0.41,8.79,1.68,0.12,19.08,12.37,7.35,0.39,0.59,2.48,9.20,12.21,jhsf3,4.22,2.31,0.56,1.92,1.99,0.93
13.93,1.08,1.57,6.44,89.37,7.73,26.92,15.06,25.69,9.92,7.15,0.65,3.22,0.97,9.83,1.11,0.60,11.27,9.35,4.46,0.41,0.58,2.51,21.42,17.83,flry3,5.82,4.19,0.61,1.63,2.78,1.00
